id;plcid;title;addr;modbusAddr;type;dictid;value_format;multiplicator;shift;save_to_log;measureUnits;has_normal;normal_regid;normal_regid2;normal_dynamic_value;normal_binary_value;normal_binary_text;normal_color;normal_min_regid;normal_min_delta;normal_max_regid;normal_max_delta;normal_min_val;normal_max_val;has_disabled;disabled_regid;disabled_regid2;disabled_dynamic_value;disabled_binary_value;disabled_binary_text;disabled_color;disabled_min_regid;disabled_min_delta;disabled_max_regid;disabled_max_delta;disabled_min_val;disabled_max_val;has_warning;warning_regid;warning_regid2;warning_dynamic_value;warning_binary_value;warning_binary_text;warning_color;warning_min_regid;warning_min_delta;warning_max_regid;warning_max_delta;warning_min_val;warning_max_val;has_alert;alert_regid;alert_regid2;alert_dynamic_value;alert_binary_value;alert_binary_text;alert_color;alert_min_regid;alert_min_delta;alert_max_regid;alert_max_delta;alert_min_val;alert_max_val;timeformat;log_tolerance;precision_digits;min_log_interval;max_log_interval;max_graph_interval;max_allowed_value;min_allowed_value;rw_mode;min_reasonable_value;max_reasonable_value;save_graph_data;graph_interval;graph_color;disabled;nocloud;delta;delay;bitmask;words_order;time_duration;priority;cloud_log;cloud_rt;description;variable;category;alerts_enbl;alerts;cloud_sync;order_id;meter_type;meter_main;meter_cloud;meter_title;saved_value
4146;248;BMT_2_Woda Ciepla;HR138;;3;0;5;;0.063;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c24;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;1;0;0;0;;
4147;248;BMT_7_Woda Zimna;HR140;;3;0;5;;0.115;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c25;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;2;0;0;0;;
4148;248;BMT_5_Woda Zasilanie;HR142;;3;0;5;;0.061;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c26;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;3;0;0;0;;
4149;248;BMT_5_Woda Ogrzewanie;HR144;;3;0;5;;0.032;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c27;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;4;0;0;0;;
4150;248;BMT_6_Woda Zimna;HR146;;3;0;5;;0.038;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c28;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;5;0;0;0;;
4151;248;BMT_4_Woda Zimna;HR148;;3;0;5;;0.082;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c29;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;6;0;0;0;;
4152;248;BMT_4_Woda Ciepla;HR150;;3;0;5;;0.037;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c30;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;7;0;0;0;;
4153;248;BMT_3_Woda Zasilanie;HR152;;3;0;5;;0.054;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c31;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;8;0;0;0;;
4154;248;BMT_3_Woda Ogrzewanie;HR154;;3;0;5;;0.087;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c32;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;9;0;0;0;;
4155;248;BMT_1_Woda Zimna;HR156;;3;0;5;;0.036;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c33;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;10;0;0;0;;
4156;248;BMT_1_Woda Zasilanie;HR158;;3;0;5;;0.037;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c34;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;11;0;0;0;;
4157;248;BMT_6_Woda Ciepla;HR160;;3;0;5;;0.036;0;m3;0;0;0;0;1;;#34d357;;;;;;;0;0;0;0;0;;#cccccc;;;;;;;0;0;0;0;0;;#f0b518;;;;;;;0;0;0;0;0;;#ee434d;;;;;;;Y-m-d H:i:s;;3;;;;;;;;;1;15;#ed1c35;0;0;0;0;-1;1;0;0;0;0;;;;0;{};0;12;0;0;0;;
