id,plcid,title,addr,variable,category,type,value_format,measureUnits,precision_digits,time_duration,priority,order_id,timeformat,modbusAddr,dictid,min_allowed_value,max_allowed_value,normal_color,disabled_color,warning_color,alert_color,has_normal,has_disabled,has_warning,has_alert,save_graph_data,graph_color,save_to_log,delay,disabled
1,1,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
2,1,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
3,1,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
4,1,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
5,2,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
6,2,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
7,2,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
8,2,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
9,3,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
10,3,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
11,3,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
12,3,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
13,4,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
14,4,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
15,4,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
16,4,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
17,5,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
18,5,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
19,5,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
20,5,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
21,6,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
22,6,Temperatura,HR7,,,2,1,°C,1,0,0,2,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#aa55a1,0,0,0
23,6,Wilgotnosc bezwgledna,HR8,,,2,1,g/m3,1,0,0,3,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fff450,0,0,0
24,6,Punkt rosy/szronu,HR9,,,2,1,°C,1,0,0,4,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,0,#fcb540,0,0,0
25,7,Wilgotnosc wzgledna,HR6,,,2,1,%RH,1,0,0,1,Y-m-d H:i:s,,0,,,#34d357,#cccccc,#f0b518,#ee434d,0,0,0,0,1,#0066b3,0,0,0
