,2243_LE03_02.2,2310_LE03_03.3,2377_LE03_04.4,2444_LE03_05.5,2511_LE03_06.6,2578_LE03_07.7,2645_LE03_08.8,2712_LE03_09.9,3861_LE01_26.10,4078_LE03_27.26,4446_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-01-19 23:45:36,121.1,177.6,27.1,34.1,28.2,31.3,29.9,3697.5,1.6,48.5,
2019-01-19 23:52:48,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.0,1.6,48.5,
2019-01-20 00:00:00,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.0,1.6,48.5,
2019-01-20 00:07:12,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.4,1.6,48.6,
2019-01-20 00:14:24,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.4,1.6,48.6,
2019-01-20 00:21:36,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.9,1.6,48.6,
2019-01-20 00:28:48,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3698.9,1.6,48.6,
2019-01-20 00:36:00,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3699.4,1.6,48.6,
2019-01-20 00:43:12,121.1,177.7,27.1,34.1,28.2,31.3,29.9,3699.4,1.6,48.6,
2019-01-20 00:50:24,121.2,177.8,27.1,34.1,28.2,31.3,29.9,3699.9,1.6,48.6,
2019-01-20 00:57:36,121.2,177.8,27.1,34.1,28.2,31.3,29.9,3699.9,1.6,48.6,
2019-01-20 01:04:48,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3700.4,1.6,48.6,
2019-01-20 01:12:00,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3700.4,1.6,48.6,
2019-01-20 01:19:12,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3700.8,1.6,48.6,
2019-01-20 01:26:24,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3700.8,1.6,48.6,
2019-01-20 01:33:36,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3701.3,1.6,48.6,
2019-01-20 01:40:48,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3701.3,1.6,48.6,
2019-01-20 01:48:00,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3701.8,1.6,48.6,
2019-01-20 01:55:12,121.2,177.8,27.2,34.1,28.2,31.3,29.9,3701.8,1.6,48.6,
2019-01-20 02:02:24,121.2,177.9,27.2,34.1,28.2,31.3,29.9,3702.3,1.6,48.6,
2019-01-20 02:09:36,121.2,177.9,27.2,34.1,28.2,31.3,29.9,3702.3,1.6,48.6,
2019-01-20 02:16:48,121.2,177.9,27.2,34.1,28.2,31.3,29.9,3702.8,1.6,48.6,
2019-01-20 02:24:00,121.2,177.9,27.2,34.1,28.2,31.3,29.9,3702.8,1.6,48.6,
2019-01-20 02:31:12,121.3,177.9,27.2,34.1,28.2,31.3,29.9,3703.3,1.6,48.6,
2019-01-20 02:38:24,121.3,177.9,27.2,34.1,28.2,31.3,29.9,3703.3,1.6,48.6,
2019-01-20 02:45:36,121.3,177.9,27.2,34.1,28.2,31.3,29.9,3703.3,1.6,48.6,
2019-01-20 02:52:48,121.3,177.9,27.2,34.1,28.2,31.3,29.9,3703.7,1.6,48.6,
2019-01-20 03:00:00,121.3,177.9,27.2,34.1,28.2,31.3,29.9,3703.7,1.6,48.6,
2019-01-20 03:07:12,121.3,178.0,27.2,34.1,28.2,31.3,30.0,3704.2,1.6,48.6,
