,477_APAR_715.15,481_APAR_716.16,485_APAR_717.17,489_APAR_718.18,493_APAR_719.19,497_APAR_720.20,501_APAR_721.21,505_APAR_722.22,509_APAR_723.23,513_APAR_724.24,517_APAR_725.25,521_APAR_726.26,525_APAR_727.27,529_APAR_728.28,533_APAR_729.29,537_APAR_730.30,541_APAR_731.31,545_APAR_732.32,549_APAR_733.1,553_APAR_734.2,557_APAR_735.3,561_APAR_736.4,565_APAR_737.5,569_APAR_738.6,573_APAR_739.7,577_APAR_740.8,581_APAR_741.9,585_APAR_742.10,589_APAR_743.11,593_APAR_744.12,597_APAR_745.13,601_APAR_746.14,605_APAR_747.15,609_APAR_748.16,613_APAR_749.17,617_APAR_750.18,621_APAR_751.19,625_APAR_752.20,629_APAR_753.21,633_APAR_754.22,637_APAR_755.23,641_APAR_756.24,645_APAR_757.25,707_FIF_703.3,709_FIF_704.4,711_FIF_705.5,713_FIF_706.6,715_FIF_707.7,717_FIF_708.8,719_FIF_709.9,721_FIF_710.10
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21 23:45:36,16.9,16.5,15.4,8.1,1.4,23.2,22.9,20.9,11.0,3.2,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-1.9,6.6,-2.0,25.2,26.6,26.2,20.5,26.6,25.1,24.9,24.7
2019-01-21 23:52:48,16.9,16.5,15.4,8.1,1.4,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-1.9,6.6,-2.1,25.2,26.6,26.2,20.5,26.6,25.1,24.9,24.7
2019-01-22 00:00:00,16.9,16.5,15.4,8.1,1.4,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-1.9,6.6,-2.1,25.2,26.6,26.2,20.5,26.6,25.1,24.9,24.7
2019-01-22 00:07:12,16.9,16.5,15.4,8.1,1.3,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-1.9,6.6,-2.1,25.2,26.6,26.2,20.5,26.6,25.1,25.0,24.7
2019-01-22 00:14:24,16.9,16.5,15.4,8.1,1.3,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-1.9,6.6,-2.1,25.2,26.6,26.2,20.5,26.6,25.1,25.0,24.7
2019-01-22 00:21:36,16.9,16.5,15.4,8.1,1.3,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.6,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-2.0,6.5,-2.5,25.2,26.7,26.2,20.5,26.6,25.1,25.0,24.7
2019-01-22 00:28:48,16.9,16.5,15.4,8.1,1.3,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.6,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-2.0,6.5,-2.5,25.2,26.7,26.2,20.5,26.6,25.1,25.0,24.7
2019-01-22 00:36:00,16.9,16.5,15.4,8.0,1.3,23.2,22.9,20.9,11.0,3.1,23.0,23.4,21.5,17.7,21.5,21.1,20.0,16.5,21.8,21.4,20.4,16.2,12.2,20.9,20.1,19.2,14.1,8.8,8.8,13.7,18.6,20.1,9.3,15.3,20.0,22.2,9.3,15.0,19.5,21.7,-2.2,6.5,-2.6,25.2,26.6,26.2,20.5,26.6,25.1,25.0,24.8
