,3863_FIF_38.9,3865_FIF_39.10,3867_FIF_40.11,3869_FIF_41.12
,avg,avg,avg,avg
Time,,,,
2019-01-21 23:45:36,80.538462,73.384615,74.0,100.0
2019-01-21 23:52:48,80.392857,72.071429,74.0,100.0
2019-01-22 00:00:00,80.392857,72.071429,74.0,100.0
2019-01-22 00:07:12,80.464286,72.642857,74.0,100.0
2019-01-22 00:14:24,80.464286,72.642857,74.0,100.0
2019-01-22 00:21:36,80.214286,71.607143,74.0,100.0
2019-01-22 00:28:48,80.214286,71.607143,74.0,100.0
2019-01-22 00:36:00,79.464286,69.464286,74.0,100.0
2019-01-22 00:43:12,79.464286,69.464286,74.0,100.0
2019-01-22 00:50:24,79.0,68.814815,74.0,100.0
2019-01-22 00:57:36,79.0,68.814815,74.0,100.0
2019-01-22 01:04:48,79.0,68.321429,73.714286,100.0
2019-01-22 01:12:00,79.0,68.321429,73.714286,100.0
2019-01-22 01:19:12,79.428571,68.25,74.0,100.0
2019-01-22 01:26:24,79.428571,68.25,74.0,100.0
2019-01-22 01:33:36,79.0,68.214286,73.928571,100.0
2019-01-22 01:40:48,79.0,68.214286,73.928571,100.0
2019-01-22 01:48:00,79.0,67.357143,73.357143,100.0
2019-01-22 01:55:12,79.0,67.357143,73.357143,100.0
2019-01-22 02:02:24,78.888889,66.851852,73.0,100.0
2019-01-22 02:09:36,78.888889,66.851852,73.0,100.0
2019-01-22 02:16:48,79.0,67.25,73.607143,100.0
2019-01-22 02:24:00,79.0,67.25,73.607143,100.0
2019-01-22 02:31:12,79.0,66.666667,73.37037,100.0
2019-01-22 02:38:24,79.0,66.666667,73.37037,100.0
2019-01-22 02:45:36,78.740741,65.666667,73.0,100.0
2019-01-22 02:52:48,78.740741,65.666667,73.0,100.0
2019-01-22 03:00:00,78.740741,65.666667,73.0,100.0
2019-01-22 03:07:12,79.0,65.423077,73.076923,100.0
2019-01-22 03:14:24,79.0,65.423077,73.076923,100.0
2019-01-22 03:21:36,78.962963,65.518519,73.074074,100.0
2019-01-22 03:28:48,78.962963,65.518519,73.074074,100.0
2019-01-22 03:36:00,79.0,66.428571,73.392857,100.0
2019-01-22 03:43:12,79.0,66.428571,73.392857,100.0
2019-01-22 03:50:24,79.0,65.962963,73.666667,100.0
2019-01-22 03:57:36,79.0,65.962963,73.666667,100.0
2019-01-22 04:04:48,79.0,65.296296,73.592593,100.0
2019-01-22 04:12:00,79.0,65.296296,73.592593,100.0
2019-01-22 04:19:12,79.0,63.962963,73.777778,100.0
2019-01-22 04:26:24,79.0,63.962963,73.777778,100.0
2019-01-22 04:33:36,78.444444,61.0,73.222222,100.0
2019-01-22 04:40:48,78.444444,61.0,73.222222,100.0
2019-01-22 04:48:00,79.0,55.692308,73.0,100.0
2019-01-22 04:55:12,79.0,55.692308,73.0,100.0
2019-01-22 05:02:24,79.0,56.461538,73.153846,100.0
2019-01-22 05:09:36,79.0,56.461538,73.153846,100.0
2019-01-22 05:16:48,79.074074,51.925926,73.925926,100.0
2019-01-22 05:24:00,79.074074,51.925926,73.925926,100.0
2019-01-22 05:31:12,79.925926,50.37037,74.0,100.0
2019-01-22 05:38:24,79.925926,50.37037,74.0,100.0
2019-01-22 05:45:36,79.925926,50.37037,74.0,100.0
2019-01-22 05:52:48,80.0,49.576923,74.0,100.0
2019-01-22 06:00:00,80.0,49.576923,74.0,100.0
2019-01-22 06:07:12,80.0,49.0,74.0,99.538462
2019-01-22 06:14:24,80.0,49.0,74.0,99.538462
2019-01-22 06:21:36,80.0,48.884615,74.038462,100.0
2019-01-22 06:28:48,80.0,48.884615,74.038462,100.0
2019-01-22 06:36:00,80.0,49.32,74.0,100.0
2019-01-22 06:43:12,80.0,49.32,74.0,100.0
2019-01-22 06:50:24,80.0,50.615385,74.0,100.0
2019-01-22 06:57:36,80.0,50.615385,74.0,100.0
2019-01-22 07:04:48,80.0,53.074074,73.37037,100.0
2019-01-22 07:12:00,80.0,53.074074,73.37037,100.0
2019-01-22 07:19:12,79.592593,55.0,72.592593,100.0
2019-01-22 07:26:24,79.592593,55.0,72.592593,100.0
2019-01-22 07:33:36,78.961538,56.346154,71.884615,100.0
2019-01-22 07:40:48,78.961538,56.346154,71.884615,100.0
2019-01-22 07:48:00,78.192308,65.307692,72.0,100.0
2019-01-22 07:55:12,78.192308,65.307692,72.0,100.0
2019-01-22 08:02:24,77.111111,76.666667,72.0,100.0
2019-01-22 08:09:36,77.111111,76.666667,72.0,100.0
2019-01-22 08:16:48,76.192308,80.730769,72.0,100.0
2019-01-22 08:24:00,76.192308,80.730769,72.0,100.0
2019-01-22 08:31:12,74.6,81.24,71.52,100.0
2019-01-22 08:38:24,74.6,81.24,71.52,100.0
2019-01-22 08:45:36,74.6,81.24,71.52,100.0
2019-01-22 08:52:48,72.384615,82.076923,70.923077,100.0
2019-01-22 09:00:00,72.384615,82.076923,70.923077,100.0
2019-01-22 09:07:12,71.0,82.346154,70.0,100.0
2019-01-22 09:14:24,71.0,82.346154,70.0,100.0
2019-01-22 09:21:36,71.846154,81.846154,69.115385,100.0
2019-01-22 09:28:48,71.846154,81.846154,69.115385,100.0
2019-01-22 09:36:00,72.615385,81.0,68.384615,100.0
2019-01-22 09:43:12,72.615385,81.0,68.384615,100.0
2019-01-22 09:50:24,73.0,79.32,68.0,100.0
2019-01-22 09:57:36,73.0,79.32,68.0,100.0
2019-01-22 10:04:48,73.0,81.0,68.0,99.0
2019-01-22 10:12:00,73.0,81.0,68.0,99.0
2019-01-22 10:19:12,74.5,79.0,68.0,100.0
2019-01-22 10:26:24,74.5,79.0,68.0,100.0
2019-01-22 10:33:36,74.8,78.45,68.0,95.65
2019-01-22 10:40:48,74.8,78.45,68.0,95.65
2019-01-22 10:48:00,74.8,78.45,68.0,95.65
2019-01-22 10:55:12,74.8,78.45,68.0,95.65
2019-01-22 11:02:24,74.166667,77.888889,68.0,94.777778
2019-01-22 11:09:36,74.166667,77.888889,68.0,94.777778
2019-01-22 11:16:48,74.461538,78.730769,67.538462,93.884615
2019-01-22 11:24:00,74.461538,78.730769,67.538462,93.884615
2019-01-22 11:31:12,74.0,79.0,67.0,95.0
2019-01-22 11:38:24,74.0,79.0,67.0,95.0
2019-01-22 11:45:36,74.0,76.666667,67.666667,96.0
2019-01-22 11:52:48,74.0,76.666667,67.666667,96.0
2019-01-22 12:00:00,74.0,76.666667,67.666667,96.0
2019-01-22 12:07:12,74.0,74.5,68.0,97.0
2019-01-22 12:14:24,74.0,74.5,68.0,97.0
2019-01-22 12:21:36,74.636364,69.727273,68.0,99.0
2019-01-22 12:28:48,74.636364,69.727273,68.0,99.0
2019-01-22 12:36:00,74.636364,69.727273,68.0,99.0
2019-01-22 12:43:12,74.636364,69.727273,68.0,99.0
2019-01-22 12:50:24,75.0,68.117647,68.588235,99.647059
2019-01-22 12:57:36,75.0,68.117647,68.588235,99.647059
2019-01-22 13:04:48,75.125,64.916667,69.0,100.0
2019-01-22 13:12:00,75.125,64.916667,69.0,100.0
2019-01-22 13:19:12,76.32,60.56,70.32,100.0
2019-01-22 13:26:24,76.32,60.56,70.32,100.0
2019-01-22 13:33:36,77.0,57.666667,72.0,100.0
2019-01-22 13:40:48,77.0,57.666667,72.0,100.0
2019-01-22 13:48:00,77.416667,57.25,72.0,100.0
2019-01-22 13:55:12,77.416667,57.25,72.0,100.0
2019-01-22 14:02:24,77.846154,54.769231,72.076923,100.0
2019-01-22 14:09:36,77.846154,54.769231,72.076923,100.0
2019-01-22 14:16:48,78.44,51.24,73.0,100.0
2019-01-22 14:24:00,78.44,51.24,73.0,100.0
2019-01-22 14:31:12,78.807692,49.038462,73.0,100.0
2019-01-22 14:38:24,78.807692,49.038462,73.0,100.0
2019-01-22 14:45:36,78.807692,49.038462,73.0,100.0
2019-01-22 14:52:48,79.0,49.8,73.2,100.0
2019-01-22 15:00:00,79.0,49.8,73.2,100.0
2019-01-22 15:07:12,79.0,48.6,74.0,100.0
2019-01-22 15:14:24,79.0,48.6,74.0,100.0
2019-01-22 15:21:36,79.875,47.291667,74.0,100.0
2019-01-22 15:28:48,79.875,47.291667,74.0,100.0
2019-01-22 15:36:00,80.0,45.75,74.0,100.0
2019-01-22 15:43:12,80.0,45.75,74.0,100.0
2019-01-22 15:50:24,80.083333,43.666667,74.041667,96.75
2019-01-22 15:57:36,80.083333,43.666667,74.041667,96.75
2019-01-22 16:04:48,80.16,43.2,74.44,93.36
2019-01-22 16:12:00,80.16,43.2,74.44,93.36
2019-01-22 16:19:12,80.0,41.166667,75.0,87.125
2019-01-22 16:26:24,80.0,41.166667,75.0,87.125
2019-01-22 16:33:36,80.0,40.8,75.0,85.88
2019-01-22 16:40:48,80.0,40.8,75.0,85.88
2019-01-22 16:48:00,81.0,40.72,75.0,85.08
2019-01-22 16:55:12,81.0,40.72,75.0,85.08
2019-01-22 17:02:24,81.0,41.08,75.0,85.68
2019-01-22 17:09:36,81.0,41.08,75.0,85.68
2019-01-22 17:16:48,80.44,41.04,75.0,97.24
2019-01-22 17:24:00,80.44,41.04,75.0,97.24
2019-01-22 17:31:12,80.92,41.12,75.0,98.8
2019-01-22 17:38:24,80.92,41.12,75.0,98.8
2019-01-22 17:45:36,80.92,41.12,75.0,98.8
2019-01-22 17:52:48,81.0,41.833333,75.0,94.291667
2019-01-22 18:00:00,81.0,41.833333,75.0,94.291667
