,476_APAR_715.15,480_APAR_716.16,484_APAR_717.17,488_APAR_718.18,492_APAR_719.19,496_APAR_720.20,500_APAR_721.21,504_APAR_722.22,508_APAR_723.23,512_APAR_724.24,516_APAR_725.25,520_APAR_726.26,524_APAR_727.27,528_APAR_728.28,532_APAR_729.29,536_APAR_730.30,540_APAR_731.31,544_APAR_732.32,548_APAR_733.1,552_APAR_734.2,556_APAR_735.3,560_APAR_736.4,564_APAR_737.5,568_APAR_738.6,572_APAR_739.7,576_APAR_740.8,580_APAR_741.9,584_APAR_742.10,588_APAR_743.11,592_APAR_744.12,596_APAR_745.13,600_APAR_746.14,604_APAR_747.15,608_APAR_748.16,612_APAR_749.17,616_APAR_750.18,620_APAR_751.19,624_APAR_752.20,628_APAR_753.21,632_APAR_754.22,636_APAR_755.23,640_APAR_756.24,644_APAR_757.25,706_FIF_703.3,708_FIF_704.4,710_FIF_705.5,712_FIF_706.6,714_FIF_707.7,716_FIF_708.8,718_FIF_709.9,720_FIF_710.10
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23 23:45:36,32.0,32.2,32.5,46.3,73.0,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.3,24.2,37.9,47.1,28.8,29.6,34.0,42.4,52.0,34.0,35.8,33.8,45.3,62.8,60.6,44.5,34.3,24.0,66.6,45.6,34.3,17.4,55.2,38.1,28.8,17.3,79.6,51.1,80.1,21.0,33.004464,20.0,29.0,25.0,25.0,25.0,22.098214
2019-01-23 23:52:48,31.8,31.9,32.4,46.3,73.0,31.1,30.7,28.7,48.5,76.1,48.3,48.3,50.2,61.2,23.2,24.1,38.0,47.1,28.8,29.5,34.0,42.4,52.0,34.0,35.8,33.8,45.3,62.8,60.6,44.5,34.3,24.0,66.6,45.6,34.4,17.4,55.2,38.1,28.7,17.3,79.7,51.2,80.5,21.0,33.076923,20.0,29.0,25.0,25.0,25.0,22.0
2019-01-24 00:00:00,31.8,31.9,32.4,46.3,73.0,31.1,30.7,28.7,48.5,76.1,48.3,48.3,50.2,61.2,23.2,24.1,38.0,47.1,28.8,29.5,34.0,42.4,52.0,34.0,35.8,33.8,45.3,62.8,60.6,44.5,34.3,24.0,66.6,45.6,34.4,17.4,55.2,38.1,28.7,17.3,79.7,51.2,80.5,21.0,33.076923,20.0,29.0,25.0,25.0,25.0,22.0
2019-01-24 00:07:12,31.3,31.4,32.4,46.3,73.0,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.2,24.0,38.0,47.0,28.7,29.5,33.9,42.4,52.0,34.0,35.7,33.8,45.3,62.7,60.6,44.5,34.3,23.8,66.6,45.5,34.4,17.4,55.2,38.0,28.8,17.0,79.6,51.0,80.5,21.0,31.214286,20.0,29.0,24.928571,25.0,25.0,22.0
2019-01-24 00:14:24,31.3,31.4,32.4,46.3,73.0,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.2,24.0,38.0,47.0,28.7,29.5,33.9,42.4,52.0,34.0,35.7,33.8,45.3,62.7,60.6,44.5,34.3,23.8,66.6,45.5,34.4,17.4,55.2,38.0,28.8,17.0,79.6,51.0,80.5,21.0,31.214286,20.0,29.0,24.928571,25.0,25.0,22.0
2019-01-24 00:21:36,31.8,31.9,32.4,46.3,72.9,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.1,24.0,38.0,47.0,28.7,29.5,33.9,42.3,52.0,34.0,35.7,33.8,45.3,62.7,60.6,44.5,34.3,23.9,66.5,45.5,34.4,17.4,55.1,38.0,28.7,17.1,79.8,50.9,80.4,21.0,32.857143,20.0,29.0,25.0,25.0,25.0,22.0
2019-01-24 00:28:48,31.8,31.9,32.4,46.3,72.9,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.1,24.0,38.0,47.0,28.7,29.5,33.9,42.3,52.0,34.0,35.7,33.8,45.3,62.7,60.6,44.5,34.3,23.9,66.5,45.5,34.4,17.4,55.1,38.0,28.7,17.1,79.8,50.9,80.4,21.0,32.857143,20.0,29.0,25.0,25.0,25.0,22.0
2019-01-24 00:36:00,31.7,32.0,32.4,46.2,72.9,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.1,23.9,38.0,47.0,28.7,29.5,33.9,42.3,52.0,33.9,35.7,33.7,45.2,62.7,60.6,44.5,34.3,23.9,66.5,45.5,34.4,17.4,55.1,38.0,28.7,17.1,79.9,50.8,80.6,21.0,32.625,20.0,29.0,24.9375,25.0,25.0,22.0
2019-01-24 00:43:12,31.7,32.0,32.4,46.2,72.9,31.1,30.7,28.7,48.5,76.1,48.3,48.2,50.2,61.2,23.1,23.9,38.0,47.0,28.7,29.5,33.9,42.3,52.0,33.9,35.7,33.7,45.2,62.7,60.6,44.5,34.3,23.9,66.5,45.5,34.4,17.4,55.1,38.0,28.7,17.1,79.9,50.8,80.6,21.0,32.625,20.0,29.0,24.9375,25.0,25.0,22.0
