,101_APAR_127.17,105_APAR_128.18,109_APAR_129.19,113_APAR_130.20,117_APAR_131.21,121_APAR_132.22,125_APAR_133.23,129_APAR_134.24,133_APAR_135.25,22_APAR_111.1,26_APAR_112.2,3821_APAR_19.19,3825_APAR_20.20,45_APAR_113.3,49_APAR_114.4,53_APAR_115.5,57_APAR_116.6,61_APAR_117.7,65_APAR_118.8,651_FIF_104.4,653_FIF_105.5,655_FIF_106.6,69_APAR_119.9,73_APAR_120.10,77_APAR_121.11,81_APAR_122.12,85_APAR_123.13,89_APAR_124.14,93_APAR_125.15,97_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23 23:45:36,26.7,20.6,16.9,,,,,,,20.0,19.5,0.0,0.0,17.7,5.2,-4.7,20.9,20.7,19.6,24.5,23.9,26.4,15.4,22.4,21.7,20.5,15.9,21.5,17.9,15.1
2019-01-23 23:52:48,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.9,20.7,19.6,24.4,23.8,26.3,15.3,22.4,21.7,20.5,15.9,21.4,17.8,15.1
2019-01-24 00:00:00,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.9,20.7,19.6,24.4,23.8,26.3,15.3,22.4,21.7,20.5,15.9,21.4,17.8,15.1
2019-01-24 00:07:12,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.8,20.6,19.5,24.4,23.8,26.5,15.3,22.3,21.6,20.5,15.9,21.4,17.8,15.1
2019-01-24 00:14:24,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.8,20.6,19.5,24.4,23.8,26.5,15.3,22.3,21.6,20.5,15.9,21.4,17.8,15.1
2019-01-24 00:21:36,26.6,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.8,20.6,19.5,24.4,23.9,26.7,15.3,22.3,21.6,20.5,15.9,21.3,17.8,15.1
2019-01-24 00:28:48,26.6,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.7,5.2,-4.7,20.8,20.6,19.5,24.4,23.9,26.7,15.3,22.3,21.6,20.5,15.9,21.3,17.8,15.1
2019-01-24 00:36:00,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.6,5.2,-4.7,20.8,20.6,19.5,24.4,23.9,26.6,15.3,22.3,21.6,20.5,15.9,21.3,17.8,15.0
2019-01-24 00:43:12,26.7,20.6,16.9,,,,,,,19.9,19.4,0.0,0.0,17.6,5.2,-4.7,20.8,20.6,19.5,24.4,23.9,26.6,15.3,22.3,21.6,20.5,15.9,21.3,17.8,15.0
2019-01-24 00:50:24,26.7,20.6,16.9,,,,,,,19.9,19.3,0.0,0.0,17.6,5.2,-4.7,20.8,20.6,19.5,24.4,23.8,26.5,15.3,22.3,21.6,20.4,15.9,21.3,17.7,15.0
2019-01-24 00:57:36,26.7,20.6,16.9,,,,,,,19.9,19.3,0.0,0.0,17.6,5.2,-4.7,20.8,20.6,19.5,24.4,23.8,26.5,15.3,22.3,21.6,20.4,15.9,21.3,17.7,15.0
2019-01-24 01:04:48,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.4,23.8,26.3,15.2,22.3,21.6,20.4,15.9,21.2,17.7,15.0
2019-01-24 01:12:00,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.4,23.8,26.3,15.2,22.3,21.6,20.4,15.9,21.2,17.7,15.0
2019-01-24 01:19:12,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.2,15.2,22.3,21.6,20.4,15.9,21.2,17.7,15.0
2019-01-24 01:26:24,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.2,15.2,22.3,21.6,20.4,15.9,21.2,17.7,15.0
2019-01-24 01:33:36,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.4,15.2,22.3,21.6,20.4,15.9,21.2,17.6,14.9
2019-01-24 01:40:48,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.6,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.4,15.2,22.3,21.6,20.4,15.9,21.2,17.6,14.9
2019-01-24 01:48:00,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.5,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.6,15.2,22.3,21.6,20.4,15.9,21.1,17.6,14.9
2019-01-24 01:55:12,26.7,20.6,16.9,,,,,,,19.8,19.3,0.0,0.0,17.5,5.2,-4.7,20.7,20.5,19.4,24.3,23.7,26.6,15.2,22.3,21.6,20.4,15.9,21.1,17.6,14.9
2019-01-24 02:02:24,26.7,20.6,16.9,,,,,,,19.8,19.2,0.0,0.0,17.5,5.2,-4.7,20.6,20.4,19.4,24.3,23.7,26.5,15.2,22.3,21.6,20.4,15.9,21.1,17.6,14.9
2019-01-24 02:09:36,26.7,20.6,16.9,,,,,,,19.8,19.2,0.0,0.0,17.5,5.2,-4.7,20.6,20.4,19.4,24.3,23.7,26.5,15.2,22.3,21.6,20.4,15.9,21.1,17.6,14.9
2019-01-24 02:16:48,26.7,20.5,16.9,,,,,,,19.7,19.2,0.0,0.0,17.5,5.2,-4.8,20.6,20.4,19.3,24.3,23.7,26.4,15.1,22.3,21.5,20.4,15.9,21.1,17.6,14.9
