,4146_MBUS Bmeters,4147_MBUS Bmeters,4150_MBUS Bmeters,4153_MBUS Bmeters,4155_MBUS Bmeters,4156_MBUS Bmeters,4157_MBUS Bmeters,4158_MBUS Bmeters,4159_MBUS Bmeters
,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,
2019-01-24 23:45:36,,,,,,,,,
2019-01-24 23:52:48,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:00:00,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:07:12,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:14:24,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:21:36,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:28:48,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:36:00,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:43:12,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:50:24,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 00:57:36,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:04:48,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:12:00,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:19:12,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:26:24,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:33:36,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:40:48,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:48:00,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 01:55:12,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 02:02:24,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
2019-01-25 02:09:36,0.063,0.115,0.038,0.054,0.036,0.037,0.036,0.08,0.039
