,305_APAR_411.11,309_APAR_412.12,313_APAR_413.13,317_APAR_414.14,321_APAR_415.15,325_APAR_416.16,329_APAR_417.17,333_APAR_418.18,337_APAR_419.19,341_APAR_420.20,345_APAR_421.21,349_APAR_422.22,353_APAR_423.23,357_APAR_424.24,361_APAR_425.25,681_FIF_402.2,683_FIF_403.3,685_FIF_404.4,687_FIF_405.5,689_FIF_406.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-25 23:45:36,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.4,20.1,23.9,21.2,20.9,19.9
2019-01-25 23:52:48,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.4,20.1,24.1,21.2,20.9,19.9
2019-01-26 00:00:00,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.4,20.1,24.1,21.2,20.9,19.9
2019-01-26 00:07:12,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.4,20.1,24.2,21.3,21.0,20.0
2019-01-26 00:14:24,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.4,20.1,24.2,21.3,21.0,20.0
2019-01-26 00:21:36,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.3,20.1,24.1,21.3,21.0,20.0
2019-01-26 00:28:48,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.6,5.0,18.3,17.8,16.6,4.7,-4.3,20.1,24.1,21.3,21.0,20.0
2019-01-26 00:36:00,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.5,5.0,18.3,17.8,16.6,4.7,-4.3,20.1,24.0,21.3,21.0,20.0
2019-01-26 00:43:12,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.5,5.0,18.3,17.8,16.6,4.7,-4.3,20.1,24.0,21.3,21.0,20.0
2019-01-26 00:50:24,19.6,19.3,17.3,11.6,7.5,19.0,18.5,17.0,11.5,5.0,18.3,17.8,16.6,4.7,-4.3,20.1,24.0,21.3,21.0,20.0
