,416_APAR_611.11,420_APAR_612.12,424_APAR_613.13,428_APAR_614.14,432_APAR_615.15,436_APAR_616.16,440_APAR_617.17,444_APAR_618.18,448_APAR_619.19,452_APAR_620.20,456_APAR_621.21,460_APAR_622.22,464_APAR_623.23,468_APAR_624.24,472_APAR_625.25,696_FIF_602.2,698_FIF_603.3,700_FIF_604.4,702_FIF_605.5,704_FIF_606.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-26 23:45:36,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.4,21.0,24.0,23.0,27.0,19.0
2019-01-26 23:52:48,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.4,21.0,24.0,23.0,27.0,19.0
2019-01-27 00:00:00,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.4,21.0,24.0,23.0,27.0,19.0
2019-01-27 00:07:12,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,42.9,20.1,20.6,22.4,45.4,72.4,21.0,23.967742,23.0,27.0,19.0
2019-01-27 00:14:24,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,42.9,20.1,20.6,22.4,45.4,72.4,21.0,23.967742,23.0,27.0,19.0
2019-01-27 00:21:36,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.4,21.0,24.0,23.0,27.0,19.0
2019-01-27 00:28:48,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.4,21.0,24.0,23.0,27.0,19.0
2019-01-27 00:36:00,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,42.9,20.1,20.6,22.4,45.4,72.5,20.967742,24.0,23.0,27.0,19.0
2019-01-27 00:43:12,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,42.9,20.1,20.6,22.4,45.4,72.5,20.967742,24.0,23.0,27.0,19.0
2019-01-27 00:50:24,20.9,21.2,25.0,33.4,45.2,22.9,23.3,31.0,36.2,43.0,20.1,20.6,22.4,45.4,72.5,21.0,24.0,23.0,27.0,19.0
