,136_APAR_213.1,144_APAR_214.2,148_APAR_215.3,152_APAR_216.4,156_APAR_217.5,160_APAR_218.6,164_APAR_219.7,168_APAR_220.8,172_APAR_221.9,176_APAR_222.10,180_APAR_223.11,184_APAR_224.12,188_APAR_225.13,192_APAR_226.14,196_APAR_227.15,200_APAR_228.16,204_APAR_229.17,208_APAR_230.18,212_APAR_231.19,216_APAR_232.20,220_APAR_233.21,224_APAR_234.22,228_APAR_235.23,232_APAR_236.24,236_APAR_237.25,240_APAR_238.26,244_APAR_239.27,248_APAR_240.28,3808_APAR_16.16,3812_APAR_17.17,3816_APAR_18.18,656_FIF_203.3,658_FIF_204.4,660_FIF_205.5,662_FIF_206.6,664_FIF_207.7
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-26 23:45:36,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.1,25.7,27.9,36.2,29.6,40.3,47.9,25.5,35.2,50.8,,,,,,,,,,35.0,100.0,36.6,23.0,26.0,20.84,23.0,21.28
2019-01-26 23:52:48,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.8,27.9,36.2,29.5,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.0,100.0,36.6,23.0,26.0,20.84375,23.0,21.03125
2019-01-27 00:00:00,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.8,27.9,36.2,29.5,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.0,100.0,36.6,23.0,26.0,20.84375,23.0,21.03125
2019-01-27 00:07:12,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.8,27.9,36.3,29.6,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.1,100.0,36.6,23.0,26.0,20.709677,23.0,21.096774
2019-01-27 00:14:24,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.8,27.9,36.3,29.6,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.1,100.0,36.6,23.0,26.0,20.709677,23.0,21.096774
2019-01-27 00:21:36,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.7,28.0,36.3,29.6,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.1,100.0,36.6,23.0,26.0,20.741935,23.0,21.064516
2019-01-27 00:28:48,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.7,28.0,36.3,29.6,40.3,47.9,25.5,35.1,50.8,,,,,,,,,,35.1,100.0,36.6,23.0,26.0,20.741935,23.0,21.064516
2019-01-27 00:36:00,24.1,24.3,27.6,39.1,51.8,24.4,26.8,30.1,39.7,52.0,25.6,28.0,36.3,29.6,40.3,47.9,25.6,35.2,50.8,,,,,,,,,,35.0,100.0,36.6,23.0,26.0,20.806452,23.0,21.032258
