,4246_Mbus Apators,4257_Mbus Apators,4268_Mbus Apators,4279_Mbus Apators,4290_Mbus Apators,4301_Mbus Apators,4312_Mbus Apators,4323_Mbus Apators
,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,
2019-01-30 23:45:36,0.0,0.38,0.48,1.06,0.0,4.19,0.0,0.0
2019-01-30 23:52:48,0.0,0.6,0.7,0.99,0.0,7.6,0.0,0.0
2019-01-31 00:00:00,0.0,0.6,0.7,0.99,0.0,7.6,0.0,0.0
2019-01-31 00:07:12,0.0,0.81,0.8,0.64,0.0,7.76,0.0,0.0
2019-01-31 00:14:24,0.0,0.81,0.8,0.64,0.0,7.76,0.0,0.0
2019-01-31 00:21:36,0.0,1.05,0.9,1.18,0.0,7.95,0.0,0.0
2019-01-31 00:28:48,0.0,1.05,0.9,1.18,0.0,7.95,0.0,0.0
2019-01-31 00:36:00,1.74,1.2,1.0,1.32,0.0,8.1,0.0,0.0
2019-01-31 00:43:12,1.74,1.2,1.0,1.32,0.0,8.1,0.0,0.0
2019-01-31 00:50:24,1.86,1.3,1.1,1.19,0.0,8.07,0.0,0.0
2019-01-31 00:57:36,1.86,1.3,1.1,1.19,0.0,8.07,0.0,0.0
2019-01-31 01:04:48,0.0,0.72,0.65,1.04,0.0,4.36,0.0,0.0
2019-01-31 01:12:00,0.0,0.72,0.65,1.04,0.0,4.36,0.0,0.0
2019-01-31 01:19:12,0.0,0.17,0.27,0.47,0.0,0.0,0.0,0.0
2019-01-31 01:26:24,0.0,0.17,0.27,0.47,0.0,0.0,0.0,0.0
2019-01-31 01:33:36,0.0,0.36,0.46,1.04,0.0,0.0,0.0,0.0
2019-01-31 01:40:48,0.0,0.36,0.46,1.04,0.0,0.0,0.0,0.0
2019-01-31 01:48:00,0.0,0.34,0.44,1.06,0.0,2.67,0.0,0.0
2019-01-31 01:55:12,0.0,0.34,0.44,1.06,0.0,2.67,0.0,0.0
2019-01-31 02:02:24,0.0,0.4,0.5,0.83,0.0,6.8,0.0,0.0
2019-01-31 02:09:36,0.0,0.4,0.5,0.83,0.0,6.8,0.0,0.0
2019-01-31 02:16:48,1.24,0.61,0.67,0.67,0.0,7.39,0.0,0.0
2019-01-31 02:24:00,1.24,0.61,0.67,0.67,0.0,7.39,0.0,0.0
2019-01-31 02:31:12,2.77,1.17,1.09,0.69,0.0,8.44,0.0,0.0
2019-01-31 02:38:24,2.77,1.17,1.09,0.69,0.0,8.44,0.0,0.0
2019-01-31 02:45:36,2.77,1.17,1.09,0.69,0.0,8.44,0.0,0.0
2019-01-31 02:52:48,1.55,1.02,0.91,0.06,0.0,8.3,0.0,0.0
2019-01-31 03:00:00,1.55,1.02,0.91,0.06,0.0,8.3,0.0,0.0
2019-01-31 03:07:12,1.64,0.09,0.16,0.51,0.0,6.22,0.0,0.0
2019-01-31 03:14:24,1.64,0.09,0.16,0.51,0.0,6.22,0.0,0.0
2019-01-31 03:21:36,0.8,0.74,0.66,1.16,0.0,2.2,0.0,0.0
2019-01-31 03:28:48,0.8,0.74,0.66,1.16,0.0,2.2,0.0,0.0
2019-01-31 03:36:00,2.17,1.68,1.43,1.02,0.0,8.8,0.0,0.0
2019-01-31 03:43:12,2.17,1.68,1.43,1.02,0.0,8.8,0.0,0.0
2019-01-31 03:50:24,0.0,1.08,0.96,1.74,0.0,7.8,0.0,0.0
2019-01-31 03:57:36,0.0,1.08,0.96,1.74,0.0,7.8,0.0,0.0
2019-01-31 04:04:48,0.0,1.16,1.02,0.79,0.0,5.76,0.0,0.0
2019-01-31 04:12:00,0.0,1.16,1.02,0.79,0.0,5.76,0.0,0.0
2019-01-31 04:19:12,0.0,0.26,0.38,0.9,0.0,0.02,0.0,0.0
2019-01-31 04:26:24,0.0,0.26,0.38,0.9,0.0,0.02,0.0,0.0
2019-01-31 04:33:36,0.0,0.14,0.33,0.0,0.0,1.06,0.0,0.0
2019-01-31 04:40:48,0.0,0.14,0.33,0.0,0.0,1.06,0.0,0.0
2019-01-31 04:48:00,0.31,0.46,0.54,0.24,0.0,6.8,0.0,0.0
2019-01-31 04:55:12,0.31,0.46,0.54,0.24,0.0,6.8,0.0,0.0
2019-01-31 05:02:24,2.12,0.8,0.79,1.68,0.0,6.92,0.0,0.0
2019-01-31 05:09:36,2.12,0.8,0.79,1.68,0.0,6.92,0.0,0.0
2019-01-31 05:16:48,1.54,0.82,0.71,1.51,0.0,7.94,0.0,0.0
2019-01-31 05:24:00,1.54,0.82,0.71,1.51,0.0,7.94,0.0,0.0
2019-01-31 05:31:12,2.05,1.11,0.91,1.58,0.0,8.4,0.0,0.0
2019-01-31 05:38:24,2.05,1.11,0.91,1.58,0.0,8.4,0.0,0.0
2019-01-31 05:45:36,2.05,1.11,0.91,1.58,0.0,8.4,0.0,0.0
2019-01-31 05:52:48,1.43,1.29,1.1,1.33,0.0,8.3,0.0,0.0
2019-01-31 06:00:00,1.43,1.29,1.1,1.33,0.0,8.3,0.0,0.0
2019-01-31 06:07:12,2.12,0.98,0.99,2.14,0.0,8.01,0.0,0.0
2019-01-31 06:14:24,2.12,0.98,0.99,2.14,0.0,8.01,0.0,0.0
2019-01-31 06:21:36,0.0,0.5,0.6,0.4,0.0,0.0,0.0,0.0
2019-01-31 06:28:48,0.0,0.5,0.6,0.4,0.0,0.0,0.0,0.0
2019-01-31 06:36:00,0.0,0.2,0.3,0.11,0.0,0.0,0.0,0.0
2019-01-31 06:43:12,0.0,0.2,0.3,0.11,0.0,0.0,0.0,0.0
