,252_APAR_314.14,256_APAR_315.15,260_APAR_316.16,264_APAR_317.17,268_APAR_318.18,272_APAR_319.19,276_APAR_320.20,280_APAR_321.21,284_APAR_322.22,288_APAR_323.23,292_APAR_324.24,296_APAR_325.25,300_APAR_326.26,666_FIF_304.4,668_FIF_305.5,670_FIF_306.6,672_FIF_310.10,674_FIF_311.11,676_FIF_312.12,678_FIF_313.13
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,
2019-01-30 23:45:36,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.9,29.0,25.137931,25.0,,,56.206897,23.517241
2019-01-30 23:52:48,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.142857,25.0,,,61.178571,23.071429
2019-01-31 00:00:00,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.142857,25.0,,,61.178571,23.071429
2019-01-31 00:07:12,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.222222,25.0,,,63.148148,23.037037
2019-01-31 00:14:24,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.222222,25.0,,,63.148148,23.037037
2019-01-31 00:21:36,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.413793,25.0,,,66.310345,23.034483
2019-01-31 00:28:48,24.8,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.413793,25.0,,,66.310345,23.034483
2019-01-31 00:36:00,24.7,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.310345,25.0,,,60.482759,23.241379
2019-01-31 00:43:12,24.7,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.310345,25.0,,,60.482759,23.241379
2019-01-31 00:50:24,24.7,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.275862,25.0,,,63.689655,23.0
2019-01-31 00:57:36,24.7,25.3,26.0,41.0,83.1,35.8,37.8,40.4,50.0,26.2,26.9,32.4,39.8,29.0,25.275862,25.0,,,63.689655,23.0
