,2202_LE03_02.2,2269_LE03_03.3,2336_LE03_04.4,2403_LE03_05.5,2470_LE03_06.6,2537_LE03_07.7,2604_LE03_08.8,2671_LE03_09.9,3851_LE01_26.10,4037_LE03_27.26,4405_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-02-01 23:45:36,2362.8,353.3,671.0,,,,,,,,
2019-02-01 23:52:48,407.9,183.4,629.7,55.7,692.7,119.4,341.7,3036.7,16.0,82.0,7731.3
2019-02-02 00:00:00,407.9,183.4,629.7,38.2,534.7,84.4,308.7,3068.7,16.4,82.2,5354.3
2019-02-02 00:07:12,276.0,130.0,637.3,50.0,727.5,153.2,305.7,2779.9,16.3,82.2,5158.3
2019-02-02 00:14:24,276.0,130.0,637.3,50.0,727.5,153.2,305.7,2779.9,16.3,82.2,5158.3
2019-02-02 00:21:36,436.9,291.1,628.0,38.3,573.6,129.5,312.3,2989.8,16.2,82.3,5497.8
2019-02-02 00:28:48,436.9,291.1,628.0,38.3,573.6,129.5,312.3,2989.8,16.2,82.3,5497.8
2019-02-02 00:36:00,710.1,164.3,660.9,41.8,655.5,114.1,349.6,3051.7,16.0,82.3,5846.1
2019-02-02 00:43:12,710.1,164.3,660.9,41.8,655.5,114.1,349.6,3051.7,16.0,82.3,5846.1
2019-02-02 00:50:24,2013.7,238.6,719.0,38.1,486.6,222.3,358.7,2221.0,16.3,82.3,6396.7
2019-02-02 00:57:36,2013.7,238.6,719.0,38.1,486.6,222.3,358.7,2221.0,16.3,82.3,6396.7
2019-02-02 01:04:48,755.1,311.4,660.8,85.9,647.3,130.0,405.5,2162.1,16.1,82.3,5256.5
2019-02-02 01:12:00,755.1,311.4,660.8,85.9,647.3,130.0,405.5,2162.1,16.1,82.3,5256.5
2019-02-02 01:19:12,369.4,219.4,720.2,62.7,547.6,118.9,181.8,2999.7,16.3,82.4,5318.4
2019-02-02 01:26:24,369.4,219.4,720.2,62.7,547.6,118.9,181.8,2999.7,16.3,82.4,5318.4
2019-02-02 01:33:36,555.3,234.4,528.7,52.6,714.9,161.0,342.5,3102.5,16.5,82.6,5791.0
2019-02-02 01:40:48,555.3,234.4,528.7,52.6,714.9,161.0,342.5,3102.5,16.5,82.6,5791.0
2019-02-02 01:48:00,1843.6,295.4,714.1,50.9,474.8,82.3,350.0,2109.1,16.4,82.3,6018.9
2019-02-02 01:55:12,1843.6,295.4,714.1,50.9,474.8,82.3,350.0,2109.1,16.4,82.3,6018.9
2019-02-02 02:02:24,522.7,202.4,579.5,37.9,693.9,214.3,191.5,1905.6,16.5,82.5,4446.7
2019-02-02 02:09:36,522.7,202.4,579.5,37.9,693.9,214.3,191.5,1905.6,16.5,82.5,4446.7
2019-02-02 02:16:48,188.1,86.2,697.6,38.0,559.0,182.7,278.4,2958.5,16.3,82.4,5087.2
2019-02-02 02:24:00,188.1,86.2,697.6,38.0,559.0,182.7,278.4,2958.5,16.3,82.4,5087.2
2019-02-02 02:31:12,598.3,271.2,491.4,37.8,604.5,230.9,332.7,2782.3,16.4,82.7,5402.7
2019-02-02 02:38:24,598.3,271.2,491.4,37.8,604.5,230.9,332.7,2782.3,16.4,82.7,5402.7
2019-02-02 02:45:36,598.3,271.2,491.4,37.8,604.5,230.9,332.7,2782.3,16.4,82.7,5402.7
2019-02-02 02:52:48,1131.4,137.5,737.2,38.0,656.0,36.9,355.7,2944.0,16.5,82.6,6135.8
