,364_APAR_511.11,368_APAR_512.12,372_APAR_513.13,376_APAR_514.14,380_APAR_515.15,384_APAR_516.16,388_APAR_517.17,392_APAR_518.18,396_APAR_519.19,400_APAR_520.20,404_APAR_521.21,408_APAR_522.22,412_APAR_523.23,690_FIF_504.4,692_FIF_505.5,694_FIF_506.6
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,
2019-02-02 23:45:36,26.9,27.1,37.4,51.0,68.5,37.8,38.6,40.3,45.3,25.9,26.7,32.2,36.0,28.580645,27.0,28.0
2019-02-02 23:52:48,26.9,27.1,37.4,51.0,68.5,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.466667,27.0,28.0
2019-02-03 00:00:00,26.9,27.1,37.4,51.0,68.5,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.466667,27.0,28.0
2019-02-03 00:07:12,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.7,27.0,28.0
2019-02-03 00:14:24,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.7,27.0,28.0
2019-02-03 00:21:36,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.7,27.0,28.0
2019-02-03 00:28:48,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.7,27.0,28.0
2019-02-03 00:36:00,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.833333,27.0,28.0
2019-02-03 00:43:12,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,25.9,26.7,32.2,36.0,28.833333,27.0,28.0
2019-02-03 00:50:24,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,26.0,26.7,32.2,36.0,28.8,27.0,28.0
2019-02-03 00:57:36,26.9,27.1,37.4,51.0,68.4,37.8,38.5,40.3,45.3,26.0,26.7,32.2,36.0,28.8,27.0,28.0
2019-02-03 01:04:48,26.9,27.2,37.4,51.0,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.8,27.0,28.0
2019-02-03 01:12:00,26.9,27.2,37.4,51.0,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.8,27.0,28.0
2019-02-03 01:19:12,26.9,27.2,37.4,50.9,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.8,27.0,28.0
2019-02-03 01:26:24,26.9,27.2,37.4,50.9,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.8,27.0,28.0
2019-02-03 01:33:36,26.9,27.2,37.4,50.9,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.827586,27.0,28.0
2019-02-03 01:40:48,26.9,27.2,37.4,50.9,68.3,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.827586,27.0,28.0
2019-02-03 01:48:00,26.9,27.2,37.4,50.9,68.2,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.9,27.0,28.0
2019-02-03 01:55:12,26.9,27.2,37.4,50.9,68.2,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.9,27.0,28.0
2019-02-03 02:02:24,26.9,27.2,37.4,50.8,68.2,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,29.0,27.0,28.0
2019-02-03 02:09:36,26.9,27.2,37.4,50.8,68.2,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,29.0,27.0,28.0
2019-02-03 02:16:48,26.9,27.2,37.3,50.8,68.1,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.866667,27.0,28.0
2019-02-03 02:24:00,26.9,27.2,37.3,50.8,68.1,37.8,38.5,40.3,45.3,26.0,26.8,32.2,36.0,28.866667,27.0,28.0
2019-02-03 02:31:12,26.9,27.2,37.3,50.8,68.1,37.8,38.5,40.3,45.3,26.1,26.8,32.3,36.0,28.892857,27.0,28.0
2019-02-03 02:38:24,26.9,27.2,37.3,50.8,68.1,37.8,38.5,40.3,45.3,26.1,26.8,32.3,36.0,28.892857,27.0,28.0
