,4245_Mbus Apators,4256_Mbus Apators,4267_Mbus Apators,4278_Mbus Apators,4289_Mbus Apators,4300_Mbus Apators,4311_Mbus Apators,4322_Mbus Apators
,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,
2019-02-02 23:45:36,0.36,0.37,0.25,0.13,0.0,1.011419,0.0,0.0
2019-02-02 23:52:48,0.36,0.37,0.25,0.14,0.0,0.674967,0.0,0.0
2019-02-03 00:00:00,0.36,0.37,0.25,0.14,0.0,0.674967,0.0,0.0
2019-02-03 00:07:12,0.36,0.37,0.25,0.15,0.0,0.418,0.0,0.0
2019-02-03 00:14:24,0.36,0.37,0.25,0.15,0.0,0.418,0.0,0.0
2019-02-03 00:21:36,0.36,0.37,0.25,0.15,0.0,0.634,0.0,0.0
2019-02-03 00:28:48,0.36,0.37,0.25,0.15,0.0,0.634,0.0,0.0
2019-02-03 00:36:00,0.44,0.36,0.25,0.14,0.0,0.9185,0.0,0.0
2019-02-03 00:43:12,0.44,0.36,0.25,0.14,0.0,0.9185,0.0,0.0
2019-02-03 00:50:24,0.53,0.36,0.24,0.13,0.0,1.0085,0.0,0.0
2019-02-03 00:57:36,0.53,0.36,0.24,0.13,0.0,1.0085,0.0,0.0
2019-02-03 01:04:48,0.53,0.36,0.24,0.13,0.0,1.007667,0.0,0.0
2019-02-03 01:12:00,0.53,0.36,0.24,0.13,0.0,1.007667,0.0,0.0
2019-02-03 01:19:12,0.54,0.37,0.25,0.07,0.0,1.013433,0.0,0.0
2019-02-03 01:26:24,0.54,0.37,0.25,0.07,0.0,1.013433,0.0,0.0
2019-02-03 01:33:36,0.54,0.37,0.25,0.05,0.0,1.014,0.0,0.0
2019-02-03 01:40:48,0.54,0.37,0.25,0.05,0.0,1.014,0.0,0.0
2019-02-03 01:48:00,0.45,0.37,0.25,0.09,0.0,1.0144,0.0,0.0
2019-02-03 01:55:12,0.45,0.37,0.25,0.09,0.0,1.0144,0.0,0.0
2019-02-03 02:02:24,0.4,0.38,0.25,0.08,0.0,1.015759,0.0,0.0
2019-02-03 02:09:36,0.4,0.38,0.25,0.08,0.0,1.015759,0.0,0.0
2019-02-03 02:16:48,0.41,0.37,0.25,0.13,0.0,0.797733,0.0,0.0
2019-02-03 02:24:00,0.41,0.37,0.25,0.13,0.0,0.797733,0.0,0.0
2019-02-03 02:31:12,0.36,0.36,0.25,0.14,0.0,0.418714,0.0,0.0
2019-02-03 02:38:24,0.36,0.36,0.25,0.14,0.0,0.418714,0.0,0.0
2019-02-03 02:45:36,0.32,0.36,0.25,0.13,0.0,0.544,0.0,0.0
2019-02-03 02:52:48,0.32,0.36,0.25,0.13,0.0,0.544,0.0,0.0
2019-02-03 03:00:00,0.32,0.36,0.25,0.13,0.0,0.544,0.0,0.0
2019-02-03 03:07:12,0.25,0.36,0.25,0.15,0.0,0.873792,0.0,0.0
2019-02-03 03:14:24,0.25,0.36,0.25,0.15,0.0,0.873792,0.0,0.0
2019-02-03 03:21:36,0.26,0.37,0.25,0.15,0.0,1.020143,0.0,0.0
2019-02-03 03:28:48,0.26,0.37,0.25,0.15,0.0,1.020143,0.0,0.0
2019-02-03 03:36:00,0.33,0.36,0.25,0.15,0.0,0.876966,0.0,0.0
2019-02-03 03:43:12,0.33,0.36,0.25,0.15,0.0,0.876966,0.0,0.0
2019-02-03 03:50:24,0.49,0.35,0.24,0.14,0.0,0.473517,0.0,0.0
2019-02-03 03:57:36,0.49,0.35,0.24,0.14,0.0,0.473517,0.0,0.0
2019-02-03 04:04:48,0.5,0.36,0.24,0.12,0.0,0.735267,0.0,0.0
2019-02-03 04:12:00,0.5,0.36,0.24,0.12,0.0,0.735267,0.0,0.0
2019-02-03 04:19:12,0.58,0.36,0.24,0.12,0.0,1.021828,0.0,0.0
2019-02-03 04:26:24,0.58,0.36,0.24,0.12,0.0,1.021828,0.0,0.0
2019-02-03 04:33:36,0.49,0.37,0.25,0.12,0.0,1.021167,0.0,0.0
2019-02-03 04:40:48,0.49,0.37,0.25,0.12,0.0,1.021167,0.0,0.0
2019-02-03 04:48:00,0.58,0.36,0.24,0.12,0.0,1.022,0.0,0.0
2019-02-03 04:55:12,0.58,0.36,0.24,0.12,0.0,1.022,0.0,0.0
2019-02-03 05:02:24,0.46,0.37,0.25,0.12,0.0,1.021724,0.0,0.0
2019-02-03 05:09:36,0.46,0.37,0.25,0.12,0.0,1.021724,0.0,0.0
2019-02-03 05:16:48,0.43,0.38,0.25,0.01,0.0,1.019586,0.0,0.0
2019-02-03 05:24:00,0.43,0.38,0.25,0.01,0.0,1.019586,0.0,0.0
2019-02-03 05:31:12,0.25,0.38,0.26,0.13,0.0,1.015586,0.0,0.0
2019-02-03 05:38:24,0.25,0.38,0.26,0.13,0.0,1.015586,0.0,0.0
2019-02-03 05:45:36,0.25,0.38,0.26,0.13,0.0,1.015586,0.0,0.0
2019-02-03 05:52:48,0.25,0.39,0.26,0.0,0.0,0.942207,0.0,0.0
2019-02-03 06:00:00,0.25,0.39,0.26,0.0,0.0,0.942207,0.0,0.0
2019-02-03 06:07:12,0.26,0.38,0.26,0.0,0.0,0.014276,0.0,0.0
2019-02-03 06:14:24,0.26,0.38,0.26,0.0,0.0,0.014276,0.0,0.0
2019-02-03 06:21:36,0.36,0.36,0.25,0.12,0.0,0.414,0.0,0.0
2019-02-03 06:28:48,0.36,0.36,0.25,0.12,0.0,0.414,0.0,0.0
2019-02-03 06:36:00,0.36,0.36,0.25,0.12,0.0,0.413,0.0,0.0
