,4244_Mbus Apators,4255_Mbus Apators,4266_Mbus Apators,4277_Mbus Apators,4288_Mbus Apators,4299_Mbus Apators,4310_Mbus Apators,4321_Mbus Apators
,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,
2019-02-03 23:45:36,,,,,,,,
2019-02-03 23:52:48,358.518553,510.999159,484.995606,380.479385,0.139,1318.723349,0.132,0.0
2019-02-04 00:00:00,358.650586,511.08559,485.05575,380.508583,0.139,1318.909154,0.132,0.0
2019-02-04 00:07:12,358.780137,511.174131,485.116704,380.540261,0.139,1319.154773,0.132,0.0
2019-02-04 00:14:24,358.780137,511.174131,485.116704,380.540261,0.139,1319.154773,0.132,0.0
2019-02-04 00:21:36,358.903939,511.262524,485.177069,380.573661,0.139,1319.405119,0.132,0.0
2019-02-04 00:28:48,358.903939,511.262524,485.177069,380.573661,0.139,1319.405119,0.132,0.0
2019-02-04 00:36:00,359.009506,511.352493,485.238495,380.604004,0.139,1319.627014,0.132,0.0
2019-02-04 00:43:12,359.009506,511.352493,485.238495,380.604004,0.139,1319.627014,0.132,0.0
2019-02-04 00:50:24,359.098999,511.446503,485.302994,380.636505,0.139,1319.777474,0.132,0.0
2019-02-04 00:57:36,359.098999,511.446503,485.302994,380.636505,0.139,1319.777474,0.132,0.0
2019-02-04 01:04:48,359.186396,511.538268,485.365804,380.672807,0.139,1319.919208,0.132,0.0
2019-02-04 01:12:00,359.186396,511.538268,485.365804,380.672807,0.139,1319.919208,0.132,0.0
2019-02-04 01:19:12,359.269915,511.626772,485.426075,380.708074,0.139,1320.120577,0.132,0.0
2019-02-04 01:26:24,359.269915,511.626772,485.426075,380.708074,0.139,1320.120577,0.132,0.0
2019-02-04 01:33:36,359.360772,511.72367,485.491455,380.745121,0.139,1320.385145,0.132,0.0
2019-02-04 01:40:48,359.360772,511.72367,485.491455,380.745121,0.139,1320.385145,0.132,0.0
2019-02-04 01:48:00,359.459854,511.813934,485.551358,380.777363,0.139,1320.630001,0.132,0.0
2019-02-04 01:55:12,359.459854,511.813934,485.551358,380.777363,0.139,1320.630001,0.132,0.0
2019-02-04 02:02:24,359.58987,511.905836,485.612096,380.803868,0.139,1320.880587,0.132,0.0
2019-02-04 02:09:36,359.58987,511.905836,485.612096,380.803868,0.139,1320.880587,0.132,0.0
2019-02-04 02:16:48,359.725498,512.001206,485.675473,380.816569,0.139,1321.138924,0.132,0.0
2019-02-04 02:24:00,359.725498,512.001206,485.675473,380.816569,0.139,1321.138924,0.132,0.0
2019-02-04 02:31:12,359.850667,512.09434,485.737671,380.821014,0.139,1321.388997,0.132,0.0
2019-02-04 02:38:24,359.850667,512.09434,485.737671,380.821014,0.139,1321.388997,0.132,0.0
2019-02-04 02:45:36,359.956329,512.190999,485.803335,380.821014,0.139,1321.635701,0.132,0.0
2019-02-04 02:52:48,359.956329,512.190999,485.803335,380.821014,0.139,1321.635701,0.132,0.0
2019-02-04 03:00:00,359.956329,512.190999,485.803335,380.821014,0.139,1321.635701,0.132,0.0
2019-02-04 03:07:12,360.03067,512.286662,485.870331,380.821014,0.139,1321.80835,0.132,0.0
2019-02-04 03:14:24,360.03067,512.286662,485.870331,380.821014,0.139,1321.80835,0.132,0.0
2019-02-04 03:21:36,360.091937,512.374811,485.93294,380.826806,0.139,1321.884244,0.132,0.0
2019-02-04 03:28:48,360.091937,512.374811,485.93294,380.826806,0.139,1321.884244,0.132,0.0
2019-02-04 03:36:00,360.163009,512.464282,485.995215,380.851182,0.139,1321.986635,0.132,0.0
2019-02-04 03:43:12,360.163009,512.464282,485.995215,380.851182,0.139,1321.986635,0.132,0.0
2019-02-04 03:50:24,360.247007,512.549495,486.058446,380.888933,0.139,1322.112157,0.132,0.0
2019-02-04 03:57:36,360.247007,512.549495,486.058446,380.888933,0.139,1322.112157,0.132,0.0
2019-02-04 04:04:48,360.334506,512.635618,486.120033,380.924853,0.139,1322.307192,0.132,0.0
2019-02-04 04:12:00,360.334506,512.635618,486.120033,380.924853,0.139,1322.307192,0.132,0.0
2019-02-04 04:19:12,360.439197,512.725574,486.182611,380.962189,0.139,1322.562988,0.132,0.0
2019-02-04 04:26:24,360.439197,512.725574,486.182611,380.962189,0.139,1322.562988,0.132,0.0
2019-02-04 04:33:36,360.549735,512.815857,486.243862,380.997206,0.139,1322.815825,0.132,0.0
2019-02-04 04:40:48,360.549735,512.815857,486.243862,380.997206,0.139,1322.815825,0.132,0.0
2019-02-04 04:48:00,360.674662,512.907694,486.306493,381.032338,0.139,1323.058838,0.132,0.0
2019-02-04 04:55:12,360.674662,512.907694,486.306493,381.032338,0.139,1323.058838,0.132,0.0
2019-02-04 05:02:24,360.795215,512.998417,486.367407,381.063523,0.139,1323.2132,0.132,0.0
2019-02-04 05:09:36,360.795215,512.998417,486.367407,381.063523,0.139,1323.2132,0.132,0.0
2019-02-04 05:16:48,360.917977,513.088703,486.428617,381.095677,0.139,1323.336321,0.132,0.0
2019-02-04 05:24:00,360.917977,513.088703,486.428617,381.095677,0.139,1323.336321,0.132,0.0
2019-02-04 05:31:12,361.020449,513.179389,486.490339,381.121541,0.139,1323.564861,0.132,0.0
2019-02-04 05:38:24,361.020449,513.179389,486.490339,381.121541,0.139,1323.564861,0.132,0.0
2019-02-04 05:45:36,361.127899,513.272612,486.553425,381.158212,0.139,1323.823886,0.132,0.0
2019-02-04 05:52:48,361.127899,513.272612,486.553425,381.158212,0.139,1323.823886,0.132,0.0
2019-02-04 06:00:00,361.127899,513.272612,486.553425,381.158212,0.139,1323.823886,0.132,0.0
