,4243_Mbus Apators,4265_Mbus Apators,4276_Mbus Apators,4287_Mbus Apators,4298_Mbus Apators,4309_Mbus Apators,4320_Mbus Apators,4481_Mbus Apators
,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,
2019-02-05 23:45:36,4.928,8.008,8.71,0.0,34.38,0.0,0.0,6.568
2019-02-05 23:52:48,4.928,8.01,8.71,0.0,34.38,0.0,0.0,6.573
2019-02-06 00:00:00,4.928,8.015,8.71,0.0,34.383,0.0,0.0,6.573
2019-02-06 00:07:12,4.928,8.015,8.71,0.0,34.393,0.0,0.0,6.573
2019-02-06 00:14:24,4.928,8.015,8.71,0.0,34.393,0.0,0.0,6.573
2019-02-06 00:21:36,4.929,8.015,8.711,0.0,34.394,0.0,0.0,6.573
2019-02-06 00:28:48,4.929,8.015,8.711,0.0,34.394,0.0,0.0,6.573
2019-02-06 00:36:00,4.935,8.015,8.716,0.0,34.401,0.0,0.0,6.573
2019-02-06 00:43:12,4.935,8.015,8.716,0.0,34.401,0.0,0.0,6.573
2019-02-06 00:50:24,4.935,8.015,8.716,0.0,34.414,0.0,0.0,6.574
2019-02-06 00:57:36,4.935,8.015,8.716,0.0,34.414,0.0,0.0,6.574
2019-02-06 01:04:48,4.935,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:12:00,4.935,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:19:12,4.941,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:26:24,4.941,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:33:36,4.941,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:40:48,4.941,8.015,8.716,0.0,34.42,0.0,0.0,6.58
2019-02-06 01:48:00,4.941,8.015,8.716,0.0,34.426,0.0,0.0,6.58
2019-02-06 01:55:12,4.941,8.015,8.716,0.0,34.426,0.0,0.0,6.58
2019-02-06 02:02:24,4.941,8.022,8.716,0.0,34.433,0.0,0.0,6.58
2019-02-06 02:09:36,4.941,8.022,8.716,0.0,34.433,0.0,0.0,6.58
2019-02-06 02:16:48,4.941,8.022,8.716,0.0,34.439,0.0,0.0,6.58
2019-02-06 02:24:00,4.941,8.022,8.716,0.0,34.439,0.0,0.0,6.58
2019-02-06 02:31:12,4.941,8.022,8.723,0.0,34.439,0.0,0.0,6.586
2019-02-06 02:38:24,4.941,8.022,8.723,0.0,34.439,0.0,0.0,6.586
2019-02-06 02:45:36,4.948,8.022,8.723,0.0,34.445,0.0,0.0,6.586
2019-02-06 02:52:48,4.948,8.022,8.723,0.0,34.445,0.0,0.0,6.586
2019-02-06 03:00:00,4.948,8.022,8.723,0.0,34.445,0.0,0.0,6.586
2019-02-06 03:07:12,4.948,8.022,8.723,0.0,34.452,0.0,0.0,6.586
2019-02-06 03:14:24,4.948,8.022,8.723,0.0,34.452,0.0,0.0,6.586
2019-02-06 03:21:36,4.948,8.022,8.723,0.0,34.458,0.0,0.0,6.586
2019-02-06 03:28:48,4.948,8.022,8.723,0.0,34.458,0.0,0.0,6.586
2019-02-06 03:36:00,4.948,8.022,8.723,0.0,34.465,0.0,0.0,6.586
2019-02-06 03:43:12,4.948,8.022,8.723,0.0,34.465,0.0,0.0,6.586
2019-02-06 03:50:24,4.954,8.022,8.723,0.0,34.471,0.0,0.0,6.586
2019-02-06 03:57:36,4.954,8.022,8.723,0.0,34.471,0.0,0.0,6.586
2019-02-06 04:04:48,4.955,8.027,8.728,0.0,34.477,0.0,0.0,6.592
2019-02-06 04:12:00,4.955,8.027,8.728,0.0,34.477,0.0,0.0,6.592
2019-02-06 04:19:12,4.955,8.028,8.729,0.0,34.484,0.0,0.0,6.593
2019-02-06 04:26:24,4.955,8.028,8.729,0.0,34.484,0.0,0.0,6.593
2019-02-06 04:33:36,4.955,8.028,8.729,0.0,34.485,0.0,0.0,6.593
2019-02-06 04:40:48,4.955,8.028,8.729,0.0,34.485,0.0,0.0,6.593
2019-02-06 04:48:00,4.96,8.028,8.729,0.0,34.491,0.0,0.0,6.593
2019-02-06 04:55:12,4.96,8.028,8.729,0.0,34.491,0.0,0.0,6.593
2019-02-06 05:02:24,4.961,8.028,8.729,0.0,34.492,0.0,0.0,6.593
2019-02-06 05:09:36,4.961,8.028,8.729,0.0,34.492,0.0,0.0,6.593
2019-02-06 05:16:48,4.961,8.028,8.729,0.0,34.502,0.0,0.0,6.593
2019-02-06 05:24:00,4.961,8.028,8.729,0.0,34.502,0.0,0.0,6.593
2019-02-06 05:31:12,4.961,8.028,8.729,0.0,34.509,0.0,0.0,6.598
2019-02-06 05:38:24,4.961,8.028,8.729,0.0,34.509,0.0,0.0,6.598
2019-02-06 05:45:36,4.966,8.028,8.729,0.0,34.516,0.0,0.0,6.599
2019-02-06 05:52:48,4.966,8.028,8.729,0.0,34.516,0.0,0.0,6.599
2019-02-06 06:00:00,4.966,8.028,8.729,0.0,34.516,0.0,0.0,6.599
2019-02-06 06:07:12,4.968,8.028,8.729,0.0,34.518,0.0,0.0,6.599
2019-02-06 06:14:24,4.968,8.028,8.729,0.0,34.518,0.0,0.0,6.599
2019-02-06 06:21:36,4.968,8.033,8.729,0.0,34.518,0.0,0.0,6.599
2019-02-06 06:28:48,4.968,8.033,8.729,0.0,34.518,0.0,0.0,6.599
2019-02-06 06:36:00,4.968,8.035,8.736,0.0,34.524,0.0,0.0,6.599
2019-02-06 06:43:12,4.968,8.035,8.736,0.0,34.524,0.0,0.0,6.599
