,4340_POG_26.26,4348_POG_27.27,4356_POG_28.28,4364_POG_29.29
,avg,avg,avg,avg
Time,,,,
2019-02-06 23:45:36,-0.18,-0.71,-0.34,-0.55
2019-02-06 23:52:48,-0.07,-0.49,-0.28,-0.37
2019-02-07 00:00:00,-0.07,-0.49,-0.28,-0.37
2019-02-07 00:07:12,0.16,-0.27,-0.13,-0.13
2019-02-07 00:14:24,0.16,-0.27,-0.13,-0.13
2019-02-07 00:21:36,0.29,-0.11,-0.06,-0.03
2019-02-07 00:28:48,0.29,-0.11,-0.06,-0.03
2019-02-07 00:36:00,0.37,-0.11,-0.04,-0.04
2019-02-07 00:43:12,0.37,-0.11,-0.04,-0.04
2019-02-07 00:50:24,0.34,-0.12,-0.1,-0.1
2019-02-07 00:57:36,0.34,-0.12,-0.1,-0.1
2019-02-07 01:04:48,0.18,-0.15,-0.09,-0.11
2019-02-07 01:12:00,0.18,-0.15,-0.09,-0.11
2019-02-07 01:19:12,-0.02,-0.2,-0.17,-0.22
2019-02-07 01:26:24,-0.02,-0.2,-0.17,-0.22
2019-02-07 01:33:36,-0.16,-0.55,-0.38,-0.61
2019-02-07 01:40:48,-0.16,-0.55,-0.38,-0.61
2019-02-07 01:48:00,-0.35,-0.93,-0.63,-0.94
2019-02-07 01:55:12,-0.35,-0.93,-0.63,-0.94
2019-02-07 02:02:24,-0.6,-1.16,-0.95,-1.21
2019-02-07 02:09:36,-0.6,-1.16,-0.95,-1.21
2019-02-07 02:16:48,-0.86,-1.21,-1.13,-1.32
2019-02-07 02:24:00,-0.86,-1.21,-1.13,-1.32
2019-02-07 02:31:12,-0.89,-1.35,-1.12,-1.48
2019-02-07 02:38:24,-0.89,-1.35,-1.12,-1.48
2019-02-07 02:45:36,-1.07,-1.62,-1.29,-1.65
2019-02-07 02:52:48,-1.07,-1.62,-1.29,-1.65
2019-02-07 03:00:00,-1.07,-1.62,-1.29,-1.65
2019-02-07 03:07:12,-1.3,-1.89,-1.52,-1.88
2019-02-07 03:14:24,-1.3,-1.89,-1.52,-1.88
2019-02-07 03:21:36,-1.3,-1.94,-1.7,-1.9
2019-02-07 03:28:48,-1.3,-1.94,-1.7,-1.9
2019-02-07 03:36:00,-1.09,-1.79,-1.59,-1.73
2019-02-07 03:43:12,-1.09,-1.79,-1.59,-1.73
2019-02-07 03:50:24,-0.97,-1.53,-1.46,-1.56
2019-02-07 03:57:36,-0.97,-1.53,-1.46,-1.56
2019-02-07 04:04:48,-0.97,-1.43,-1.42,-1.54
2019-02-07 04:12:00,-0.97,-1.43,-1.42,-1.54
2019-02-07 04:19:12,-0.9,-1.32,-1.38,-1.45
2019-02-07 04:26:24,-0.9,-1.32,-1.38,-1.45
2019-02-07 04:33:36,-0.72,-1.11,-1.1,-1.16
2019-02-07 04:40:48,-0.72,-1.11,-1.1,-1.16
2019-02-07 04:48:00,-0.55,-0.87,-0.96,-1.03
2019-02-07 04:55:12,-0.55,-0.87,-0.96,-1.03
2019-02-07 05:02:24,-0.55,-0.88,-0.86,-0.97
2019-02-07 05:09:36,-0.55,-0.88,-0.86,-0.97
2019-02-07 05:16:48,-0.59,-0.9,-0.98,-1.11
2019-02-07 05:24:00,-0.59,-0.9,-0.98,-1.11
2019-02-07 05:31:12,-0.9,-1.21,-1.1,-1.33
2019-02-07 05:38:24,-0.9,-1.21,-1.1,-1.33
2019-02-07 05:45:36,-1.14,-1.48,-1.32,-1.62
2019-02-07 05:52:48,-1.14,-1.48,-1.32,-1.62
2019-02-07 06:00:00,-1.14,-1.48,-1.32,-1.62
2019-02-07 06:07:12,-1.26,-1.55,-1.44,-1.79
2019-02-07 06:14:24,-1.26,-1.55,-1.44,-1.79
2019-02-07 06:21:36,-1.08,-1.22,-1.33,-1.69
2019-02-07 06:28:48,-1.08,-1.22,-1.33,-1.69
2019-02-07 06:36:00,-0.76,-0.82,-0.97,-1.45
2019-02-07 06:43:12,-0.76,-0.82,-0.97,-1.45
2019-02-07 06:50:24,-0.38,0.02,-0.7,-1.15
2019-02-07 06:57:36,-0.38,0.02,-0.7,-1.15
2019-02-07 07:04:48,-0.11,1.53,0.09,-0.95
2019-02-07 07:12:00,-0.11,1.53,0.09,-0.95
2019-02-07 07:19:12,0.5,2.55,1.55,-0.28
2019-02-07 07:26:24,0.5,2.55,1.55,-0.28
2019-02-07 07:33:36,0.6,1.61,1.07,0.07
2019-02-07 07:40:48,0.6,1.61,1.07,0.07
2019-02-07 07:48:00,0.94,1.31,0.86,0.45
2019-02-07 07:55:12,0.94,1.31,0.86,0.45
2019-02-07 08:02:24,1.23,1.66,1.05,0.91
2019-02-07 08:09:36,1.23,1.66,1.05,0.91
2019-02-07 08:16:48,1.49,2.03,1.32,1.21
2019-02-07 08:24:00,1.49,2.03,1.32,1.21
2019-02-07 08:31:12,1.64,2.28,1.62,1.54
2019-02-07 08:38:24,1.64,2.28,1.62,1.54
2019-02-07 08:45:36,1.64,2.28,1.62,1.54
2019-02-07 08:52:48,1.85,2.85,1.96,1.93
2019-02-07 09:00:00,1.85,2.85,1.96,1.93
2019-02-07 09:07:12,2.3,2.99,2.35,2.48
2019-02-07 09:14:24,2.3,2.99,2.35,2.48
2019-02-07 09:21:36,2.6,2.99,2.62,2.85
2019-02-07 09:28:48,2.6,2.99,2.62,2.85
2019-02-07 09:36:00,2.9,3.4,3.02,3.29
2019-02-07 09:43:12,2.9,3.4,3.02,3.29
2019-02-07 09:50:24,2.88,3.26,3.04,3.25
2019-02-07 09:57:36,2.88,3.26,3.04,3.25
2019-02-07 10:04:48,2.84,3.26,3.33,3.37
2019-02-07 10:12:00,2.84,3.26,3.33,3.37
2019-02-07 10:19:12,2.86,3.31,3.55,3.62
2019-02-07 10:26:24,2.86,3.31,3.55,3.62
2019-02-07 10:33:36,3.15,3.57,3.76,3.91
2019-02-07 10:40:48,3.15,3.57,3.76,3.91
2019-02-07 10:48:00,3.68,4.06,4.99,4.92
2019-02-07 10:55:12,3.68,4.06,4.99,4.92
2019-02-07 11:02:24,4.12,4.44,6.25,5.91
2019-02-07 11:09:36,4.12,4.44,6.25,5.91
2019-02-07 11:16:48,4.27,4.55,7.06,6.71
2019-02-07 11:24:00,4.27,4.55,7.06,6.71
2019-02-07 11:31:12,4.12,4.47,7.17,6.8
2019-02-07 11:38:24,4.12,4.47,7.17,6.8
2019-02-07 11:45:36,4.12,4.47,7.17,6.8
2019-02-07 11:52:48,3.92,4.19,6.53,6.3
2019-02-07 12:00:00,3.92,4.19,6.53,6.3
2019-02-07 12:07:12,3.85,4.03,6.16,5.93
2019-02-07 12:14:24,3.85,4.03,6.16,5.93
2019-02-07 12:21:36,3.66,3.85,5.56,5.24
2019-02-07 12:28:48,3.66,3.85,5.56,5.24
2019-02-07 12:36:00,3.53,3.79,5.23,5.05
2019-02-07 12:43:12,3.53,3.79,5.23,5.05
2019-02-07 12:50:24,3.61,3.83,5.01,5.33
2019-02-07 12:57:36,3.61,3.83,5.01,5.33
2019-02-07 13:04:48,3.58,3.8,4.58,4.85
2019-02-07 13:12:00,3.58,3.8,4.58,4.85
2019-02-07 13:19:12,3.63,3.71,4.43,4.54
2019-02-07 13:26:24,3.63,3.71,4.43,4.54
2019-02-07 13:33:36,3.61,3.63,4.24,4.47
2019-02-07 13:40:48,3.61,3.63,4.24,4.47
2019-02-07 13:48:00,3.47,3.43,3.88,4.02
2019-02-07 13:55:12,3.47,3.43,3.88,4.02
2019-02-07 14:02:24,3.26,3.23,3.64,3.68
2019-02-07 14:09:36,3.26,3.23,3.64,3.68
2019-02-07 14:16:48,2.91,2.9,3.41,3.27
2019-02-07 14:24:00,2.91,2.9,3.41,3.27
2019-02-07 14:31:12,2.7,2.58,3.09,2.89
2019-02-07 14:38:24,2.7,2.58,3.09,2.89
2019-02-07 14:45:36,2.43,2.27,2.73,2.49
2019-02-07 14:52:48,2.43,2.27,2.73,2.49
2019-02-07 15:00:00,2.43,2.27,2.73,2.49
2019-02-07 15:07:12,2.16,1.99,2.45,2.2
2019-02-07 15:14:24,2.16,1.99,2.45,2.2
2019-02-07 15:21:36,1.92,1.72,2.16,1.95
2019-02-07 15:28:48,1.92,1.72,2.16,1.95
2019-02-07 15:36:00,1.73,1.48,2.07,1.71
2019-02-07 15:43:12,1.73,1.48,2.07,1.71
2019-02-07 15:50:24,1.46,1.23,1.78,1.47
2019-02-07 15:57:36,1.46,1.23,1.78,1.47
2019-02-07 16:04:48,1.3,1.11,1.6,1.38
2019-02-07 16:12:00,1.3,1.11,1.6,1.38
2019-02-07 16:19:12,1.24,1.16,1.58,1.4
2019-02-07 16:26:24,1.24,1.16,1.58,1.4
2019-02-07 16:33:36,1.24,1.12,1.55,1.35
2019-02-07 16:40:48,1.24,1.12,1.55,1.35
2019-02-07 16:48:00,1.24,1.14,1.53,1.32
2019-02-07 16:55:12,1.24,1.14,1.53,1.32
2019-02-07 17:02:24,1.21,1.04,1.48,1.16
2019-02-07 17:09:36,1.21,1.04,1.48,1.16
2019-02-07 17:16:48,1.1,1.0,1.43,1.15
2019-02-07 17:24:00,1.1,1.0,1.43,1.15
2019-02-07 17:31:12,1.03,0.96,1.33,1.05
2019-02-07 17:38:24,1.03,0.96,1.33,1.05
2019-02-07 17:45:36,0.78,0.75,1.13,0.9
2019-02-07 17:52:48,0.78,0.75,1.13,0.9
2019-02-07 18:00:00,0.78,0.75,1.13,0.9
