,100_APAR_127.17,104_APAR_128.18,108_APAR_129.19,112_APAR_130.20,116_APAR_131.21,120_APAR_132.22,124_APAR_133.23,128_APAR_134.24,132_APAR_135.25,21_APAR_111.1,25_APAR_112.2,3820_APAR_19.19,3824_APAR_20.20,44_APAR_113.3,48_APAR_114.4,52_APAR_115.5,56_APAR_116.6,60_APAR_117.7,64_APAR_118.8,650_FIF_104.4,652_FIF_105.5,654_FIF_106.6,68_APAR_119.9,72_APAR_120.10,76_APAR_121.11,80_APAR_122.12,84_APAR_123.13,88_APAR_124.14,92_APAR_125.15,96_APAR_126.16
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-07 23:45:36,37.8,52.3,63.1,,,,,,,28.9,29.4,53.3,78.4,29.9,51.0,85.2,39.0,39.2,42.3,28.83871,28.903226,24.451613,51.9,27.1,30.9,38.0,44.8,31.9,41.2,53.0
2019-02-07 23:52:48,37.7,52.3,63.2,,,,,,,28.9,29.4,53.2,78.4,29.8,51.0,85.2,39.0,39.2,42.3,28.83871,29.064516,24.322581,51.9,27.1,30.9,38.0,44.8,31.8,41.2,53.0
2019-02-08 00:00:00,37.7,52.3,63.2,,,,,,,28.9,29.4,53.2,78.4,29.8,51.0,85.2,39.0,39.2,42.3,28.83871,29.064516,24.322581,51.9,27.1,30.9,38.0,44.8,31.8,41.2,53.0
2019-02-08 00:07:12,37.7,52.3,63.2,,,,,,,28.9,29.4,53.0,78.4,29.8,51.0,85.2,39.0,39.2,42.3,29.0,29.212121,24.545455,51.9,27.1,30.9,37.9,44.8,31.8,41.2,53.0
2019-02-08 00:14:24,37.7,52.3,63.2,,,,,,,28.9,29.4,53.0,78.4,29.8,51.0,85.2,39.0,39.2,42.3,29.0,29.212121,24.545455,51.9,27.1,30.9,37.9,44.8,31.8,41.2,53.0
2019-02-08 00:21:36,37.7,52.3,63.2,,,,,,,28.9,29.4,53.0,78.4,29.8,51.0,85.2,39.0,39.2,42.3,28.964286,28.892857,24.642857,51.9,27.1,30.9,37.9,44.8,31.8,41.2,52.9
2019-02-08 00:28:48,37.7,52.3,63.2,,,,,,,28.9,29.4,53.0,78.4,29.8,51.0,85.2,39.0,39.2,42.3,28.964286,28.892857,24.642857,51.9,27.1,30.9,37.9,44.8,31.8,41.2,52.9
2019-02-08 00:36:00,37.8,52.3,63.2,,,,,,,28.9,29.4,53.0,78.3,29.7,50.9,85.2,39.0,39.2,42.3,28.92,28.84,24.6,51.9,27.1,30.9,37.9,44.7,31.8,41.2,52.9
2019-02-08 00:43:12,37.8,52.3,63.2,,,,,,,28.9,29.4,53.0,78.3,29.7,50.9,85.2,39.0,39.2,42.3,28.92,28.84,24.6,51.9,27.1,30.9,37.9,44.7,31.8,41.2,52.9
2019-02-08 00:50:24,37.9,52.3,63.2,,,,,,,28.9,29.4,52.9,78.3,29.7,50.9,85.2,39.0,39.2,42.3,28.730769,28.807692,24.269231,51.9,27.1,30.9,38.0,44.7,31.8,41.2,52.9
2019-02-08 00:57:36,37.9,52.3,63.2,,,,,,,28.9,29.4,52.9,78.3,29.7,50.9,85.2,39.0,39.2,42.3,28.730769,28.807692,24.269231,51.9,27.1,30.9,38.0,44.7,31.8,41.2,52.9
2019-02-08 01:04:48,37.9,52.3,63.2,,,,,,,28.9,29.4,52.9,78.3,29.7,50.9,85.1,39.0,39.2,42.3,28.666667,28.9,24.133333,51.9,27.1,30.9,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:12:00,37.9,52.3,63.2,,,,,,,28.9,29.4,52.9,78.3,29.7,50.9,85.1,39.0,39.2,42.3,28.666667,28.9,24.133333,51.9,27.1,30.9,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:19:12,37.8,52.3,63.2,,,,,,,28.8,29.3,52.8,78.3,29.7,50.9,85.1,39.0,39.2,42.3,28.677419,28.903226,24.032258,51.9,27.1,30.8,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:26:24,37.8,52.3,63.2,,,,,,,28.8,29.3,52.8,78.3,29.7,50.9,85.1,39.0,39.2,42.3,28.677419,28.903226,24.032258,51.9,27.1,30.8,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:33:36,37.7,52.3,63.2,,,,,,,28.8,29.3,52.8,78.3,29.7,50.8,85.2,39.0,39.2,42.3,29.0,28.90625,24.03125,51.9,27.1,30.8,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:40:48,37.7,52.3,63.2,,,,,,,28.8,29.3,52.8,78.3,29.7,50.8,85.2,39.0,39.2,42.3,29.0,28.90625,24.03125,51.9,27.1,30.8,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:48:00,37.7,52.4,63.2,,,,,,,28.8,29.3,52.8,78.3,29.6,50.8,85.2,39.0,39.2,42.2,28.65625,28.9375,24.0,51.9,27.1,30.7,37.9,44.7,31.8,41.2,52.9
2019-02-08 01:55:12,37.7,52.4,63.2,,,,,,,28.8,29.3,52.8,78.3,29.6,50.8,85.2,39.0,39.2,42.2,28.65625,28.9375,24.0,51.9,27.1,30.7,37.9,44.7,31.8,41.2,52.9
2019-02-08 02:02:24,37.6,52.4,63.2,,,,,,,28.8,29.3,52.9,78.3,29.6,50.8,85.2,39.0,39.2,42.2,28.625,28.71875,24.0,51.9,27.1,30.7,37.9,44.7,31.8,41.2,52.9
2019-02-08 02:09:36,37.6,52.4,63.2,,,,,,,28.8,29.3,52.9,78.3,29.6,50.8,85.2,39.0,39.2,42.2,28.625,28.71875,24.0,51.9,27.1,30.7,37.9,44.7,31.8,41.2,52.9
2019-02-08 02:16:48,37.6,52.4,63.3,,,,,,,28.8,29.3,52.9,78.4,29.6,50.8,85.2,39.0,39.2,42.2,28.741935,28.580645,24.0,51.9,27.1,30.7,37.9,44.7,31.8,41.2,53.0
