,2242_LE03_02.2,2309_LE03_03.3,2376_LE03_04.4,2443_LE03_05.5,2510_LE03_06.6,2577_LE03_07.7,2644_LE03_08.8,2711_LE03_09.9,3860_LE01_26.10,4077_LE03_27.26,4445_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-02-08 23:45:36,1898.9,507.1,1367.7,302.1,1585.8,254.1,813.1,4250.9,10.8,115.4,11106.0
2019-02-08 23:52:48,1899.3,507.2,1367.8,302.2,1585.9,254.1,813.2,4251.2,10.8,115.5,10736.8
2019-02-09 00:00:00,1899.3,507.2,1367.8,302.2,1585.9,254.1,813.2,4251.2,10.8,115.5,10736.8
2019-02-09 00:07:12,1899.6,507.2,1368.0,302.2,1586.1,254.1,813.2,4251.7,10.8,115.5,11108.4
2019-02-09 00:14:24,1899.6,507.2,1368.0,302.2,1586.1,254.1,813.2,4251.7,10.8,115.5,11108.4
2019-02-09 00:21:36,1899.7,507.2,1368.1,302.2,1586.2,254.1,813.3,4252.3,10.8,115.5,11109.4
2019-02-09 00:28:48,1899.7,507.2,1368.1,302.2,1586.2,254.1,813.3,4252.3,10.8,115.5,11109.4
2019-02-09 00:36:00,1899.8,507.3,1368.3,302.2,1586.4,254.2,813.4,4252.9,10.8,115.5,11110.6
2019-02-09 00:43:12,1899.8,507.3,1368.3,302.2,1586.4,254.2,813.4,4252.9,10.8,115.5,11110.6
2019-02-09 00:50:24,1900.3,507.3,1368.4,302.2,1586.5,254.2,813.4,4253.5,10.8,115.5,11112.2
2019-02-09 00:57:36,1900.3,507.3,1368.4,302.2,1586.5,254.2,813.4,4253.5,10.8,115.5,11112.2
2019-02-09 01:04:48,1900.4,507.4,1368.6,302.3,1586.6,254.2,813.5,4254.0,10.8,115.6,11113.3
2019-02-09 01:12:00,1900.4,507.4,1368.6,302.3,1586.6,254.2,813.5,4254.0,10.8,115.6,11113.3
2019-02-09 01:19:12,1900.5,507.4,1368.7,302.3,1586.8,254.2,813.5,4254.1,10.8,115.6,11113.9
2019-02-09 01:26:24,1900.5,507.4,1368.7,302.3,1586.8,254.2,813.5,4254.1,10.8,115.6,11113.9
2019-02-09 01:33:36,1900.6,507.4,1368.9,302.3,1586.9,254.3,813.6,4254.2,10.8,115.6,11114.5
2019-02-09 01:40:48,1900.6,507.4,1368.9,302.3,1586.9,254.3,813.6,4254.2,10.8,115.6,11114.5
2019-02-09 01:48:00,1900.8,507.5,1369.0,302.3,1587.1,254.3,813.6,4254.8,10.8,115.6,11115.8
2019-02-09 01:55:12,1900.8,507.5,1369.0,302.3,1587.1,254.3,813.6,4254.8,10.8,115.6,11115.8
2019-02-09 02:02:24,1901.2,507.5,1369.2,302.3,1587.2,254.3,813.7,4255.4,10.8,115.6,11117.3
2019-02-09 02:09:36,1901.2,507.5,1369.2,302.3,1587.2,254.3,813.7,4255.4,10.8,115.6,11117.3
2019-02-09 02:16:48,1901.4,507.6,1369.3,302.4,1587.3,254.3,813.7,4256.1,10.8,115.6,10841.7
2019-02-09 02:24:00,1901.4,507.6,1369.3,302.4,1587.3,254.3,813.7,4256.1,10.8,115.6,10841.7
2019-02-09 02:31:12,1901.5,507.6,1369.5,302.4,1587.5,254.4,813.8,4256.3,10.8,115.7,11119.4
2019-02-09 02:38:24,1901.5,507.6,1369.5,302.4,1587.5,254.4,813.8,4256.3,10.8,115.7,11119.4
