,10_APAR_32.3,14_APAR_33.4,18_APAR_34.5,2_APAR_30.1,6_APAR_31.2,648_FIF_11.11
,avg,avg,avg,avg,avg,avg
Time,,,,,,
2019-02-10 23:45:36,14.2,8.5,4.5,15.8,15.4,17.8
2019-02-10 23:52:48,14.2,8.5,4.5,15.8,15.4,17.8
2019-02-11 00:00:00,14.2,8.5,4.5,15.8,15.4,17.8
2019-02-11 00:07:12,14.2,8.5,4.4,15.8,15.4,17.8
2019-02-11 00:14:24,14.2,8.5,4.4,15.8,15.4,17.8
2019-02-11 00:21:36,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 00:28:48,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 00:36:00,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 00:43:12,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 00:50:24,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 00:57:36,14.2,8.5,4.4,15.8,15.4,17.6
2019-02-11 01:04:48,14.2,8.5,4.3,15.8,15.4,17.6
2019-02-11 01:12:00,14.2,8.5,4.3,15.8,15.4,17.6
2019-02-11 01:19:12,14.2,8.5,4.3,15.8,15.4,17.5
2019-02-11 01:26:24,14.2,8.5,4.3,15.8,15.4,17.5
2019-02-11 01:33:36,14.2,8.4,4.3,15.8,15.4,17.5
2019-02-11 01:40:48,14.2,8.4,4.3,15.8,15.4,17.5
2019-02-11 01:48:00,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 01:55:12,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 02:02:24,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 02:09:36,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 02:16:48,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 02:24:00,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 02:31:12,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 02:38:24,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 02:45:36,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 02:52:48,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 03:00:00,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 03:07:12,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 03:14:24,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 03:21:36,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 03:28:48,14.2,8.4,4.3,15.7,15.3,17.5
2019-02-11 03:36:00,14.2,8.4,4.3,15.7,15.3,17.6
2019-02-11 03:43:12,14.2,8.4,4.3,15.7,15.3,17.6
2019-02-11 03:50:24,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 03:57:36,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 04:04:48,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 04:12:00,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 04:19:12,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 04:26:24,14.2,8.4,4.3,15.8,15.3,17.5
2019-02-11 04:33:36,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 04:40:48,14.2,8.4,4.3,15.8,15.3,17.6
2019-02-11 04:48:00,14.2,8.4,4.3,15.8,15.4,17.7
2019-02-11 04:55:12,14.2,8.4,4.3,15.8,15.4,17.7
2019-02-11 05:02:24,14.2,8.4,4.3,15.8,15.4,17.7
2019-02-11 05:09:36,14.2,8.4,4.3,15.8,15.4,17.7
2019-02-11 05:16:48,14.2,8.4,4.3,15.8,15.4,17.7
2019-02-11 05:24:00,14.2,8.4,4.3,15.8,15.4,17.7
