,4345_POG_26.26,4353_POG_27.27,4361_POG_28.28,4369_POG_29.29
,avg,avg,avg,avg
Time,,,,
2019-02-10 23:45:36,1.54,1.54,1.64,1.52
2019-02-10 23:52:48,1.28,1.41,1.6,1.33
2019-02-11 00:00:00,1.28,1.41,1.6,1.33
2019-02-11 00:07:12,1.22,1.49,1.56,1.36
2019-02-11 00:14:24,1.22,1.49,1.56,1.36
2019-02-11 00:21:36,1.52,1.46,1.6,1.4
2019-02-11 00:28:48,1.52,1.46,1.6,1.4
2019-02-11 00:36:00,1.57,1.58,1.64,1.65
2019-02-11 00:43:12,1.57,1.58,1.64,1.65
2019-02-11 00:50:24,1.59,1.59,1.73,1.69
2019-02-11 00:57:36,1.59,1.59,1.73,1.69
2019-02-11 01:04:48,1.49,1.64,1.75,1.74
2019-02-11 01:12:00,1.49,1.64,1.75,1.74
2019-02-11 01:19:12,1.47,1.47,1.65,1.6
2019-02-11 01:26:24,1.47,1.47,1.65,1.6
2019-02-11 01:33:36,1.46,1.35,1.5,1.45
2019-02-11 01:40:48,1.46,1.35,1.5,1.45
2019-02-11 01:48:00,1.62,1.56,1.69,1.57
2019-02-11 01:55:12,1.62,1.56,1.69,1.57
2019-02-11 02:02:24,1.22,1.28,1.55,1.38
2019-02-11 02:09:36,1.22,1.28,1.55,1.38
2019-02-11 02:16:48,1.25,1.39,1.38,1.37
2019-02-11 02:24:00,1.25,1.39,1.38,1.37
2019-02-11 02:31:12,1.36,1.35,1.48,1.4
2019-02-11 02:38:24,1.36,1.35,1.48,1.4
2019-02-11 02:45:36,1.36,1.35,1.48,1.4
2019-02-11 02:52:48,1.48,1.45,1.6,1.59
2019-02-11 03:00:00,1.48,1.45,1.6,1.59
2019-02-11 03:07:12,1.26,1.42,1.31,1.36
2019-02-11 03:14:24,1.26,1.42,1.31,1.36
2019-02-11 03:21:36,1.03,1.12,1.29,1.3
2019-02-11 03:28:48,1.03,1.12,1.29,1.3
2019-02-11 03:36:00,1.18,1.24,1.23,1.34
2019-02-11 03:43:12,1.18,1.24,1.23,1.34
2019-02-11 03:50:24,1.06,1.27,1.4,1.3
2019-02-11 03:57:36,1.06,1.27,1.4,1.3
2019-02-11 04:04:48,1.23,1.15,1.34,1.33
2019-02-11 04:12:00,1.23,1.15,1.34,1.33
2019-02-11 04:19:12,1.17,1.24,1.35,1.34
2019-02-11 04:26:24,1.17,1.24,1.35,1.34
2019-02-11 04:33:36,1.1,1.15,1.29,1.22
2019-02-11 04:40:48,1.1,1.15,1.29,1.22
2019-02-11 04:48:00,1.18,1.3,1.38,1.27
2019-02-11 04:55:12,1.18,1.3,1.38,1.27
2019-02-11 05:02:24,1.18,1.28,1.39,1.38
2019-02-11 05:09:36,1.18,1.28,1.39,1.38
2019-02-11 05:16:48,1.32,1.27,1.23,1.32
2019-02-11 05:24:00,1.32,1.27,1.23,1.32
2019-02-11 05:31:12,1.49,1.4,1.45,1.43
2019-02-11 05:38:24,1.49,1.4,1.45,1.43
2019-02-11 05:45:36,1.37,1.2,1.11,1.12
2019-02-11 05:52:48,1.37,1.2,1.11,1.12
2019-02-11 06:00:00,1.37,1.2,1.11,1.12
2019-02-11 06:07:12,1.43,1.36,1.23,1.37
2019-02-11 06:14:24,1.43,1.36,1.23,1.37
2019-02-11 06:21:36,1.3,1.41,1.23,1.36
2019-02-11 06:28:48,1.3,1.41,1.23,1.36
2019-02-11 06:36:00,1.3,1.3,1.21,1.34
2019-02-11 06:43:12,1.3,1.3,1.21,1.34
2019-02-11 06:50:24,1.25,1.18,1.09,1.26
2019-02-11 06:57:36,1.25,1.18,1.09,1.26
2019-02-11 07:04:48,1.62,1.42,1.36,1.48
2019-02-11 07:12:00,1.62,1.42,1.36,1.48
2019-02-11 07:19:12,1.54,1.4,1.45,1.53
2019-02-11 07:26:24,1.54,1.4,1.45,1.53
2019-02-11 07:33:36,1.29,1.11,1.12,1.21
2019-02-11 07:40:48,1.29,1.11,1.12,1.21
2019-02-11 07:48:00,1.39,1.27,1.33,1.51
2019-02-11 07:55:12,1.39,1.27,1.33,1.51
2019-02-11 08:02:24,1.46,1.23,1.28,1.37
2019-02-11 08:09:36,1.46,1.23,1.28,1.37
2019-02-11 08:16:48,1.38,1.35,1.16,1.33
2019-02-11 08:24:00,1.38,1.35,1.16,1.33
2019-02-11 08:31:12,1.53,1.48,1.38,1.51
2019-02-11 08:38:24,1.53,1.48,1.38,1.51
2019-02-11 08:45:36,1.53,1.48,1.38,1.51
2019-02-11 08:52:48,1.3,1.35,1.12,1.23
2019-02-11 09:00:00,1.3,1.35,1.12,1.23
2019-02-11 09:07:12,1.0,1.12,0.85,1.0
2019-02-11 09:14:24,1.0,1.12,0.85,1.0
2019-02-11 09:21:36,1.15,1.22,1.11,1.22
2019-02-11 09:28:48,1.15,1.22,1.11,1.22
2019-02-11 09:36:00,1.09,1.07,0.93,1.13
2019-02-11 09:43:12,1.09,1.07,0.93,1.13
2019-02-11 09:50:24,1.13,1.41,1.3,1.34
2019-02-11 09:57:36,1.13,1.41,1.3,1.34
2019-02-11 10:04:48,1.08,1.46,1.28,1.37
2019-02-11 10:12:00,1.08,1.46,1.28,1.37
2019-02-11 10:19:12,1.14,1.18,1.13,1.25
2019-02-11 10:26:24,1.14,1.18,1.13,1.25
2019-02-11 10:33:36,1.0,1.39,1.33,1.35
2019-02-11 10:40:48,1.0,1.39,1.33,1.35
2019-02-11 10:48:00,1.04,1.44,1.31,1.32
2019-02-11 10:55:12,1.04,1.44,1.31,1.32
2019-02-11 11:02:24,0.84,1.41,1.23,1.32
2019-02-11 11:09:36,0.84,1.41,1.23,1.32
2019-02-11 11:16:48,0.94,1.37,1.26,1.34
2019-02-11 11:24:00,0.94,1.37,1.26,1.34
2019-02-11 11:31:12,0.96,1.37,1.2,1.24
2019-02-11 11:38:24,0.96,1.37,1.2,1.24
2019-02-11 11:45:36,0.93,1.55,1.32,1.36
2019-02-11 11:52:48,0.93,1.55,1.32,1.36
2019-02-11 12:00:00,0.93,1.55,1.32,1.36
2019-02-11 12:07:12,0.82,1.12,0.95,1.06
2019-02-11 12:14:24,0.82,1.12,0.95,1.06
2019-02-11 12:21:36,1.08,1.15,0.96,1.15
2019-02-11 12:28:48,1.08,1.15,0.96,1.15
2019-02-11 12:36:00,1.06,1.13,0.96,1.13
2019-02-11 12:43:12,1.06,1.13,0.96,1.13
2019-02-11 12:50:24,0.93,1.01,0.87,1.08
2019-02-11 12:57:36,0.93,1.01,0.87,1.08
2019-02-11 13:04:48,1.03,1.3,1.11,1.21
2019-02-11 13:12:00,1.03,1.3,1.11,1.21
2019-02-11 13:19:12,0.94,1.11,1.0,1.21
2019-02-11 13:26:24,0.94,1.11,1.0,1.21
2019-02-11 13:33:36,1.09,1.3,1.12,1.24
2019-02-11 13:40:48,1.09,1.3,1.12,1.24
2019-02-11 13:48:00,0.99,0.93,0.86,1.1
2019-02-11 13:55:12,0.99,0.93,0.86,1.1
2019-02-11 14:02:24,1.26,0.98,0.93,1.11
2019-02-11 14:09:36,1.26,0.98,0.93,1.11
2019-02-11 14:16:48,1.18,1.0,1.13,1.17
2019-02-11 14:24:00,1.18,1.0,1.13,1.17
2019-02-11 14:31:12,1.15,0.81,0.91,1.05
2019-02-11 14:38:24,1.15,0.81,0.91,1.05
2019-02-11 14:45:36,1.0,0.79,0.91,1.04
2019-02-11 14:52:48,1.0,0.79,0.91,1.04
2019-02-11 15:00:00,1.0,0.79,0.91,1.04
2019-02-11 15:07:12,0.93,0.77,0.83,0.91
2019-02-11 15:14:24,0.93,0.77,0.83,0.91
2019-02-11 15:21:36,1.25,1.56,1.82,1.74
2019-02-11 15:28:48,1.25,1.56,1.82,1.74
2019-02-11 15:36:00,0.91,0.95,1.3,1.35
2019-02-11 15:43:12,0.91,0.95,1.3,1.35
2019-02-11 15:50:24,0.96,0.91,1.5,1.55
2019-02-11 15:57:36,0.96,0.91,1.5,1.55
2019-02-11 16:04:48,1.13,1.16,1.74,1.67
2019-02-11 16:12:00,1.13,1.16,1.74,1.67
2019-02-11 16:19:12,1.2,1.16,1.55,1.7
2019-02-11 16:26:24,1.2,1.16,1.55,1.7
2019-02-11 16:33:36,1.3,1.22,1.58,1.66
2019-02-11 16:40:48,1.3,1.22,1.58,1.66
2019-02-11 16:48:00,1.25,0.86,1.22,1.42
2019-02-11 16:55:12,1.25,0.86,1.22,1.42
2019-02-11 17:02:24,1.43,0.97,1.61,1.59
2019-02-11 17:09:36,1.43,0.97,1.61,1.59
2019-02-11 17:16:48,2.11,1.1,1.45,1.7
2019-02-11 17:24:00,2.11,1.1,1.45,1.7
2019-02-11 17:31:12,2.16,1.13,1.37,1.74
2019-02-11 17:38:24,2.16,1.13,1.37,1.74
2019-02-11 17:45:36,2.16,1.13,1.37,1.74
2019-02-11 17:52:48,1.57,0.87,1.13,1.33
2019-02-11 18:00:00,1.57,0.87,1.13,1.33
2019-02-11 18:07:12,1.61,0.84,1.15,1.34
2019-02-11 18:14:24,1.61,0.84,1.15,1.34
2019-02-11 18:21:36,1.5,0.76,1.01,1.39
2019-02-11 18:28:48,1.5,0.76,1.01,1.39
2019-02-11 18:36:00,1.57,1.07,1.21,1.62
2019-02-11 18:43:12,1.57,1.07,1.21,1.62
2019-02-11 18:50:24,1.23,1.0,1.5,1.54
2019-02-11 18:57:36,1.23,1.0,1.5,1.54
