,2201_LE03_02.2,2268_LE03_03.3,2335_LE03_04.4,2402_LE03_05.5,2469_LE03_06.6,2536_LE03_07.7,2603_LE03_08.8,2670_LE03_09.9,3850_LE01_26.10,4036_LE03_27.26,4404_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-02-10 23:45:36,252.4,130.5,425.8,51.7,288.0,65.7,105.3,1510.9,14.9,72.1,2917.4
2019-02-10 23:52:48,370.1,86.4,370.7,34.3,293.9,68.7,165.8,93.0,14.8,72.1,1569.9
2019-02-11 00:00:00,370.1,86.4,370.7,34.3,293.9,68.7,165.8,93.0,14.8,72.1,1569.9
2019-02-11 00:07:12,2277.9,127.7,458.8,68.9,496.5,58.3,161.8,93.4,14.7,72.0,3830.2
2019-02-11 00:14:24,2277.9,127.7,458.8,68.9,496.5,58.3,161.8,93.4,14.7,72.0,3830.2
2019-02-11 00:21:36,200.8,155.8,374.8,83.4,187.2,84.1,215.7,1918.3,14.8,72.1,3307.0
2019-02-11 00:28:48,200.8,155.8,374.8,83.4,187.2,84.1,215.7,1918.3,14.8,72.1,3307.0
2019-02-11 00:36:00,417.4,104.7,443.7,51.5,459.7,84.4,276.7,2058.0,14.8,72.2,3983.1
2019-02-11 00:43:12,417.4,104.7,443.7,51.5,459.7,84.4,276.7,2058.0,14.8,72.2,3983.1
2019-02-11 00:50:24,161.1,146.7,348.6,34.4,331.0,101.1,161.8,1643.5,14.7,72.1,3014.9
2019-02-11 00:57:36,161.1,146.7,348.6,34.4,331.0,101.1,161.8,1643.5,14.7,72.1,3014.9
2019-02-11 01:04:48,311.0,147.6,444.1,34.3,477.1,84.6,218.8,94.5,14.6,72.1,1898.8
2019-02-11 01:12:00,311.0,147.6,444.1,34.3,477.1,84.6,218.8,94.5,14.6,72.1,1898.8
2019-02-11 01:19:12,1801.0,96.9,375.8,50.9,237.8,96.5,218.4,857.1,14.8,72.2,3821.5
2019-02-11 01:26:24,1801.0,96.9,375.8,50.9,237.8,96.5,218.4,857.1,14.8,72.2,3821.5
2019-02-11 01:33:36,888.2,82.9,472.3,66.1,408.1,59.9,224.0,1961.5,14.8,72.1,4249.9
2019-02-11 01:40:48,888.2,82.9,472.3,66.1,408.1,59.9,224.0,1961.5,14.8,72.1,4249.9
2019-02-11 01:48:00,406.0,167.3,379.3,34.3,291.4,33.7,276.7,2069.9,14.6,71.9,3745.2
2019-02-11 01:55:12,406.0,167.3,379.3,34.3,291.4,33.7,276.7,2069.9,14.6,71.9,3745.2
2019-02-11 02:02:24,355.6,172.2,412.4,67.3,455.3,68.2,268.1,2263.0,14.7,71.8,4148.6
2019-02-11 02:09:36,355.6,172.2,412.4,67.3,455.3,68.2,268.1,2263.0,14.7,71.8,4148.6
2019-02-11 02:16:48,1940.7,73.7,379.8,34.5,348.1,53.4,179.2,1092.5,14.5,71.8,4188.1
2019-02-11 02:24:00,1940.7,73.7,379.8,34.5,348.1,53.4,179.2,1092.5,14.5,71.8,4188.1
2019-02-11 02:31:12,612.9,179.8,461.6,36.8,426.9,100.6,230.1,95.0,14.6,71.9,2230.2
2019-02-11 02:38:24,612.9,179.8,461.6,36.8,426.9,100.6,230.1,95.0,14.6,71.9,2230.2
2019-02-11 02:45:36,612.9,179.8,461.6,36.8,426.9,100.6,230.1,95.0,14.6,71.9,2230.2
2019-02-11 02:52:48,382.5,154.9,440.9,64.7,273.3,113.6,161.1,1983.5,14.5,71.6,3660.6
