,2203_LE03_02.2,2270_LE03_03.3,2337_LE03_04.4,2404_LE03_05.5,2471_LE03_06.6,2538_LE03_07.7,2605_LE03_08.8,2672_LE03_09.9,3852_LE01_26.10,4038_LE03_27.26,4406_LE03_SUM
,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
Time,,,,,,,,,,,
2019-02-10 23:45:36,100.7,2.7,-10.9,-16.4,-9.1,-15.3,-3.2,-1955.1,0.0,-24.9,-1931.6
2019-02-10 23:52:48,-15.6,-49.7,-11.1,-16.3,-9.1,-15.0,0.0,-1874.1,0.0,-24.8,-2015.6
2019-02-11 00:00:00,-15.6,-49.7,-11.1,-16.3,-9.1,-15.0,0.0,-1874.1,0.0,-24.8,-2015.6
2019-02-11 00:07:12,85.0,38.2,-10.9,-16.3,-8.7,-15.2,-1.3,-1869.9,0.0,-24.9,-1824.1
2019-02-11 00:14:24,85.0,38.2,-10.9,-16.3,-8.7,-15.2,-1.3,-1869.9,0.0,-24.9,-1824.1
2019-02-11 00:21:36,-5.5,36.5,-10.9,-16.2,-9.1,-15.1,-0.5,-1978.7,0.0,-24.9,-2024.4
2019-02-11 00:28:48,-5.5,36.5,-10.9,-16.2,-9.1,-15.1,-0.5,-1978.7,0.0,-24.9,-2024.4
2019-02-11 00:36:00,63.7,-49.9,-11.0,-16.5,-8.8,-15.2,-0.8,-1996.9,0.0,-24.9,-2060.2
2019-02-11 00:43:12,63.7,-49.9,-11.0,-16.5,-8.8,-15.2,-0.8,-1996.9,0.0,-24.9,-2060.2
2019-02-11 00:50:24,10.1,-4.0,-11.0,-16.4,-9.0,-15.1,-1.5,-1967.9,0.0,-25.0,-2039.9
2019-02-11 00:57:36,10.1,-4.0,-11.0,-16.4,-9.0,-15.1,-1.5,-1967.9,0.0,-25.0,-2039.9
2019-02-11 01:04:48,58.8,66.0,-11.0,-16.2,-9.1,-15.0,-0.5,-1876.5,0.0,-25.0,-1828.4
2019-02-11 01:12:00,58.8,66.0,-11.0,-16.2,-9.1,-15.0,-0.5,-1876.5,0.0,-25.0,-1828.4
2019-02-11 01:19:12,21.6,-49.9,-11.0,-16.3,-9.1,-15.1,-1.6,-1915.7,0.0,-25.0,-2022.2
2019-02-11 01:26:24,21.6,-49.9,-11.0,-16.3,-9.1,-15.1,-1.6,-1915.7,0.0,-25.0,-2022.2
2019-02-11 01:33:36,29.4,-38.7,-11.0,-16.5,-9.1,-15.3,-1.4,-1989.2,0.0,-25.0,-2076.8
2019-02-11 01:40:48,29.4,-38.7,-11.0,-16.5,-9.1,-15.3,-1.4,-1989.2,0.0,-25.0,-2076.8
2019-02-11 01:48:00,-1.6,112.3,-10.9,-16.3,-9.0,-15.2,-0.4,-1985.0,0.0,-24.8,-1951.0
2019-02-11 01:55:12,-1.6,112.3,-10.9,-16.3,-9.0,-15.2,-0.4,-1985.0,0.0,-24.8,-1951.0
2019-02-11 02:02:24,65.7,-42.8,-11.0,-16.3,-9.0,-15.1,-0.3,-1988.3,0.0,-24.9,-2042.1
2019-02-11 02:09:36,65.7,-42.8,-11.0,-16.3,-9.0,-15.1,-0.3,-1988.3,0.0,-24.9,-2042.1
2019-02-11 02:16:48,15.6,-49.8,-10.9,-16.6,-9.0,-15.3,-1.8,-1903.2,0.0,-25.0,-2016.1
2019-02-11 02:24:00,15.6,-49.8,-10.9,-16.6,-9.0,-15.3,-1.8,-1903.2,0.0,-25.0,-2016.1
