x,649,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-08--00:53:48,NaN,35.9,37.5,35.9,61.3,83.7
2019-01-08--00:57:24,NaN,35.9,37.5,35.9,61.3,83.7
2019-01-08--01:01:00,NaN,35.9,37.5,35.9,61.3,83.7
2019-01-08--01:04:36,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:08:12,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:11:48,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:15:24,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:19:00,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:22:36,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:26:12,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:29:48,NaN,36.0,37.5,36.0,61.3,83.7
2019-01-08--01:33:24,NaN,36.0,37.5,36.0,61.3,83.8
2019-01-08--01:37:00,NaN,36.0,37.5,36.0,61.3,83.8
2019-01-08--01:40:36,NaN,36.0,37.5,36.0,61.3,83.8
2019-01-08--01:44:12,NaN,36.0,37.5,36.0,61.3,83.8
2019-01-08--01:47:48,NaN,35.9,37.4,36.0,61.3,83.8
2019-01-08--01:51:24,NaN,35.9,37.4,36.0,61.3,83.8
2019-01-08--01:55:00,NaN,35.9,37.4,36.0,61.3,83.8
2019-01-08--01:58:36,NaN,35.9,37.4,36.0,61.3,83.8
2019-01-08--02:02:12,NaN,35.9,37.4,36.1,61.3,83.8
2019-01-08--02:05:48,NaN,35.9,37.4,36.1,61.3,83.8
2019-01-08--02:09:24,NaN,35.9,37.4,36.1,61.3,83.8
2019-01-08--02:13:00,NaN,35.9,37.4,36.1,61.3,83.8
2019-01-08--02:16:36,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:20:12,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:23:48,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:27:24,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:31:00,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:34:36,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:38:12,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:41:48,NaN,35.9,37.4,36.1,61.4,83.8
2019-01-08--02:45:24,NaN,35.8,37.4,36.1,61.4,83.8
2019-01-08--02:49:00,NaN,35.8,37.4,36.1,61.4,83.8
2019-01-08--02:52:36,NaN,35.8,37.4,36.1,61.4,83.8
2019-01-08--02:56:12,NaN,35.8,37.4,36.1,61.4,83.8
2019-01-08--02:59:48,NaN,35.8,37.4,36.1,61.4,83.8
2019-01-08--03:03:24,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:07:00,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:10:36,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:14:12,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:17:48,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:21:24,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:25:00,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:28:36,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:32:12,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:35:48,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:39:24,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:43:00,NaN,35.8,37.3,36.2,61.4,83.8
2019-01-08--03:46:36,NaN,35.7,37.2,36.2,61.4,83.8
2019-01-08--03:50:12,NaN,35.7,37.2,36.2,61.4,83.8
2019-01-08--03:53:48,NaN,35.7,37.2,36.2,61.4,83.8
