x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-15--00:53:48,NaN,12.0,11.6,10.4,3.6,-1.6
2019-01-15--00:57:24,NaN,11.9,11.5,10.1,3.6,-1.5
2019-01-15--01:01:00,NaN,11.9,11.5,10.1,3.6,-1.5
2019-01-15--01:04:36,NaN,11.8,11.4,10.0,3.5,-1.5
2019-01-15--01:08:12,NaN,11.8,11.4,10.0,3.5,-1.5
2019-01-15--01:11:48,NaN,11.8,11.4,10.0,3.5,-1.5
2019-01-15--01:15:24,NaN,11.8,11.3,9.9,3.5,-1.4
2019-01-15--01:19:00,NaN,11.8,11.3,9.9,3.5,-1.4
2019-01-15--01:22:36,NaN,11.8,11.3,9.9,3.5,-1.4
2019-01-15--01:26:12,NaN,11.8,11.3,9.9,3.5,-1.4
2019-01-15--01:29:48,NaN,11.8,11.3,9.9,3.5,-1.4
2019-01-15--01:33:24,NaN,11.7,11.2,9.8,3.5,-1.4
2019-01-15--01:37:00,NaN,11.7,11.2,9.8,3.5,-1.4
2019-01-15--01:40:36,NaN,11.7,11.2,9.8,3.5,-1.4
2019-01-15--01:44:12,NaN,11.7,11.2,9.8,3.5,-1.4
2019-01-15--01:47:48,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--01:51:24,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--01:55:00,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--01:58:36,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--02:02:12,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--02:05:48,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--02:09:24,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--02:13:00,NaN,11.6,11.2,9.8,3.4,-1.4
2019-01-15--02:16:36,NaN,11.6,11.1,9.8,3.3,-1.5
2019-01-15--02:20:12,NaN,11.6,11.1,9.8,3.3,-1.5
2019-01-15--02:23:48,NaN,11.6,11.1,9.8,3.3,-1.5
2019-01-15--02:27:24,NaN,11.6,11.1,9.8,3.3,-1.5
2019-01-15--02:31:00,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:34:36,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:38:12,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:41:48,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:45:24,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:49:00,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:52:36,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:56:12,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--02:59:48,NaN,11.5,11.1,9.8,3.3,-1.6
2019-01-15--03:03:24,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:07:00,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:10:36,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:14:12,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:17:48,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:21:24,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:25:00,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:28:36,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:32:12,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:35:48,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:39:24,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:43:00,NaN,11.4,11.0,9.8,3.3,-1.7
2019-01-15--03:46:36,NaN,11.4,11.0,9.8,3.2,-1.7
2019-01-15--03:50:12,NaN,11.4,11.0,9.8,3.2,-1.7
2019-01-15--03:53:48,NaN,11.4,11.0,9.8,3.2,-1.7
2019-01-15--03:57:24,NaN,11.4,11.0,9.8,3.2,-1.7
2019-01-15--04:01:00,NaN,11.5,11.0,9.8,3.2,-1.7
2019-01-15--04:04:36,NaN,11.5,11.0,9.8,3.2,-1.7
2019-01-15--04:08:12,NaN,11.5,11.0,9.8,3.2,-1.7
2019-01-15--04:11:48,NaN,11.5,11.0,9.8,3.2,-1.7
2019-01-15--04:15:24,NaN,11.5,11.0,9.8,3.2,-1.7
2019-01-15--04:19:00,NaN,11.5,11.0,9.8,3.2,-1.7
