x,113,117,121,125,129,133,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-15--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.3,21.7,10.1,-0.1,24.5,24.2,22.8,18.4,21.8,21.5,20.7,17.5,28.6,22.3,18.0,23.4,20.2,17.2,26.1,28.3,24.7,10.7,10.3
2019-01-15--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.7,10.1,0.0,24.5,24.2,22.8,18.4,21.8,21.4,20.7,17.5,28.6,22.3,18.0,23.4,20.1,17.2,26.1,28.4,24.6,10.7,10.3
2019-01-15--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.7,10.1,0.0,24.5,24.2,22.8,18.4,21.8,21.4,20.7,17.5,28.6,22.3,18.0,23.4,20.1,17.2,26.1,28.4,24.6,10.7,10.3
2019-01-15--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.7,10.1,0.0,24.5,24.2,22.8,18.3,21.8,21.4,20.7,17.5,28.6,22.3,18.0,23.3,20.1,17.1,26.1,28.4,24.6,10.7,10.3
2019-01-15--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.7,10.1,0.0,24.5,24.2,22.8,18.3,21.8,21.4,20.7,17.5,28.6,22.3,18.0,23.3,20.1,17.1,26.1,28.4,24.6,10.7,10.3
2019-01-15--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.7,10.1,0.0,24.5,24.2,22.8,18.3,21.8,21.4,20.7,17.5,28.6,22.3,18.0,23.3,20.1,17.1,26.1,28.4,24.6,10.7,10.3
2019-01-15--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.6,10.0,0.1,24.5,24.2,22.8,18.3,21.7,21.4,20.7,17.4,28.6,22.3,18.0,23.3,20.0,17.1,26.1,28.3,24.7,10.7,10.3
2019-01-15--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.6,10.0,0.1,24.5,24.2,22.8,18.3,21.7,21.4,20.7,17.4,28.6,22.3,18.0,23.3,20.0,17.1,26.1,28.3,24.7,10.7,10.3
2019-01-15--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.6,10.0,0.1,24.5,24.2,22.8,18.3,21.7,21.4,20.7,17.4,28.6,22.3,18.0,23.3,20.0,17.1,26.1,28.3,24.7,10.7,10.3
2019-01-15--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,23.8,23.2,21.6,10.0,0.1,24.5,24.2,22.8,18.3,21.7,21.4,20.7,17.4,28.6,22.3,18.0,23.3,20.0,17.1,26.1,28.3,24.7,10.7,10.3
