x,112,116,120,124,128,132,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-15--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,34.9,35.2,33.5,55.7,91.7,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.5,49.6,62.1,42.2,55.0,67.7,31.000000,26.000000,26.000000,57.4,88.8
2019-01-15--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,34.8,35.1,33.5,55.7,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.5,62.1,42.2,55.0,67.6,30.000000,26.000000,26.000000,58.6,88.8
2019-01-15--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,34.8,35.1,33.5,55.7,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.5,62.1,42.2,55.0,67.6,30.000000,26.000000,26.000000,58.6,88.8
2019-01-15--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,34.8,35.0,33.5,55.7,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.4,49.5,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.0,88.8
2019-01-15--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,34.8,35.0,33.5,55.7,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.4,49.5,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.0,88.8
2019-01-15--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,34.8,35.0,33.5,55.7,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.4,49.5,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.0,88.8
2019-01-15--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,34.7,35.0,33.4,55.8,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.4,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.0,88.8
2019-01-15--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,34.7,35.0,33.4,55.8,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.4,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.2,88.8
2019-01-15--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,34.7,35.0,33.4,55.8,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.4,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.2,88.8
2019-01-15--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,34.7,35.0,33.4,55.8,91.8,43.7,44.0,46.9,58.8,33.0,35.9,41.4,48.2,40.3,49.4,62.0,42.2,55.0,67.6,30.000000,26.000000,26.000000,59.2,88.8
