x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-15--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.7,20.7,15.9,11.5,21.0,20.2,18.3,14.4,9.6,28.7,24.2,20.4,27.1,21.6,17.9,24.7,17.9,10.2,24.4,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.5,21.0,20.2,18.1,14.4,9.6,28.7,24.3,20.5,27.2,21.6,17.9,24.7,17.9,10.2,24.4,26.6,24.7,24.9,25.2,7.4,10.8,13.7
2019-01-15--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.5,21.0,20.2,18.1,14.4,9.6,28.7,24.3,20.5,27.2,21.6,17.9,24.7,17.9,10.2,24.4,26.6,24.7,24.9,25.2,7.4,10.8,13.7
2019-01-15--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.5,21.0,20.2,18.0,14.4,9.6,28.7,24.3,20.5,27.2,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.9,25.2,7.0,10.8,13.7
2019-01-15--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.5,21.0,20.2,18.0,14.4,9.6,28.7,24.3,20.5,27.2,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.9,25.2,7.0,10.8,13.7
2019-01-15--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.5,21.0,20.2,18.0,14.4,9.6,28.7,24.3,20.5,27.2,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.9,25.2,7.0,10.8,13.7
2019-01-15--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.4,21.0,20.1,18.0,14.3,9.6,28.8,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.8,25.3,7.0,10.8,13.7
2019-01-15--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.4,21.0,20.1,18.0,14.3,9.6,28.8,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.8,25.3,7.1,10.8,13.7
2019-01-15--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.4,21.0,20.1,18.0,14.3,9.6,28.8,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.8,25.3,7.1,10.8,13.7
2019-01-15--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.4,21.0,20.1,18.0,14.3,9.6,28.8,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.8,25.3,7.1,10.8,13.7
2019-01-15--01:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.9,11.4,21.0,20.1,18.0,14.3,9.6,28.8,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.1,24.4,26.6,24.6,24.8,25.3,7.1,10.8,13.7
2019-01-15--01:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,17.9,14.3,9.6,28.9,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.1,10.8,13.7
2019-01-15--01:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,17.9,14.3,9.6,28.9,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.1,10.8,13.7
2019-01-15--01:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,17.9,14.3,9.6,28.9,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.1,10.8,13.7
2019-01-15--01:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,17.9,14.3,9.6,28.9,24.3,20.5,27.3,21.6,17.9,24.7,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.1,10.8,13.7
2019-01-15--01:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.6,17.9,24.6,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.4,10.8,13.7
2019-01-15--01:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.6,17.9,24.6,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.4,10.8,13.7
2019-01-15--01:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.6,17.9,24.6,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.4,10.8,13.7
2019-01-15--01:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.6,17.9,24.6,17.9,10.0,24.4,26.7,24.6,24.8,25.2,7.4,10.8,13.7
2019-01-15--02:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.7,17.9,24.6,18.0,10.0,24.5,26.8,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.7,17.9,24.6,18.0,10.0,24.5,26.8,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.7,17.9,24.6,18.0,10.0,24.5,26.8,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.3,21.7,17.9,24.6,18.0,10.0,24.5,26.8,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:16:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.6,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:20:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.6,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:23:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.6,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:27:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0,21.6,20.7,15.8,11.4,20.9,20.1,18.0,14.3,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.6,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.6,10.8,13.7
2019-01-15--02:31:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.4,20.9,20.1,18.0,14.2,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.7,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.7,10.8,13.7
2019-01-15--02:34:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.4,20.9,20.1,18.0,14.2,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.7,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.7,10.8,13.7
2019-01-15--02:38:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.4,20.9,20.1,18.0,14.2,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.7,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.7,10.8,13.7
2019-01-15--02:41:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.4,20.9,20.1,18.0,14.2,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.7,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.7,10.8,13.7
2019-01-15--02:45:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.4,20.9,20.1,18.0,14.2,9.5,29.1,24.3,20.5,27.2,21.7,17.9,24.7,18.0,10.0,24.5,26.7,24.7,24.8,25.2,7.7,10.8,13.7
2019-01-15--02:49:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.3,20.9,20.1,18.1,14.2,9.5,29.1,24.3,20.5,27.1,21.7,17.9,24.8,18.0,10.0,24.5,26.7,24.7,24.8,25.2,8.1,10.8,13.7
2019-01-15--02:52:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.3,20.9,20.1,18.1,14.2,9.5,29.1,24.3,20.5,27.1,21.7,17.9,24.8,18.0,10.0,24.5,26.7,24.7,24.8,25.2,8.1,10.8,13.7
2019-01-15--02:56:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.3,20.9,20.1,18.1,14.2,9.5,29.1,24.3,20.5,27.1,21.7,17.9,24.8,18.0,10.0,24.5,26.7,24.7,24.8,25.2,8.1,10.8,13.7
2019-01-15--02:59:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.8,11.3,20.9,20.1,18.1,14.2,9.5,29.1,24.3,20.5,27.1,21.7,17.9,24.8,18.0,10.0,24.5,26.7,24.7,24.8,25.2,8.1,10.8,13.7
2019-01-15--03:03:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.5,29.0,24.3,20.5,27.0,21.7,17.9,24.9,18.0,10.0,24.5,26.8,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.5,29.0,24.3,20.5,27.0,21.7,17.9,24.9,18.0,10.0,24.5,26.8,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:10:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.5,29.0,24.3,20.5,27.0,21.7,17.9,24.9,18.0,10.0,24.5,26.8,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:14:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.5,29.0,24.3,20.5,27.0,21.7,17.9,24.9,18.0,10.0,24.5,26.8,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:17:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.9,24.4,20.5,27.0,21.7,17.9,25.0,18.0,10.0,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:21:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.9,24.4,20.5,27.0,21.7,17.9,25.0,18.0,10.0,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:25:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.9,24.4,20.5,27.0,21.7,17.9,25.0,18.0,10.0,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:28:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.9,24.4,20.5,27.0,21.7,17.9,25.0,18.0,10.0,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--03:32:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.0,18.0,10.0,24.4,26.7,24.6,24.9,25.1,8.1,10.8,13.7
2019-01-15--03:35:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.0,18.0,10.0,24.4,26.7,24.6,24.9,25.1,8.1,10.8,13.7
2019-01-15--03:39:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.0,18.0,10.0,24.4,26.7,24.6,24.9,25.1,8.1,10.8,13.7
2019-01-15--03:43:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.6,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.0,18.0,10.0,24.4,26.7,24.6,24.9,25.1,8.1,10.8,13.7
2019-01-15--03:46:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.4,10.8,13.7
2019-01-15--03:50:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.4,10.8,13.7
2019-01-15--03:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.4,10.8,13.7
2019-01-15--03:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.3,20.9,20.1,18.1,14.2,9.4,28.8,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.4,10.8,13.7
2019-01-15--04:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.7,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.7,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.7,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.7,24.4,20.6,26.9,21.7,17.9,25.1,18.0,10.1,24.5,26.7,24.6,24.9,25.1,8.3,10.8,13.7
2019-01-15--04:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.6,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--04:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.6,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
2019-01-15--04:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9,21.5,20.6,15.7,11.2,20.9,20.1,18.1,14.2,9.4,28.6,24.4,20.6,27.0,21.7,17.9,25.1,18.1,10.1,24.5,26.7,24.7,24.9,25.2,8.3,10.8,13.7
