x,216,220,224,228,232,236,240,244,248,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-15--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.8,27.9,31.0,42.0,54.1,27.9,30.1,33.6,42.4,54.3,31.0,35.0,44.4,33.5,44.8,53.8,27.9,38.2,58.8,28.000000,30.000000,26.000000,28.000000,26.000000,48.7,100.0,43.7
2019-01-15--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.7,27.8,31.0,42.0,54.1,27.9,30.1,33.7,42.4,54.1,31.1,35.2,44.5,33.5,44.9,53.8,27.8,38.2,58.7,28.000000,31.000000,26.000000,28.000000,26.000000,49.2,100.0,43.7
2019-01-15--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.7,27.8,31.0,42.0,54.1,27.9,30.1,33.7,42.4,54.1,31.1,35.2,44.5,33.5,44.9,53.8,27.8,38.2,58.7,28.000000,31.000000,26.000000,28.000000,26.000000,49.2,100.0,43.7
2019-01-15--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.8,42.4,54.1,31.3,35.3,44.5,33.5,44.9,53.8,27.8,38.2,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,49.0,100.0,43.7
2019-01-15--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.8,42.4,54.1,31.3,35.3,44.5,33.5,44.9,53.8,27.8,38.2,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,49.0,100.0,43.7
2019-01-15--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.8,42.4,54.1,31.3,35.3,44.5,33.5,44.9,53.8,27.8,38.2,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,49.0,100.0,43.7
2019-01-15--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.9,42.3,54.1,31.4,35.2,44.5,33.4,44.9,53.8,27.7,38.3,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,49.0,100.0,43.7
2019-01-15--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.9,42.3,54.1,31.4,35.2,44.5,33.4,44.9,53.8,27.7,38.3,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,48.6,100.0,43.5
2019-01-15--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.9,42.3,54.1,31.4,35.2,44.5,33.4,44.9,53.8,27.7,38.3,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,48.6,100.0,43.5
2019-01-15--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.9,42.3,54.1,31.4,35.2,44.5,33.4,44.9,53.8,27.7,38.3,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,48.6,100.0,43.5
2019-01-15--01:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.1,33.9,42.3,54.1,31.4,35.2,44.5,33.4,44.9,53.8,27.7,38.3,58.6,28.000000,31.000000,26.000000,28.000000,26.000000,48.6,100.0,43.5
2019-01-15--01:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.2,33.9,42.3,54.1,31.5,35.2,44.4,33.4,45.0,53.8,27.7,38.3,58.5,28.000000,31.000000,26.000000,28.000000,26.000000,47.9,100.0,43.4
2019-01-15--01:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.2,33.9,42.3,54.1,31.5,35.2,44.4,33.4,45.0,53.8,27.7,38.3,58.5,28.000000,31.000000,26.000000,28.000000,26.000000,47.9,100.0,43.4
2019-01-15--01:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6,27.7,31.0,42.0,54.1,27.8,30.2,33.9,42.3,54.1,31.5,35.2,44.4,33.4,45.0,53.8,27.7,38.3,58.5,28.000000,31.000000,26.000000,28.000000,26.000000,47.9,100.0,43.4
