x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--00:53:48,21.2,20.9,19.3,14.4,10.8,20.1,19.7,18.4,13.8,8.2,20.1,19.7,18.6,8.2,-0.4,23.6,28.1,23.9,22.9,24.2
2019-01-15--00:57:24,21.2,20.9,19.3,14.4,10.8,20.1,19.7,18.3,13.8,8.2,20.0,19.7,18.6,8.2,-0.4,23.5,28.0,23.9,22.9,24.2
2019-01-15--01:01:00,21.2,20.9,19.3,14.4,10.8,20.1,19.7,18.3,13.8,8.2,20.0,19.7,18.6,8.2,-0.4,23.5,28.0,23.9,22.9,24.2
2019-01-15--01:04:36,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.7,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:08:12,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.7,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:11:48,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.7,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:15:24,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.6,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:19:00,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.6,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:22:36,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.6,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:26:12,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.6,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:29:48,21.2,20.9,19.3,14.4,10.8,20.1,19.6,18.2,13.7,8.2,20.0,19.6,18.6,8.1,-0.4,23.5,28.1,23.9,22.8,24.2
2019-01-15--01:33:24,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,23.9,22.8,24.3
2019-01-15--01:37:00,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,23.9,22.8,24.3
2019-01-15--01:40:36,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,23.9,22.8,24.3
2019-01-15--01:44:12,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,23.9,22.8,24.3
2019-01-15--01:47:48,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,24.0,22.8,24.3
2019-01-15--01:51:24,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,24.0,22.8,24.3
2019-01-15--01:55:00,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,24.0,22.8,24.3
2019-01-15--01:58:36,21.2,20.9,19.3,14.4,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.3,23.5,28.2,24.0,22.8,24.3
2019-01-15--02:02:12,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.4,23.5,28.2,24.0,22.9,24.3
2019-01-15--02:05:48,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.4,23.5,28.2,24.0,22.9,24.3
2019-01-15--02:09:24,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.4,23.5,28.2,24.0,22.9,24.3
2019-01-15--02:13:00,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.4,23.5,28.2,24.0,22.9,24.3
2019-01-15--02:16:36,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.5,23.5,28.0,23.9,22.9,24.3
2019-01-15--02:20:12,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.5,23.5,28.0,23.9,22.9,24.3
2019-01-15--02:23:48,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.5,23.5,28.0,23.9,22.9,24.3
2019-01-15--02:27:24,21.2,20.9,19.3,14.3,10.7,20.1,19.6,18.2,13.6,8.1,20.0,19.6,18.5,8.1,-0.5,23.5,28.0,23.9,22.9,24.3
2019-01-15--02:31:00,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.5,23.5,28.0,23.9,22.8,24.2
2019-01-15--02:34:36,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.5,23.5,28.0,23.9,22.8,24.2
2019-01-15--02:38:12,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.5,23.5,28.0,23.9,22.8,24.2
2019-01-15--02:41:48,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.5,23.5,28.0,23.9,22.8,24.2
2019-01-15--02:45:24,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.5,23.5,28.0,23.9,22.8,24.2
2019-01-15--02:49:00,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.6,23.5,27.9,23.8,22.8,24.2
2019-01-15--02:52:36,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.6,23.5,27.9,23.8,22.8,24.2
2019-01-15--02:56:12,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.6,23.5,27.9,23.8,22.8,24.2
2019-01-15--02:59:48,21.2,20.9,19.3,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.6,23.5,27.9,23.8,22.8,24.2
2019-01-15--03:03:24,21.1,20.9,19.2,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:07:00,21.1,20.9,19.2,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:10:36,21.1,20.9,19.2,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:14:12,21.1,20.9,19.2,14.3,10.7,20.0,19.6,18.2,13.6,8.0,20.0,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:17:48,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.3,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:21:24,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.3,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:25:00,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.3,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:28:36,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.3,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,27.9,23.8,22.8,24.2
2019-01-15--03:32:12,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,28.0,23.9,22.8,24.2
2019-01-15--03:35:48,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,28.0,23.9,22.8,24.2
2019-01-15--03:39:24,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,28.0,23.9,22.8,24.2
2019-01-15--03:43:00,21.1,20.9,19.2,14.3,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.4,28.0,23.9,22.8,24.2
2019-01-15--03:46:36,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--03:50:12,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--03:53:48,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--03:57:24,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.5,8.0,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--04:01:00,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.4,7.9,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--04:04:36,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.4,7.9,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--04:08:12,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.4,7.9,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--04:11:48,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.6,8.0,19.9,19.6,18.4,7.9,-0.7,23.5,28.1,23.9,22.8,24.2
2019-01-15--04:15:24,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,19.9,19.5,18.4,7.9,-0.7,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:19:00,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,19.9,19.5,18.4,7.9,-0.7,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:22:36,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,19.9,19.5,18.4,7.9,-0.7,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:26:12,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,19.9,19.5,18.4,7.9,-0.7,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:29:48,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,19.9,19.5,18.4,7.9,-0.7,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:33:24,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,20.0,19.6,18.4,7.9,-0.6,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:37:00,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,20.0,19.6,18.4,7.9,-0.6,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:40:36,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,20.0,19.6,18.4,7.9,-0.6,23.5,28.2,24.0,22.8,24.3
2019-01-15--04:44:12,21.1,20.9,19.2,14.2,10.6,20.0,19.6,18.2,13.5,7.9,20.0,19.6,18.4,7.9,-0.6,23.5,28.2,24.0,22.8,24.3
