x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--00:53:48,30.2,31.7,32.6,46.0,52.2,26.5,28.4,30.8,40.3,55.8,24.4,25.0,26.9,49.4,80.7,26.000000,22.000000,26.000000,27.000000,27.000000
2019-01-15--00:57:24,30.2,31.7,32.6,46.0,52.2,26.5,28.3,30.8,40.3,55.7,24.2,24.7,26.8,49.4,80.7,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:01:00,30.2,31.7,32.6,46.0,52.2,26.5,28.3,30.8,40.3,55.7,24.2,24.7,26.8,49.4,80.7,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:04:36,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.8,40.2,55.7,24.0,24.6,26.8,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:08:12,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.8,40.2,55.7,24.0,24.6,26.8,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:11:48,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.8,40.2,55.7,24.0,24.6,26.8,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:15:24,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:19:00,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:22:36,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:26:12,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:29:48,30.2,31.7,32.6,46.0,52.2,26.4,28.3,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,26.000000,27.000000,26.000000
2019-01-15--01:33:24,30.2,31.7,32.6,46.0,52.3,26.4,28.2,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:37:00,30.2,31.7,32.6,46.0,52.3,26.4,28.2,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:40:36,30.2,31.7,32.6,46.0,52.3,26.4,28.2,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:44:12,30.2,31.7,32.6,46.0,52.3,26.4,28.2,30.7,40.2,55.7,24.0,24.5,26.7,49.4,80.8,26.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:47:48,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.6,26.7,49.4,80.8,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:51:24,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.6,26.7,49.4,80.8,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:55:00,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.6,26.7,49.4,80.8,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--01:58:36,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.6,26.7,49.4,80.8,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:02:12,30.2,31.7,32.6,46.1,52.3,26.3,28.2,30.7,40.3,55.7,24.0,24.6,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:05:48,30.2,31.7,32.6,46.1,52.3,26.3,28.2,30.7,40.3,55.7,24.0,24.6,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:09:24,30.2,31.7,32.6,46.1,52.3,26.3,28.2,30.7,40.3,55.7,24.0,24.6,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:13:00,30.2,31.7,32.6,46.1,52.3,26.3,28.2,30.7,40.3,55.7,24.0,24.6,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:16:36,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.5,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:20:12,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.5,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:23:48,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.5,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:27:24,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.7,24.0,24.5,26.7,49.5,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:31:00,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.8,23.9,24.5,26.6,49.5,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--02:34:36,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.8,23.9,24.5,26.6,49.5,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--02:38:12,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.8,23.9,24.5,26.6,49.5,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--02:41:48,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.8,23.9,24.5,26.6,49.5,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--02:45:24,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.3,55.8,23.9,24.5,26.6,49.5,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--02:49:00,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.2,55.8,24.0,24.6,26.7,49.4,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:52:36,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.2,55.8,24.0,24.6,26.7,49.4,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:56:12,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.2,55.8,24.0,24.6,26.7,49.4,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--02:59:48,30.2,31.7,32.6,46.0,52.3,26.3,28.1,30.7,40.2,55.8,24.0,24.6,26.7,49.4,80.7,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--03:03:24,30.1,31.7,32.6,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:07:00,30.1,31.7,32.6,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:10:36,30.1,31.7,32.6,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:14:12,30.1,31.7,32.6,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.7,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:17:48,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:21:24,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:25:00,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:28:36,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,24.0,24.6,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:32:12,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,23.9,24.5,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:35:48,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,23.9,24.5,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:39:24,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,23.9,24.5,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:43:00,30.1,31.7,32.6,46.0,52.3,26.3,28.1,30.6,40.2,55.8,23.9,24.5,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--03:46:36,30.1,31.7,32.5,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--03:50:12,30.1,31.7,32.5,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--03:53:48,30.1,31.7,32.5,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--03:57:24,30.1,31.7,32.5,46.0,52.3,26.3,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.8,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:01:00,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--04:04:36,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--04:08:12,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--04:11:48,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.6,40.2,55.8,24.1,24.7,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,26.000000
2019-01-15--04:15:24,30.1,31.7,32.5,46.0,52.3,26.1,27.9,30.6,40.2,55.8,24.1,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:19:00,30.1,31.7,32.5,46.0,52.3,26.1,27.9,30.6,40.2,55.8,24.1,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:22:36,30.1,31.7,32.5,46.0,52.3,26.1,27.9,30.6,40.2,55.8,24.1,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:26:12,30.1,31.7,32.5,46.0,52.3,26.1,27.9,30.6,40.2,55.8,24.1,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:29:48,30.1,31.7,32.5,46.0,52.3,26.1,27.9,30.6,40.2,55.8,24.1,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:33:24,30.2,31.7,32.5,46.0,52.3,26.1,27.9,30.5,40.2,55.8,24.2,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:37:00,30.2,31.7,32.5,46.0,52.3,26.1,27.9,30.5,40.2,55.8,24.2,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:40:36,30.2,31.7,32.5,46.0,52.3,26.1,27.9,30.5,40.2,55.8,24.2,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:44:12,30.2,31.7,32.5,46.0,52.3,26.1,27.9,30.5,40.2,55.8,24.2,24.8,26.6,49.4,80.9,25.000000,21.000000,25.000000,27.000000,27.000000
2019-01-15--04:47:48,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.5,40.2,55.8,24.2,24.8,26.6,49.4,81.0,25.000000,22.000000,25.000000,27.000000,26.000000
2019-01-15--04:51:24,30.1,31.7,32.5,46.0,52.3,26.2,28.0,30.5,40.2,55.8,24.2,24.8,26.6,49.4,81.0,25.000000,22.000000,25.000000,27.000000,26.000000
