x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--00:53:48,21.0,20.9,14.8,9.1,3.7,20.9,20.7,18.9,16.7,22.2,22.1,20.0,17.4,26.0,24.2,25.8
2019-01-15--00:57:24,21.0,20.9,14.8,9.1,3.7,20.9,20.7,18.9,16.7,22.2,22.0,20.0,17.4,26.0,24.2,25.8
2019-01-15--01:01:00,21.0,20.9,14.8,9.1,3.7,20.9,20.7,18.9,16.7,22.2,22.0,20.0,17.4,26.0,24.2,25.8
2019-01-15--01:04:36,21.0,20.9,14.7,9.0,3.7,20.9,20.7,18.9,16.7,22.2,22.0,20.0,17.4,25.9,24.2,25.8
2019-01-15--01:08:12,21.0,20.9,14.7,9.0,3.7,20.9,20.7,18.9,16.7,22.2,22.0,20.0,17.4,25.9,24.2,25.8
2019-01-15--01:11:48,21.0,20.9,14.7,9.0,3.7,20.9,20.7,18.9,16.7,22.2,22.0,20.0,17.4,25.9,24.2,25.8
2019-01-15--01:15:24,21.0,20.9,14.7,9.0,3.6,20.9,20.7,18.9,16.7,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:19:00,21.0,20.9,14.7,9.0,3.6,20.9,20.7,18.9,16.7,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:22:36,21.0,20.9,14.7,9.0,3.6,20.9,20.7,18.9,16.7,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:26:12,21.0,20.9,14.7,9.0,3.6,20.9,20.7,18.9,16.7,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:29:48,21.0,20.9,14.7,9.0,3.6,20.9,20.7,18.9,16.7,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:33:24,21.0,20.9,14.6,8.9,3.7,20.9,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:37:00,21.0,20.9,14.6,8.9,3.7,20.9,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:40:36,21.0,20.9,14.6,8.9,3.7,20.9,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:44:12,21.0,20.9,14.6,8.9,3.7,20.9,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:47:48,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:51:24,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:55:00,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--01:58:36,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:02:12,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.1,25.9
2019-01-15--02:05:48,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.1,25.9
2019-01-15--02:09:24,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.1,25.9
2019-01-15--02:13:00,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,25.9,24.1,25.9
2019-01-15--02:16:36,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,26.0,24.2,25.9
2019-01-15--02:20:12,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,26.0,24.2,25.9
2019-01-15--02:23:48,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,26.0,24.2,25.9
2019-01-15--02:27:24,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.2,22.0,19.9,17.4,26.0,24.2,25.9
2019-01-15--02:31:00,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:34:36,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:38:12,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:41:48,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:45:24,21.0,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.9
2019-01-15--02:49:00,20.9,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--02:52:36,20.9,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--02:56:12,20.9,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--02:59:48,20.9,20.9,14.6,8.9,3.7,20.8,20.7,18.9,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:03:24,20.9,20.8,14.6,8.9,3.7,20.8,20.7,18.8,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:07:00,20.9,20.8,14.6,8.9,3.7,20.8,20.7,18.8,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:10:36,20.9,20.8,14.6,8.9,3.7,20.8,20.7,18.8,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:14:12,20.9,20.8,14.6,8.9,3.7,20.8,20.7,18.8,16.6,22.1,22.0,19.9,17.4,25.9,24.2,25.8
2019-01-15--03:17:48,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
2019-01-15--03:21:24,20.9,20.8,14.6,8.9,3.6,20.8,20.7,18.8,16.6,22.1,22.0,19.8,17.3,25.9,24.2,25.9
