x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--00:53:48,27.7,27.7,35.7,49.6,68.3,40.0,40.7,41.8,47.2,25.1,25.9,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--00:57:24,27.6,27.7,35.6,49.4,68.4,40.0,40.7,41.8,47.2,25.0,25.8,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--01:01:00,27.6,27.7,35.6,49.4,68.4,40.0,40.7,41.8,47.2,25.0,25.8,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--01:04:36,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.8,47.1,24.9,25.6,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--01:08:12,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.8,47.1,24.9,25.6,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--01:11:48,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.8,47.1,24.9,25.6,34.1,38.8,26.000000,27.000000,24.000000
2019-01-15--01:15:24,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:19:00,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:22:36,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:26:12,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:29:48,27.6,27.7,35.6,49.5,68.4,40.0,40.7,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:33:24,27.6,27.6,35.7,49.6,68.5,40.0,40.6,41.7,47.2,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:37:00,27.6,27.6,35.7,49.6,68.5,40.0,40.6,41.7,47.2,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:40:36,27.6,27.6,35.7,49.6,68.5,40.0,40.6,41.7,47.2,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:44:12,27.6,27.6,35.7,49.6,68.5,40.0,40.6,41.7,47.2,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:47:48,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:51:24,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:55:00,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--01:58:36,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:02:12,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:05:48,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:09:24,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:13:00,27.6,27.6,35.7,49.8,68.5,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:16:36,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:20:12,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:23:48,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:27:24,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:31:00,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:34:36,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:38:12,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:41:48,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:45:24,27.6,27.6,35.7,49.8,68.4,40.0,40.6,41.7,47.1,24.7,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:49:00,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:52:36,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:56:12,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--02:59:48,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.5,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:03:24,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:07:00,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:10:36,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:14:12,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:17:48,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:21:24,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:25:00,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:28:36,27.6,27.6,35.7,49.8,68.3,40.0,40.6,41.7,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:32:12,27.6,27.6,35.7,49.7,68.2,40.0,40.6,41.6,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:35:48,27.6,27.6,35.7,49.7,68.2,40.0,40.6,41.6,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:39:24,27.6,27.6,35.7,49.7,68.2,40.0,40.6,41.6,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:43:00,27.6,27.6,35.7,49.7,68.2,40.0,40.6,41.6,47.1,24.8,25.6,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:46:36,27.6,27.6,35.7,49.7,68.3,40.0,40.6,41.6,47.1,24.8,25.7,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:50:12,27.6,27.6,35.7,49.7,68.3,40.0,40.6,41.6,47.1,24.8,25.7,34.1,38.8,26.000000,26.000000,24.000000
2019-01-15--03:53:48,27.6,27.6,35.7,49.7,68.3,40.0,40.6,41.6,47.1,24.8,25.7,34.1,38.8,26.000000,26.000000,24.000000
