x,APAR_715.15,APAR_716.16,APAR_717.17,APAR_718.18,APAR_719.19,APAR_720.20,APAR_721.21,APAR_722.22,APAR_723.23,APAR_724.24,APAR_725.25,APAR_726.26,APAR_727.27,APAR_728.28,APAR_729.29,APAR_730.30,APAR_731.31,APAR_732.32,APAR_733.1,APAR_734.2,APAR_735.3,APAR_736.4,APAR_737.5,APAR_738.6,APAR_739.7,APAR_740.8,APAR_741.9,APAR_742.10,APAR_743.11,APAR_744.12,APAR_745.13,APAR_746.14,APAR_747.15,APAR_748.16,APAR_749.17,APAR_750.18,APAR_751.19,APAR_752.20,APAR_753.21,APAR_754.22,APAR_755.23,APAR_756.24,APAR_757.25,FIF_703.3,FIF_704.4,FIF_705.5,FIF_706.6,FIF_707.7,FIF_708.8,FIF_709.9,FIF_710.10
2019-01-15--00:53:48,37.5,38.2,40.3,51.1,75.6,33.8,34.0,32.7,51.5,77.2,51.3,51.4,53.0,62.3,31.8,32.8,41.5,46.1,31.6,31.2,37.5,42.4,49.1,35.4,34.2,38.3,46.6,58.8,59.0,46.1,38.6,29.1,67.3,49.8,39.8,25.6,56.3,41.4,34.2,27.9,85.1,58.9,88.4,34.000000,38.000000,34.000000,36.000000,29.000000,32.000000,32.000000,36.000000
2019-01-15--00:57:24,37.0,37.5,40.2,51.2,75.5,33.1,33.8,32.6,51.5,77.3,51.4,51.3,53.0,62.2,31.7,32.7,41.5,46.1,31.8,31.4,37.4,42.4,49.1,36.0,34.8,38.2,46.7,58.8,58.9,46.3,38.7,29.5,67.3,49.8,39.7,26.0,56.4,42.0,34.4,28.2,85.1,58.5,88.4,33.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,35.000000
2019-01-15--01:01:00,37.0,37.5,40.2,51.2,75.5,33.1,33.8,32.6,51.5,77.3,51.4,51.3,53.0,62.2,31.7,32.7,41.5,46.1,31.8,31.4,37.4,42.4,49.1,36.0,34.8,38.2,46.7,58.8,58.9,46.3,38.7,29.5,67.3,49.8,39.7,26.0,56.4,42.0,34.4,28.2,85.1,58.5,88.4,33.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,35.000000
2019-01-15--01:04:36,36.8,37.5,40.0,51.1,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,31.9,31.6,37.5,42.4,49.1,36.4,35.3,38.2,46.7,58.7,58.8,46.5,38.8,29.8,67.3,49.7,39.7,26.2,56.6,42.4,34.5,28.2,85.1,58.6,87.9,33.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:08:12,36.8,37.5,40.0,51.1,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,31.9,31.6,37.5,42.4,49.1,36.4,35.3,38.2,46.7,58.7,58.8,46.5,38.8,29.8,67.3,49.7,39.7,26.2,56.6,42.4,34.5,28.2,85.1,58.6,87.9,33.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:11:48,36.8,37.5,40.0,51.1,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,31.9,31.6,37.5,42.4,49.1,36.4,35.3,38.2,46.7,58.7,58.8,46.5,38.8,29.8,67.3,49.7,39.7,26.2,56.6,42.4,34.5,28.2,85.1,58.6,87.9,33.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:15:24,36.8,37.5,40.0,51.2,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,32.0,31.7,37.5,42.4,49.0,36.7,35.7,38.2,46.7,58.6,58.8,46.6,38.9,29.9,67.3,49.7,39.7,26.4,56.6,42.7,34.6,28.2,84.8,58.5,87.1,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:19:00,36.8,37.5,40.0,51.2,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,32.0,31.7,37.5,42.4,49.0,36.7,35.7,38.2,46.7,58.6,58.8,46.6,38.9,29.9,67.3,49.7,39.7,26.4,56.6,42.7,34.6,28.2,84.8,58.5,87.1,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:22:36,36.8,37.5,40.0,51.2,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,32.0,31.7,37.5,42.4,49.0,36.7,35.7,38.2,46.7,58.6,58.8,46.6,38.9,29.9,67.3,49.7,39.7,26.4,56.6,42.7,34.6,28.2,84.8,58.5,87.1,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:26:12,36.8,37.5,40.0,51.2,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,32.0,31.7,37.5,42.4,49.0,36.7,35.7,38.2,46.7,58.6,58.8,46.6,38.9,29.9,67.3,49.7,39.7,26.4,56.6,42.7,34.6,28.2,84.8,58.5,87.1,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:29:48,36.8,37.5,40.0,51.2,75.5,32.9,33.6,32.4,51.5,77.3,51.4,51.3,53.0,62.1,31.7,32.7,41.6,46.1,32.0,31.7,37.5,42.4,49.0,36.7,35.7,38.2,46.7,58.6,58.8,46.6,38.9,29.9,67.3,49.7,39.7,26.4,56.6,42.7,34.6,28.2,84.8,58.5,87.1,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,34.000000
2019-01-15--01:33:24,36.7,37.4,39.9,51.3,75.4,33.0,33.6,32.3,51.6,77.3,51.5,51.4,52.9,62.1,31.8,32.8,41.6,46.0,32.0,31.7,37.5,42.4,49.0,36.8,36.0,38.2,46.7,58.5,58.7,46.6,38.9,29.9,67.3,49.7,39.7,26.3,56.7,42.8,34.6,28.2,84.4,58.1,86.6,32.000000,38.000000,34.000000,37.000000,29.000000,32.000000,32.000000,33.000000
