('0 RG', 'Temperatura') {'x': 1546822429000, '648': 'NaN', 'APAR_30.1': '10.4', 'APAR_31.2': '9.9', 'APAR_32.3': '8.4', 'APAR_33.4': '0.9', 'APAR_34.5': '6548.0'}
('0 RG', 'Temperatura') {'x': 1546822645000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.9', 'APAR_32.3': '8.4', 'APAR_33.4': '0.9', 'APAR_34.5': '6548.0'}
('0 RG', 'Temperatura') {'x': 1546822861000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6548.0'}
('0 RG', 'Temperatura') {'x': 1546823077000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6548.0'}
('0 RG', 'Temperatura') {'x': 1546823293000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6547.9'}
('0 RG', 'Temperatura') {'x': 1546823509000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6547.9'}
('0 RG', 'Temperatura') {'x': 1546823725000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6547.9'}
('0 RG', 'Temperatura') {'x': 1546823941000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6547.9'}
('0 RG', 'Temperatura') {'x': 1546824157000, '648': 'NaN', 'APAR_30.1': '10.3', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.8', 'APAR_34.5': '6547.8'}
('0 RG', 'Temperatura') {'x': 1546824373000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.8'}
('0 RG', 'Temperatura') {'x': 1546824589000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.8', 'APAR_32.3': '8.3', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.8'}
('0 RG', 'Temperatura') {'x': 1546824805000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.7', 'APAR_32.3': '8.3', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.8'}
('0 RG', 'Temperatura') {'x': 1546825021000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.7', 'APAR_32.3': '8.2', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.7'}
('0 RG', 'Temperatura') {'x': 1546825237000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.7', 'APAR_32.3': '8.2', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.7'}
('0 RG', 'Temperatura') {'x': 1546825453000, '648': 'NaN', 'APAR_30.1': '10.2', 'APAR_31.2': '9.7', 'APAR_32.3': '8.2', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.7'}
('0 RG', 'Temperatura') {'x': 1546825669000, '648': 'NaN', 'APAR_30.1': '10.1', 'APAR_31.2': '9.7', 'APAR_32.3': '8.2', 'APAR_33.4': '0.7', 'APAR_34.5': '6547.6'}
('0 RG', 'Temperatura') {'x': 1546825885000, '648': 'NaN', 'APAR_30.1': '10.1', 'APAR_31.2': '9.7', 'APAR_32.3': '8.2', 'APAR_33.4': '0.6', 'APAR_34.5': '6547.6'}
