1547123562 , ['34.8', '8.5', '2.9', '-6.1', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.2', '-8.9', '2.1', '-11.3']
1547123603 , []
1547123626 , ['34.8', '8.5', '2.9', '-6.1', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.2', '-8.9', '2.1', '-11.3']
1547123826 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547123883 , ['34.8', '8.5', '2.9', '-6.1', '36.3', '7.9', '2.9', '-6.1', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547123950 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.2', '-8.9', '2.1', '-11.3']
1547124004 , ['34.8', '8.5', '2.9', '-6.1', '36.2', '7.9', '2.9', '-6.1', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.2', '-8.9', '2.1', '-11.3']
1547124284 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.2', '-8.9', '2.1', '-11.3']
1547124309 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124544 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.2', '2.3', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124624 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124681 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124768 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124785 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547124813 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.9', '2.9', '-6.2', '35.0', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125120 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125378 , ['34.7', '8.5', '2.9', '-6.2', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125452 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125568 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125592 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125659 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125671 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125690 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
1547125718 , ['34.7', '8.4', '2.9', '-6.3', '36.2', '7.8', '2.9', '-6.2', '34.9', '6.1', '2.5', '-8.2', '57.8', '-2.3', '2.4', '-9.4', '82.1', '-8.9', '2.1', '-11.3']
