x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-12--00:53:48,NaN,8.9,8.1,6.0,-1.7,-4.3
2019-01-12--00:57:24,NaN,8.9,8.1,6.1,-1.6,-4.0
2019-01-12--01:01:00,NaN,8.9,8.1,6.1,-1.6,-4.0
2019-01-12--01:04:36,NaN,8.9,8.1,6.1,-1.5,-3.8
2019-01-12--01:08:12,NaN,8.9,8.1,6.1,-1.5,-3.8
2019-01-12--01:11:48,NaN,8.9,8.1,6.1,-1.5,-3.8
2019-01-12--01:15:24,NaN,9.0,8.2,6.1,-1.4,-3.6
2019-01-12--01:19:00,NaN,9.0,8.2,6.1,-1.4,-3.6
2019-01-12--01:22:36,NaN,9.0,8.2,6.1,-1.4,-3.6
2019-01-12--01:26:12,NaN,9.0,8.2,6.1,-1.4,-3.6
2019-01-12--01:29:48,NaN,9.0,8.2,6.1,-1.4,-3.6
2019-01-12--01:33:24,NaN,9.0,8.2,6.1,-1.3,-3.3
2019-01-12--01:37:00,NaN,9.0,8.2,6.1,-1.3,-3.3
2019-01-12--01:40:36,NaN,9.0,8.2,6.1,-1.3,-3.3
2019-01-12--01:44:12,NaN,9.0,8.2,6.1,-1.3,-3.3
2019-01-12--01:47:48,NaN,9.1,8.3,6.2,-1.2,-3.1
2019-01-12--01:51:24,NaN,9.1,8.3,6.2,-1.2,-3.1
2019-01-12--01:55:00,NaN,9.1,8.3,6.2,-1.2,-3.1
2019-01-12--01:58:36,NaN,9.1,8.3,6.2,-1.2,-3.1
2019-01-12--02:02:12,NaN,9.1,8.3,6.3,-1.1,-2.8
2019-01-12--02:05:48,NaN,9.1,8.3,6.3,-1.1,-2.8
2019-01-12--02:09:24,NaN,9.1,8.3,6.3,-1.1,-2.8
2019-01-12--02:13:00,NaN,9.1,8.3,6.3,-1.1,-2.8
2019-01-12--02:16:36,NaN,9.2,8.3,6.3,-1.0,-2.6
2019-01-12--02:20:12,NaN,9.2,8.3,6.3,-1.0,-2.6
2019-01-12--02:23:48,NaN,9.2,8.3,6.3,-1.0,-2.6
2019-01-12--02:27:24,NaN,9.2,8.3,6.3,-1.0,-2.6
2019-01-12--02:31:00,NaN,9.2,8.4,6.4,-0.9,-2.4
2019-01-12--02:34:36,NaN,9.2,8.4,6.4,-0.9,-2.4
2019-01-12--02:38:12,NaN,9.2,8.4,6.4,-0.9,-2.4
2019-01-12--02:41:48,NaN,9.2,8.4,6.4,-0.9,-2.4
2019-01-12--02:45:24,NaN,9.3,8.4,6.4,-0.8,-2.2
2019-01-12--02:49:00,NaN,9.3,8.4,6.4,-0.8,-2.2
2019-01-12--02:52:36,NaN,9.3,8.4,6.4,-0.8,-2.2
2019-01-12--02:56:12,NaN,9.3,8.4,6.4,-0.8,-2.2
2019-01-12--02:59:48,NaN,9.3,8.4,6.4,-0.8,-2.2
2019-01-12--03:03:24,NaN,9.3,8.5,6.5,-0.7,-2.1
2019-01-12--03:07:00,NaN,9.3,8.5,6.5,-0.7,-2.1
2019-01-12--03:10:36,NaN,9.3,8.5,6.5,-0.7,-2.1
2019-01-12--03:14:12,NaN,9.3,8.5,6.5,-0.7,-2.1
2019-01-12--03:17:48,NaN,9.4,8.5,6.5,-0.6,-2.0
2019-01-12--03:21:24,NaN,9.4,8.5,6.5,-0.6,-2.0
2019-01-12--03:25:00,NaN,9.4,8.5,6.5,-0.6,-2.0
2019-01-12--03:28:36,NaN,9.4,8.5,6.5,-0.6,-2.0
2019-01-12--03:32:12,NaN,9.4,8.6,6.6,-0.4,-1.9
2019-01-12--03:35:48,NaN,9.4,8.6,6.6,-0.4,-1.9
2019-01-12--03:39:24,NaN,9.4,8.6,6.6,-0.4,-1.9
2019-01-12--03:43:00,NaN,9.4,8.6,6.6,-0.4,-1.9
2019-01-12--03:46:36,NaN,9.5,8.6,6.7,-0.3,-1.8
2019-01-12--03:50:12,NaN,9.5,8.6,6.7,-0.3,-1.8
2019-01-12--03:53:48,NaN,9.5,8.6,6.7,-0.3,-1.8
2019-01-12--03:57:24,NaN,9.5,8.6,6.7,-0.3,-1.8
2019-01-12--04:01:00,NaN,9.5,8.7,6.7,-0.2,-1.8
2019-01-12--04:04:36,NaN,9.5,8.7,6.7,-0.2,-1.8
2019-01-12--04:08:12,NaN,9.5,8.7,6.7,-0.2,-1.8
2019-01-12--04:11:48,NaN,9.5,8.7,6.7,-0.2,-1.8
2019-01-12--04:15:24,NaN,9.6,8.8,6.8,-0.1,-1.7
2019-01-12--04:19:00,NaN,9.6,8.8,6.8,-0.1,-1.7
2019-01-12--04:22:36,NaN,9.6,8.8,6.8,-0.1,-1.7
2019-01-12--04:26:12,NaN,9.6,8.8,6.8,-0.1,-1.7
2019-01-12--04:29:48,NaN,9.6,8.8,6.8,-0.1,-1.7
2019-01-12--04:33:24,NaN,9.6,8.8,6.8,0.1,-1.7
2019-01-12--04:37:00,NaN,9.6,8.8,6.8,0.1,-1.7
2019-01-12--04:40:36,NaN,9.6,8.8,6.8,0.1,-1.7
2019-01-12--04:44:12,NaN,9.6,8.8,6.8,0.1,-1.7
2019-01-12--04:47:48,NaN,9.6,8.8,6.9,0.2,-1.7
2019-01-12--04:51:24,NaN,9.6,8.8,6.9,0.2,-1.7
2019-01-12--04:55:00,NaN,9.6,8.8,6.9,0.2,-1.7
2019-01-12--04:58:36,NaN,9.6,8.8,6.9,0.2,-1.7
2019-01-12--05:02:12,NaN,9.6,8.8,6.9,0.3,-1.7
2019-01-12--05:05:48,NaN,9.6,8.8,6.9,0.3,-1.7
2019-01-12--05:09:24,NaN,9.6,8.8,6.9,0.3,-1.7
2019-01-12--05:13:00,NaN,9.6,8.8,6.9,0.3,-1.7
2019-01-12--05:16:36,NaN,9.7,8.9,7.0,0.4,-1.7
2019-01-12--05:20:12,NaN,9.7,8.9,7.0,0.4,-1.7
2019-01-12--05:23:48,NaN,9.7,8.9,7.0,0.4,-1.7
2019-01-12--05:27:24,NaN,9.7,8.9,7.0,0.4,-1.7
2019-01-12--05:31:00,NaN,9.7,8.9,7.0,0.5,-1.7
2019-01-12--05:34:36,NaN,9.7,8.9,7.0,0.5,-1.7
2019-01-12--05:38:12,NaN,9.7,8.9,7.0,0.5,-1.7
2019-01-12--05:41:48,NaN,9.7,8.9,7.0,0.5,-1.7
2019-01-12--05:45:24,NaN,9.7,9.0,7.1,0.6,-1.8
2019-01-12--05:49:00,NaN,9.7,9.0,7.1,0.6,-1.8
2019-01-12--05:52:36,NaN,9.7,9.0,7.1,0.6,-1.8
2019-01-12--05:56:12,NaN,9.7,9.0,7.1,0.6,-1.8
2019-01-12--05:59:48,NaN,9.7,9.0,7.1,0.6,-1.8
2019-01-12--06:03:24,NaN,9.8,9.0,7.1,0.6,-1.8
2019-01-12--06:07:00,NaN,9.8,9.0,7.1,0.6,-1.8
2019-01-12--06:10:36,NaN,9.8,9.0,7.1,0.6,-1.8
2019-01-12--06:14:12,NaN,9.8,9.0,7.1,0.6,-1.8
2019-01-12--06:17:48,NaN,9.8,9.1,7.2,0.7,-1.7
2019-01-12--06:21:24,NaN,9.8,9.1,7.2,0.7,-1.7
2019-01-12--06:25:00,NaN,9.8,9.1,7.2,0.7,-1.7
2019-01-12--06:28:36,NaN,9.8,9.1,7.2,0.7,-1.7
2019-01-12--06:32:12,NaN,9.8,9.1,7.3,0.8,-1.7
2019-01-12--06:35:48,NaN,9.8,9.1,7.3,0.8,-1.7
2019-01-12--06:39:24,NaN,9.8,9.1,7.3,0.8,-1.7
2019-01-12--06:43:00,NaN,9.8,9.1,7.3,0.8,-1.7
2019-01-12--06:46:36,NaN,9.9,9.1,7.3,0.9,-1.7
2019-01-12--06:50:12,NaN,9.9,9.1,7.3,0.9,-1.7
2019-01-12--06:53:48,NaN,9.9,9.1,7.3,0.9,-1.7
2019-01-12--06:57:24,NaN,9.9,9.1,7.3,0.9,-1.7
2019-01-12--07:01:00,NaN,9.9,9.2,7.4,1.0,-1.6
2019-01-12--07:04:36,NaN,9.9,9.2,7.4,1.0,-1.6
2019-01-12--07:08:12,NaN,9.9,9.2,7.4,1.0,-1.6
2019-01-12--07:11:48,NaN,9.9,9.2,7.4,1.0,-1.6
2019-01-12--07:15:24,NaN,10.0,9.2,7.4,1.0,-1.6
2019-01-12--07:19:00,NaN,10.0,9.2,7.4,1.0,-1.6
2019-01-12--07:22:36,NaN,10.0,9.2,7.4,1.0,-1.6
2019-01-12--07:26:12,NaN,10.0,9.2,7.4,1.0,-1.6
2019-01-12--07:29:48,NaN,10.0,9.2,7.4,1.0,-1.6
2019-01-12--07:33:24,NaN,10.0,9.3,7.5,1.1,-1.5
2019-01-12--07:37:00,NaN,10.0,9.3,7.5,1.1,-1.5
2019-01-12--07:40:36,NaN,10.0,9.3,7.5,1.1,-1.5
2019-01-12--07:44:12,NaN,10.0,9.3,7.5,1.1,-1.5
2019-01-12--07:47:48,NaN,10.1,9.4,7.5,1.1,-1.5
2019-01-12--07:51:24,NaN,10.1,9.4,7.5,1.1,-1.5
2019-01-12--07:55:00,NaN,10.1,9.4,7.5,1.1,-1.5
2019-01-12--07:58:36,NaN,10.1,9.4,7.5,1.1,-1.5
2019-01-12--08:02:12,NaN,10.1,9.4,7.6,1.2,-1.4
2019-01-12--08:05:48,NaN,10.1,9.4,7.6,1.2,-1.4
2019-01-12--08:09:24,NaN,10.1,9.4,7.6,1.2,-1.4
2019-01-12--08:13:00,NaN,10.1,9.4,7.6,1.2,-1.4
2019-01-12--08:16:36,NaN,10.2,9.5,7.7,1.3,-1.3
2019-01-12--08:20:12,NaN,10.2,9.5,7.7,1.3,-1.3
2019-01-12--08:23:48,NaN,10.2,9.5,7.7,1.3,-1.3
2019-01-12--08:27:24,NaN,10.2,9.5,7.7,1.3,-1.3
2019-01-12--08:31:00,NaN,10.2,9.5,7.7,1.3,-1.2
2019-01-12--08:34:36,NaN,10.2,9.5,7.7,1.3,-1.2
2019-01-12--08:38:12,NaN,10.2,9.5,7.7,1.3,-1.2
2019-01-12--08:41:48,NaN,10.2,9.5,7.7,1.3,-1.2
2019-01-12--08:45:24,NaN,10.3,9.6,7.8,1.4,-1.1
2019-01-12--08:49:00,NaN,10.3,9.6,7.8,1.4,-1.1
2019-01-12--08:52:36,NaN,10.3,9.6,7.8,1.4,-1.1
2019-01-12--08:56:12,NaN,10.3,9.6,7.8,1.4,-1.1
2019-01-12--08:59:48,NaN,10.3,9.6,7.8,1.4,-1.1
2019-01-12--09:03:24,NaN,10.3,9.6,7.8,1.4,-1.0
2019-01-12--09:07:00,NaN,10.3,9.6,7.8,1.4,-1.0
2019-01-12--09:10:36,NaN,10.3,9.6,7.8,1.4,-1.0
2019-01-12--09:14:12,NaN,10.3,9.6,7.8,1.4,-1.0
2019-01-12--09:17:48,NaN,10.4,9.7,7.9,1.5,-0.9
2019-01-12--09:21:24,NaN,10.4,9.7,7.9,1.5,-0.9
2019-01-12--09:25:00,NaN,10.4,9.7,7.9,1.5,-0.9
2019-01-12--09:28:36,NaN,10.4,9.7,7.9,1.5,-0.9
2019-01-12--09:32:12,NaN,10.4,9.7,7.9,1.6,-0.8
2019-01-12--09:35:48,NaN,10.4,9.7,7.9,1.6,-0.8
2019-01-12--09:39:24,NaN,10.4,9.7,7.9,1.6,-0.8
2019-01-12--09:43:00,NaN,10.4,9.7,7.9,1.6,-0.8
2019-01-12--09:46:36,NaN,10.5,9.8,8.0,1.6,-0.7
2019-01-12--09:50:12,NaN,10.5,9.8,8.0,1.6,-0.7
2019-01-12--09:53:48,NaN,10.5,9.8,8.0,1.6,-0.7
2019-01-12--09:57:24,NaN,10.5,9.8,8.0,1.6,-0.7
2019-01-12--10:01:00,NaN,10.5,9.8,8.1,1.7,-0.6
2019-01-12--10:04:36,NaN,10.5,9.8,8.1,1.7,-0.6
2019-01-12--10:08:12,NaN,10.5,9.8,8.1,1.7,-0.6
2019-01-12--10:11:48,NaN,10.5,9.8,8.1,1.7,-0.6
2019-01-12--10:15:24,NaN,10.6,9.9,8.1,1.8,-0.5
2019-01-12--10:19:00,NaN,10.6,9.9,8.1,1.8,-0.5
2019-01-12--10:22:36,NaN,10.6,9.9,8.1,1.8,-0.5
2019-01-12--10:26:12,NaN,10.6,9.9,8.1,1.8,-0.5
2019-01-12--10:29:48,NaN,10.6,9.9,8.1,1.8,-0.5
2019-01-12--10:33:24,NaN,10.7,9.9,8.1,1.8,-0.4
2019-01-12--10:37:00,NaN,10.7,9.9,8.1,1.8,-0.4
2019-01-12--10:40:36,NaN,10.7,9.9,8.1,1.8,-0.4
2019-01-12--10:44:12,NaN,10.7,9.9,8.1,1.8,-0.4
2019-01-12--10:47:48,NaN,10.7,10.0,8.2,1.9,-0.3
2019-01-12--10:51:24,NaN,10.7,10.0,8.2,1.9,-0.3
2019-01-12--10:55:00,NaN,10.7,10.0,8.2,1.9,-0.3
2019-01-12--10:58:36,NaN,10.7,10.0,8.2,1.9,-0.3
2019-01-12--11:02:12,NaN,10.8,10.0,8.3,2.0,-0.3
2019-01-12--11:05:48,NaN,10.8,10.0,8.3,2.0,-0.3
2019-01-12--11:09:24,NaN,10.8,10.0,8.3,2.0,-0.3
2019-01-12--11:13:00,NaN,10.8,10.0,8.3,2.0,-0.3
2019-01-12--11:16:36,NaN,10.8,10.1,8.3,2.0,-0.2
2019-01-12--11:20:12,NaN,10.8,10.1,8.3,2.0,-0.2
2019-01-12--11:23:48,NaN,10.8,10.1,8.3,2.0,-0.2
2019-01-12--11:27:24,NaN,10.8,10.1,8.3,2.0,-0.2
2019-01-12--11:31:00,NaN,10.8,10.1,8.4,2.1,-0.2
2019-01-12--11:34:36,NaN,10.8,10.1,8.4,2.1,-0.2
2019-01-12--11:38:12,NaN,10.8,10.1,8.4,2.1,-0.2
2019-01-12--11:41:48,NaN,10.8,10.1,8.4,2.1,-0.2
2019-01-12--11:45:24,NaN,10.9,10.2,8.4,2.2,-0.1
2019-01-12--11:49:00,NaN,10.9,10.2,8.4,2.2,-0.1
2019-01-12--11:52:36,NaN,10.9,10.2,8.4,2.2,-0.1
2019-01-12--11:56:12,NaN,10.9,10.2,8.4,2.2,-0.1
2019-01-12--11:59:48,NaN,10.9,10.2,8.4,2.2,-0.1
2019-01-12--12:03:24,NaN,10.9,10.2,8.5,2.2,-0.1
2019-01-12--12:07:00,NaN,10.9,10.2,8.5,2.2,-0.1
2019-01-12--12:10:36,NaN,10.9,10.2,8.5,2.2,-0.1
2019-01-12--12:14:12,NaN,10.9,10.2,8.5,2.2,-0.1
2019-01-12--12:17:48,NaN,11.0,10.3,8.5,2.3,0.0
2019-01-12--12:21:24,NaN,11.0,10.3,8.5,2.3,0.0
2019-01-12--12:25:00,NaN,11.0,10.3,8.5,2.3,0.0
2019-01-12--12:28:36,NaN,11.0,10.3,8.5,2.3,0.0
2019-01-12--12:32:12,NaN,11.0,10.3,8.6,2.4,0.0
2019-01-12--12:35:48,NaN,11.0,10.3,8.6,2.4,0.0
2019-01-12--12:39:24,NaN,11.0,10.3,8.6,2.4,0.0
2019-01-12--12:43:00,NaN,11.0,10.3,8.6,2.4,0.0
2019-01-12--12:46:36,NaN,11.0,10.3,8.6,2.4,0.1
2019-01-12--12:50:12,NaN,11.0,10.3,8.6,2.4,0.1
2019-01-12--12:53:48,NaN,11.0,10.3,8.6,2.4,0.1
2019-01-12--12:57:24,NaN,11.0,10.3,8.6,2.4,0.1
2019-01-12--13:01:00,NaN,11.1,10.4,8.7,2.5,0.1
2019-01-12--13:04:36,NaN,11.1,10.4,8.7,2.5,0.1
2019-01-12--13:08:12,NaN,11.1,10.4,8.7,2.5,0.1
2019-01-12--13:11:48,NaN,11.1,10.4,8.7,2.5,0.1
2019-01-12--13:15:24,NaN,11.1,10.4,8.7,2.6,0.1
2019-01-12--13:19:00,NaN,11.1,10.4,8.7,2.6,0.1
2019-01-12--13:22:36,NaN,11.1,10.4,8.7,2.6,0.1
2019-01-12--13:26:12,NaN,11.1,10.4,8.7,2.6,0.1
2019-01-12--13:29:48,NaN,11.1,10.4,8.7,2.6,0.1
2019-01-12--13:33:24,NaN,11.1,10.5,8.8,2.6,0.1
2019-01-12--13:37:00,NaN,11.1,10.5,8.8,2.6,0.1
2019-01-12--13:40:36,NaN,11.1,10.5,8.8,2.6,0.1
