x,649,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-12--00:53:48,NaN,33.6,35.2,34.7,59.5,83.3
2019-01-12--00:57:24,NaN,33.6,35.2,34.8,59.5,83.4
2019-01-12--01:01:00,NaN,33.6,35.2,34.8,59.5,83.4
2019-01-12--01:04:36,NaN,33.6,35.2,34.8,59.6,83.4
2019-01-12--01:08:12,NaN,33.6,35.2,34.8,59.6,83.4
2019-01-12--01:11:48,NaN,33.6,35.2,34.8,59.6,83.4
2019-01-12--01:15:24,NaN,33.7,35.2,34.9,59.7,83.5
2019-01-12--01:19:00,NaN,33.7,35.2,34.9,59.7,83.5
2019-01-12--01:22:36,NaN,33.7,35.2,34.9,59.7,83.5
2019-01-12--01:26:12,NaN,33.7,35.2,34.9,59.7,83.5
2019-01-12--01:29:48,NaN,33.7,35.2,34.9,59.7,83.5
2019-01-12--01:33:24,NaN,33.7,35.2,35.1,59.7,83.5
2019-01-12--01:37:00,NaN,33.7,35.2,35.1,59.7,83.5
2019-01-12--01:40:36,NaN,33.7,35.2,35.1,59.7,83.5
2019-01-12--01:44:12,NaN,33.7,35.2,35.1,59.7,83.5
2019-01-12--01:47:48,NaN,33.7,35.3,35.1,59.8,83.6
2019-01-12--01:51:24,NaN,33.7,35.3,35.1,59.8,83.6
2019-01-12--01:55:00,NaN,33.7,35.3,35.1,59.8,83.6
2019-01-12--01:58:36,NaN,33.7,35.3,35.1,59.8,83.6
2019-01-12--02:02:12,NaN,33.7,35.3,35.2,59.9,83.6
2019-01-12--02:05:48,NaN,33.7,35.3,35.2,59.9,83.6
2019-01-12--02:09:24,NaN,33.7,35.3,35.2,59.9,83.6
2019-01-12--02:13:00,NaN,33.7,35.3,35.2,59.9,83.6
2019-01-12--02:16:36,NaN,33.7,35.3,35.3,60.0,83.6
2019-01-12--02:20:12,NaN,33.7,35.3,35.3,60.0,83.6
2019-01-12--02:23:48,NaN,33.7,35.3,35.3,60.0,83.6
2019-01-12--02:27:24,NaN,33.7,35.3,35.3,60.0,83.6
2019-01-12--02:31:00,NaN,33.8,35.3,35.4,60.1,83.6
2019-01-12--02:34:36,NaN,33.8,35.3,35.4,60.1,83.6
2019-01-12--02:38:12,NaN,33.8,35.3,35.4,60.1,83.6
2019-01-12--02:41:48,NaN,33.8,35.3,35.4,60.1,83.6
2019-01-12--02:45:24,NaN,33.8,35.3,35.5,60.2,83.7
2019-01-12--02:49:00,NaN,33.8,35.3,35.5,60.2,83.7
2019-01-12--02:52:36,NaN,33.8,35.3,35.5,60.2,83.7
2019-01-12--02:56:12,NaN,33.8,35.3,35.5,60.2,83.7
2019-01-12--02:59:48,NaN,33.8,35.3,35.5,60.2,83.7
2019-01-12--03:03:24,NaN,33.8,35.4,35.6,60.3,83.6
2019-01-12--03:07:00,NaN,33.8,35.4,35.6,60.3,83.6
2019-01-12--03:10:36,NaN,33.8,35.4,35.6,60.3,83.6
2019-01-12--03:14:12,NaN,33.8,35.4,35.6,60.3,83.6
2019-01-12--03:17:48,NaN,33.9,35.4,35.6,60.4,83.6
2019-01-12--03:21:24,NaN,33.9,35.4,35.6,60.4,83.6
