x,113,117,121,125,129,133,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.5,-2.6,23.4,22.9,20.5,14.4,22.5,21.5,19.9,14.4,29.3,22.5,18.1,32.3,25.5,21.1,26.8,28.5,28.0,11.3,10.3
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.6,-2.4,23.4,22.9,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.2,25.5,21.1,26.8,28.5,28.2,11.3,10.3
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.6,-2.4,23.4,22.9,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.2,25.5,21.1,26.8,28.5,28.2,11.3,10.3
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.6,-2.2,23.4,22.9,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.5,18.1,32.1,25.4,21.1,26.9,28.5,28.2,11.3,10.3
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.6,-2.2,23.4,22.9,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.5,18.1,32.1,25.4,21.1,26.9,28.5,28.2,11.3,10.3
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.6,-2.2,23.4,22.9,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.5,18.1,32.1,25.4,21.1,26.9,28.5,28.2,11.3,10.3
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.7,-2.0,23.4,23.0,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.1,25.4,21.1,26.9,28.5,28.0,11.3,10.3
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.7,-2.0,23.4,23.0,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.1,25.4,21.1,26.9,28.5,28.0,11.3,10.3
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.7,-2.0,23.4,23.0,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.1,25.4,21.1,26.9,28.5,28.0,11.3,10.3
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,22.9,22.1,20.2,6.7,-2.0,23.4,23.0,20.6,14.5,22.5,21.5,19.9,14.5,29.3,22.4,18.1,32.1,25.4,21.1,26.9,28.5,28.0,11.3,10.3
