x,112,116,120,124,128,132,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.2,34.0,59.7,91.3,42.6,43.1,46.1,62.3,34.9,38.0,38.2,49.2,41.2,51.5,63.1,40.1,56.8,70.4,23.000000,25.000000,22.000000,53.7,81.7
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.1,34.0,59.8,91.3,42.6,43.1,46.1,62.3,34.9,38.0,38.2,49.2,41.2,51.5,63.1,40.2,56.8,70.3,24.000000,25.000000,23.000000,54.2,81.7
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.1,34.0,59.8,91.3,42.6,43.1,46.1,62.3,34.9,38.0,38.2,49.2,41.2,51.5,63.1,40.2,56.8,70.3,24.000000,25.000000,23.000000,54.2,81.7
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.1,34.0,59.8,91.4,42.6,43.1,46.1,62.3,35.0,38.1,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.1,34.0,59.8,91.4,42.6,43.1,46.1,62.3,35.0,38.1,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,35.9,36.1,34.0,59.8,91.4,42.6,43.1,46.1,62.3,35.0,38.1,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,35.8,36.0,34.0,59.9,91.4,42.6,43.0,46.2,62.3,35.0,38.2,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,35.8,36.0,34.0,59.9,91.4,42.6,43.0,46.2,62.3,35.0,38.2,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,35.8,36.0,34.0,59.9,91.4,42.6,43.0,46.2,62.3,35.0,38.2,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,35.8,36.0,34.0,59.9,91.4,42.6,43.0,46.2,62.3,35.0,38.2,38.3,49.2,41.2,51.5,63.1,40.2,56.8,70.3,25.000000,26.000000,23.000000,54.3,81.8
