x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.4,18.3,17.3,14.9,10.1,4.8,29.0,24.3,20.6,26.7,21.3,17.7,26.0,18.5,9.8,22.7,25.8,24.1,24.3,23.3,8.0,10.9,13.8
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.3,17.3,14.9,10.1,4.9,29.0,24.4,20.6,26.7,21.3,17.7,26.0,18.5,9.9,22.7,25.8,24.1,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.3,17.3,14.9,10.1,4.9,29.0,24.4,20.6,26.7,21.3,17.7,26.0,18.5,9.9,22.7,25.8,24.1,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,14.9,10.1,4.9,29.0,24.4,20.7,26.7,21.3,17.7,26.0,18.5,9.9,22.7,25.8,24.1,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,14.9,10.1,4.9,29.0,24.4,20.7,26.7,21.3,17.7,26.0,18.5,9.9,22.7,25.8,24.1,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,14.9,10.1,4.9,29.0,24.4,20.7,26.7,21.3,17.7,26.0,18.5,9.9,22.7,25.8,24.1,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.7,26.1,18.5,9.9,22.7,25.8,24.2,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.7,26.1,18.5,9.9,22.7,25.8,24.2,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.7,26.1,18.5,9.9,22.7,25.8,24.2,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.7,26.1,18.5,9.9,22.7,25.8,24.2,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.5,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.7,26.1,18.5,9.9,22.7,25.8,24.2,24.3,23.3,7.9,10.9,13.8
2019-01-12--01:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.3,8.0,10.9,13.8
2019-01-12--01:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.3,8.0,10.9,13.8
2019-01-12--01:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.3,8.0,10.9,13.8
2019-01-12--01:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.0,10.2,5.0,29.0,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.3,8.0,10.9,13.8
2019-01-12--01:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.6,18.4,17.3,15.1,10.2,5.1,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.5,10.0,22.7,25.9,24.2,24.4,23.4,8.1,10.9,13.8
