x,216,220,224,228,232,236,240,244,248,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.1,53.9,30.4,33.0,43.7,33.4,45.1,53.7,27.9,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,41.7,100.0,36.5
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.1,54.0,30.3,32.9,43.7,33.4,45.0,53.7,27.9,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,42.5,100.0,36.4
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.1,54.0,30.3,32.9,43.7,33.4,45.0,53.7,27.9,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,42.5,100.0,36.4
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.2,54.0,30.3,32.8,43.7,33.4,45.1,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,43.0,100.0,36.3
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.2,54.0,30.3,32.8,43.7,33.4,45.1,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,43.0,100.0,36.3
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.4,30.9,41.2,54.0,30.3,32.8,43.7,33.4,45.1,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,43.0,100.0,36.3
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.5,30.9,41.2,54.0,30.2,32.7,43.7,33.4,45.0,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,43.0,100.0,36.3
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.5,30.9,41.2,54.0,30.2,32.7,43.7,33.4,45.0,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,44.1,100.0,36.2
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.5,30.9,41.2,54.0,30.2,32.7,43.7,33.4,45.0,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,44.1,100.0,36.2
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.8,40.3,54.0,25.0,27.5,30.9,41.2,54.0,30.2,32.7,43.7,33.4,45.0,53.7,27.8,38.3,55.4,26.000000,28.000000,22.000000,26.000000,23.000000,44.1,100.0,36.2
