x,667,669,671,673,675,677,679,APAR_314.14,APAR_315.15,APAR_316.16,APAR_317.17,APAR_318.18,APAR_319.19,APAR_320.20,APAR_321.21,APAR_322.22,APAR_323.23,APAR_324.24,APAR_325.25,APAR_326.26
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.2,8.6,-2.4,19.1,17.9,16.7,12.3,23.8,23.1,21.8,16.9
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.2,8.6,-2.2,19.1,17.9,16.7,12.3,23.8,23.1,21.8,16.9
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.2,8.6,-2.2,19.1,17.9,16.7,12.3,23.8,23.1,21.8,16.9
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-2.0,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-2.0,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-2.0,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-1.8,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-1.8,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-1.8,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5,18.3,17.3,8.7,-1.8,19.1,17.9,16.7,12.4,23.8,23.1,21.8,17.0
