x,666,668,670,672,674,676,678,APAR_314.14,APAR_315.15,APAR_316.16,APAR_317.17,APAR_318.18,APAR_319.19,APAR_320.20,APAR_321.21,APAR_322.22,APAR_323.23,APAR_324.24,APAR_325.25,APAR_326.26
2019-01-12--00:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.6,25.1,41.5,87.0,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--00:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.6,25.2,41.6,87.0,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.6,25.2,41.6,87.0,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.7,25.2,41.7,87.0,37.5,40.0,42.5,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.7,25.2,41.7,87.0,37.5,40.0,42.5,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6,25.7,25.2,41.7,87.0,37.5,40.0,42.5,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.3,41.8,87.1,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.3,41.8,87.1,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.3,41.8,87.1,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.3,41.8,87.1,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.3,41.8,87.1,37.6,40.0,42.5,54.1,26.7,27.8,33.3,43.8
2019-01-12--01:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.6,25.3,41.9,87.1,37.5,40.0,42.6,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.6,25.3,41.9,87.1,37.5,40.0,42.6,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.6,25.3,41.9,87.1,37.5,40.0,42.6,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.6,25.3,41.9,87.1,37.5,40.0,42.6,54.1,26.7,27.8,33.3,43.7
2019-01-12--01:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.4,42.1,87.1,37.6,40.0,42.6,54.1,26.8,27.8,33.3,43.7
2019-01-12--01:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.4,42.1,87.1,37.6,40.0,42.6,54.1,26.8,27.8,33.3,43.7
2019-01-12--01:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.4,42.1,87.1,37.6,40.0,42.6,54.1,26.8,27.8,33.3,43.7
2019-01-12--01:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.4,42.1,87.1,37.6,40.0,42.6,54.1,26.8,27.8,33.3,43.7
2019-01-12--02:02:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.5,42.2,87.1,37.6,40.0,42.6,54.1,26.7,27.8,33.3,43.8
2019-01-12--02:05:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.5,42.2,87.1,37.6,40.0,42.6,54.1,26.7,27.8,33.3,43.8
2019-01-12--02:09:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7,25.7,25.5,42.2,87.1,37.6,40.0,42.6,54.1,26.7,27.8,33.3,43.8
