x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-12--00:53:48,20.0,19.6,17.2,10.8,6.4,19.3,18.6,16.8,10.6,3.6,18.6,17.9,16.5,3.8,-3.3,23.1,27.0,23.4,22.6,24.1
2019-01-12--00:57:24,20.0,19.6,17.2,10.8,6.5,19.3,18.6,16.8,10.7,3.7,18.6,18.0,16.5,3.9,-3.1,23.1,27.0,23.4,22.6,24.1
2019-01-12--01:01:00,20.0,19.6,17.2,10.8,6.5,19.3,18.6,16.8,10.7,3.7,18.6,18.0,16.5,3.9,-3.1,23.1,27.0,23.4,22.6,24.1
2019-01-12--01:04:36,20.0,19.6,17.2,10.8,6.5,19.3,18.6,16.8,10.7,3.7,18.6,18.0,16.5,4.0,-2.8,23.1,27.0,23.4,22.6,24.1
2019-01-12--01:08:12,20.0,19.6,17.2,10.8,6.5,19.3,18.6,16.8,10.7,3.7,18.6,18.0,16.5,4.0,-2.8,23.1,27.0,23.4,22.6,24.1
2019-01-12--01:11:48,20.0,19.6,17.2,10.8,6.5,19.3,18.6,16.8,10.7,3.7,18.6,18.0,16.5,4.0,-2.8,23.1,27.0,23.4,22.6,24.1
2019-01-12--01:15:24,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.7,3.8,18.6,18.0,16.5,4.1,-2.5,23.1,27.1,23.4,22.7,24.1
2019-01-12--01:19:00,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.7,3.8,18.6,18.0,16.5,4.1,-2.5,23.1,27.1,23.4,22.7,24.1
2019-01-12--01:22:36,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.7,3.8,18.6,18.0,16.5,4.1,-2.5,23.1,27.1,23.4,22.7,24.1
2019-01-12--01:26:12,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.7,3.8,18.6,18.0,16.5,4.1,-2.5,23.1,27.1,23.4,22.7,24.1
2019-01-12--01:29:48,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.7,3.8,18.6,18.0,16.5,4.1,-2.5,23.1,27.1,23.4,22.7,24.1
2019-01-12--01:33:24,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.2,-2.2,23.1,27.2,23.5,22.7,24.2
2019-01-12--01:37:00,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.2,-2.2,23.1,27.2,23.5,22.7,24.2
2019-01-12--01:40:36,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.2,-2.2,23.1,27.2,23.5,22.7,24.2
2019-01-12--01:44:12,20.0,19.6,17.2,10.9,6.6,19.3,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.2,-2.2,23.1,27.2,23.5,22.7,24.2
2019-01-12--01:47:48,20.0,19.6,17.2,10.9,6.7,19.4,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.3,-2.0,23.2,27.1,23.4,22.7,24.2
2019-01-12--01:51:24,20.0,19.6,17.2,10.9,6.7,19.4,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.3,-2.0,23.2,27.1,23.4,22.7,24.2
2019-01-12--01:55:00,20.0,19.6,17.2,10.9,6.7,19.4,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.3,-2.0,23.2,27.1,23.4,22.7,24.2
2019-01-12--01:58:36,20.0,19.6,17.2,10.9,6.7,19.4,18.7,16.9,10.8,3.9,18.6,18.0,16.6,4.3,-2.0,23.2,27.1,23.4,22.7,24.2
2019-01-12--02:02:12,20.0,19.7,17.3,11.0,6.7,19.4,18.7,16.9,10.9,4.0,18.6,18.0,16.6,4.3,-1.8,23.2,27.0,23.5,22.7,24.2
2019-01-12--02:05:48,20.0,19.7,17.3,11.0,6.7,19.4,18.7,16.9,10.9,4.0,18.6,18.0,16.6,4.3,-1.8,23.2,27.0,23.5,22.7,24.2
2019-01-12--02:09:24,20.0,19.7,17.3,11.0,6.7,19.4,18.7,16.9,10.9,4.0,18.6,18.0,16.6,4.3,-1.8,23.2,27.0,23.5,22.7,24.2
2019-01-12--02:13:00,20.0,19.7,17.3,11.0,6.7,19.4,18.7,16.9,10.9,4.0,18.6,18.0,16.6,4.3,-1.8,23.2,27.0,23.5,22.7,24.2
2019-01-12--02:16:36,20.1,19.7,17.3,11.0,6.8,19.4,18.7,17.0,10.9,4.1,18.6,18.0,16.6,4.5,-1.5,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:20:12,20.1,19.7,17.3,11.0,6.8,19.4,18.7,17.0,10.9,4.1,18.6,18.0,16.6,4.5,-1.5,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:23:48,20.1,19.7,17.3,11.0,6.8,19.4,18.7,17.0,10.9,4.1,18.6,18.0,16.6,4.5,-1.5,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:27:24,20.1,19.7,17.3,11.0,6.8,19.4,18.7,17.0,10.9,4.1,18.6,18.0,16.6,4.5,-1.5,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:31:00,20.1,19.7,17.3,11.0,6.8,19.4,18.8,17.0,10.9,4.2,18.6,18.0,16.6,4.6,-1.3,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:34:36,20.1,19.7,17.3,11.0,6.8,19.4,18.8,17.0,10.9,4.2,18.6,18.0,16.6,4.6,-1.3,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:38:12,20.1,19.7,17.3,11.0,6.8,19.4,18.8,17.0,10.9,4.2,18.6,18.0,16.6,4.6,-1.3,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:41:48,20.1,19.7,17.3,11.0,6.8,19.4,18.8,17.0,10.9,4.2,18.6,18.0,16.6,4.6,-1.3,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:45:24,20.1,19.7,17.3,11.1,6.9,19.4,18.8,17.0,11.0,4.2,18.7,18.0,16.7,4.7,-1.2,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:49:00,20.1,19.7,17.3,11.1,6.9,19.4,18.8,17.0,11.0,4.2,18.7,18.0,16.7,4.7,-1.2,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:52:36,20.1,19.7,17.3,11.1,6.9,19.4,18.8,17.0,11.0,4.2,18.7,18.0,16.7,4.7,-1.2,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:56:12,20.1,19.7,17.3,11.1,6.9,19.4,18.8,17.0,11.0,4.2,18.7,18.0,16.7,4.7,-1.2,23.1,27.0,23.4,22.7,24.1
2019-01-12--02:59:48,20.1,19.7,17.3,11.1,6.9,19.4,18.8,17.0,11.0,4.2,18.7,18.0,16.7,4.7,-1.2,23.1,27.0,23.4,22.7,24.1
2019-01-12--03:03:24,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.0,4.3,18.7,18.0,16.7,4.8,-1.0,23.1,26.9,23.4,22.7,24.1
2019-01-12--03:07:00,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.0,4.3,18.7,18.0,16.7,4.8,-1.0,23.1,26.9,23.4,22.7,24.1
2019-01-12--03:10:36,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.0,4.3,18.7,18.0,16.7,4.8,-1.0,23.1,26.9,23.4,22.7,24.1
2019-01-12--03:14:12,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.0,4.3,18.7,18.0,16.7,4.8,-1.0,23.1,26.9,23.4,22.7,24.1
2019-01-12--03:17:48,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.1,4.4,18.7,18.1,16.7,4.9,-0.9,23.1,27.0,23.4,22.7,24.1
2019-01-12--03:21:24,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.1,4.4,18.7,18.1,16.7,4.9,-0.9,23.1,27.0,23.4,22.7,24.1
2019-01-12--03:25:00,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.1,4.4,18.7,18.1,16.7,4.9,-0.9,23.1,27.0,23.4,22.7,24.1
2019-01-12--03:28:36,20.1,19.7,17.3,11.1,7.0,19.4,18.8,17.0,11.1,4.4,18.7,18.1,16.7,4.9,-0.9,23.1,27.0,23.4,22.7,24.1
2019-01-12--03:32:12,20.1,19.7,17.3,11.2,7.1,19.4,18.8,17.0,11.1,4.5,18.7,18.1,16.7,5.0,-0.8,23.1,27.1,23.4,22.7,24.1
2019-01-12--03:35:48,20.1,19.7,17.3,11.2,7.1,19.4,18.8,17.0,11.1,4.5,18.7,18.1,16.7,5.0,-0.8,23.1,27.1,23.4,22.7,24.1
2019-01-12--03:39:24,20.1,19.7,17.3,11.2,7.1,19.4,18.8,17.0,11.1,4.5,18.7,18.1,16.7,5.0,-0.8,23.1,27.1,23.4,22.7,24.1
2019-01-12--03:43:00,20.1,19.7,17.3,11.2,7.1,19.4,18.8,17.0,11.1,4.5,18.7,18.1,16.7,5.0,-0.8,23.1,27.1,23.4,22.7,24.1
2019-01-12--03:46:36,20.1,19.7,17.4,11.2,7.1,19.4,18.8,17.0,11.1,4.6,18.7,18.1,16.7,5.1,-0.7,23.1,27.1,23.5,22.7,24.1
2019-01-12--03:50:12,20.1,19.7,17.4,11.2,7.1,19.4,18.8,17.0,11.1,4.6,18.7,18.1,16.7,5.1,-0.7,23.1,27.1,23.5,22.7,24.1
2019-01-12--03:53:48,20.1,19.7,17.4,11.2,7.1,19.4,18.8,17.0,11.1,4.6,18.7,18.1,16.7,5.1,-0.7,23.1,27.1,23.5,22.7,24.1
2019-01-12--03:57:24,20.1,19.7,17.4,11.2,7.1,19.4,18.8,17.0,11.1,4.6,18.7,18.1,16.7,5.1,-0.7,23.1,27.1,23.5,22.7,24.1
2019-01-12--04:01:00,20.1,19.7,17.4,11.2,7.2,19.4,18.8,17.1,11.2,4.6,18.7,18.1,16.8,5.2,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:04:36,20.1,19.7,17.4,11.2,7.2,19.4,18.8,17.1,11.2,4.6,18.7,18.1,16.8,5.2,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:08:12,20.1,19.7,17.4,11.2,7.2,19.4,18.8,17.1,11.2,4.6,18.7,18.1,16.8,5.2,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:11:48,20.1,19.7,17.4,11.2,7.2,19.4,18.8,17.1,11.2,4.6,18.7,18.1,16.8,5.2,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:15:24,20.1,19.7,17.4,11.3,7.3,19.4,18.8,17.1,11.2,4.7,18.7,18.1,16.8,5.3,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:19:00,20.1,19.7,17.4,11.3,7.3,19.4,18.8,17.1,11.2,4.7,18.7,18.1,16.8,5.3,-0.6,23.2,27.2,23.5,22.7,24.2
2019-01-12--04:22:36,20.1,19.7,17.4,11.3,7.3,19.4,18.8,17.1,11.2,4.7,18.7,18.1,16.8,5.3,-0.6,23.2,27.2,23.5,22.7,24.2
