x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-12--00:53:48,20.1,19.9,12.5,6.2,0.9,19.6,19.4,16.9,14.1,21.4,21.1,18.0,14.9,26.0,24.3,26.0
2019-01-12--00:57:24,20.1,19.9,12.6,6.2,1.0,19.7,19.4,16.9,14.1,21.4,21.1,18.1,14.9,26.0,24.3,26.0
2019-01-12--01:01:00,20.1,19.9,12.6,6.2,1.0,19.7,19.4,16.9,14.1,21.4,21.1,18.1,14.9,26.0,24.3,26.0
2019-01-12--01:04:36,20.1,20.0,12.6,6.3,1.2,19.7,19.4,16.9,14.1,21.4,21.1,18.1,14.9,26.0,24.3,26.0
2019-01-12--01:08:12,20.1,20.0,12.6,6.3,1.2,19.7,19.4,16.9,14.1,21.4,21.1,18.1,14.9,26.0,24.3,26.0
2019-01-12--01:11:48,20.1,20.0,12.6,6.3,1.2,19.7,19.4,16.9,14.1,21.4,21.1,18.1,14.9,26.0,24.3,26.0
2019-01-12--01:15:24,20.2,20.0,12.6,6.4,1.3,19.7,19.4,17.0,14.1,21.5,21.1,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:19:00,20.2,20.0,12.6,6.4,1.3,19.7,19.4,17.0,14.1,21.5,21.1,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:22:36,20.2,20.0,12.6,6.4,1.3,19.7,19.4,17.0,14.1,21.5,21.1,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:26:12,20.2,20.0,12.6,6.4,1.3,19.7,19.4,17.0,14.1,21.5,21.1,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:29:48,20.2,20.0,12.6,6.4,1.3,19.7,19.4,17.0,14.1,21.5,21.1,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:33:24,20.2,20.0,12.6,6.5,1.4,19.7,19.4,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:37:00,20.2,20.0,12.6,6.5,1.4,19.7,19.4,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:40:36,20.2,20.0,12.6,6.5,1.4,19.7,19.4,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:44:12,20.2,20.0,12.6,6.5,1.4,19.7,19.4,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:47:48,20.2,20.0,12.7,6.5,1.6,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:51:24,20.2,20.0,12.7,6.5,1.6,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:55:00,20.2,20.0,12.7,6.5,1.6,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--01:58:36,20.2,20.0,12.7,6.5,1.6,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.3,26.0
2019-01-12--02:02:12,20.2,20.0,12.7,6.6,1.7,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.4,26.1
2019-01-12--02:05:48,20.2,20.0,12.7,6.6,1.7,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.4,26.1
2019-01-12--02:09:24,20.2,20.0,12.7,6.6,1.7,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.4,26.1
2019-01-12--02:13:00,20.2,20.0,12.7,6.6,1.7,19.7,19.5,17.0,14.2,21.5,21.2,18.1,15.0,26.0,24.4,26.1
