x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-12--00:53:48,26.0,25.8,33.0,49.5,70.3,40.9,41.9,40.1,47.2,24.3,25.4,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--00:57:24,26.0,25.8,33.1,49.6,70.4,40.9,41.9,40.1,47.2,24.3,25.3,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:01:00,26.0,25.8,33.1,49.6,70.4,40.9,41.9,40.1,47.2,24.3,25.3,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:04:36,26.0,25.8,33.2,49.7,70.5,40.9,41.9,40.2,47.2,24.3,25.3,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:08:12,26.0,25.8,33.2,49.7,70.5,40.9,41.9,40.2,47.2,24.3,25.3,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:11:48,26.0,25.8,33.2,49.7,70.5,40.9,41.9,40.2,47.2,24.3,25.3,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:15:24,26.1,25.8,33.3,49.8,70.6,40.9,41.9,40.2,47.2,24.2,25.2,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:19:00,26.1,25.8,33.3,49.8,70.6,40.9,41.9,40.2,47.2,24.2,25.2,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:22:36,26.1,25.8,33.3,49.8,70.6,40.9,41.9,40.2,47.2,24.2,25.2,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:26:12,26.1,25.8,33.3,49.8,70.6,40.9,41.9,40.2,47.2,24.2,25.2,33.0,39.1,23.000000,24.000000,21.000000
2019-01-12--01:29:48,26.1,25.8,33.3,49.8,70.6,40.9,41.9,40.2,47.2,24.2,25.2,33.0,39.1,23.000000,24.000000,21.000000
