x,APAR_611.11,APAR_612.12,APAR_613.13,APAR_614.14,APAR_615.15,APAR_616.16,APAR_617.17,APAR_618.18,APAR_619.19,APAR_620.20,APAR_621.21,APAR_622.22,APAR_623.23,APAR_624.24,APAR_625.25,FIF_602.2,FIF_603.3,FIF_604.4,FIF_605.5,FIF_606.6
2019-01-12--00:53:48,21.2,21.9,24.7,34.5,48.9,24.8,25.7,32.5,39.0,47.4,19.6,19.9,20.0,45.8,75.3,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--00:57:24,21.2,21.8,24.7,34.5,48.9,24.8,25.7,32.5,39.0,47.4,19.5,19.8,20.2,45.9,75.2,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--01:01:00,21.2,21.8,24.7,34.5,48.9,24.8,25.7,32.5,39.0,47.4,19.5,19.8,20.2,45.9,75.2,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--01:04:36,21.2,21.8,24.7,34.5,48.9,24.9,25.7,32.5,39.0,47.4,19.3,19.7,20.4,45.9,75.1,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--01:08:12,21.2,21.8,24.7,34.5,48.9,24.9,25.7,32.5,39.0,47.4,19.3,19.7,20.4,45.9,75.1,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--01:11:48,21.2,21.8,24.7,34.5,48.9,24.9,25.7,32.5,39.0,47.4,19.3,19.7,20.4,45.9,75.1,21.000000,26.000000,24.000000,30.000000,21.000000
2019-01-12--01:15:24,21.1,21.7,24.7,34.6,48.9,24.9,25.7,32.5,39.1,47.4,19.3,19.7,20.7,46.0,75.1,21.000000,26.000000,25.000000,30.000000,21.000000
2019-01-12--01:19:00,21.1,21.7,24.7,34.6,48.9,24.9,25.7,32.5,39.1,47.4,19.3,19.7,20.7,46.0,75.1,21.000000,26.000000,25.000000,30.000000,21.000000
2019-01-12--01:22:36,21.1,21.7,24.7,34.6,48.9,24.9,25.7,32.5,39.1,47.4,19.3,19.7,20.7,46.0,75.1,21.000000,26.000000,25.000000,30.000000,21.000000
2019-01-12--01:26:12,21.1,21.7,24.7,34.6,48.9,24.9,25.7,32.5,39.1,47.4,19.3,19.7,20.7,46.0,75.1,21.000000,26.000000,25.000000,30.000000,21.000000
2019-01-12--01:29:48,21.1,21.7,24.7,34.6,48.9,24.9,25.7,32.5,39.1,47.4,19.3,19.7,20.7,46.0,75.1,21.000000,26.000000,25.000000,30.000000,21.000000
2019-01-12--01:33:24,21.0,21.6,24.7,34.6,48.9,24.9,25.8,32.5,39.1,47.4,19.2,19.6,20.9,46.1,75.0,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:37:00,21.0,21.6,24.7,34.6,48.9,24.9,25.8,32.5,39.1,47.4,19.2,19.6,20.9,46.1,75.0,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:40:36,21.0,21.6,24.7,34.6,48.9,24.9,25.8,32.5,39.1,47.4,19.2,19.6,20.9,46.1,75.0,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:44:12,21.0,21.6,24.7,34.6,48.9,24.9,25.8,32.5,39.1,47.4,19.2,19.6,20.9,46.1,75.0,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:47:48,21.1,21.6,24.7,34.6,48.9,25.0,25.8,32.5,39.1,47.4,19.3,19.7,21.1,46.3,74.9,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:51:24,21.1,21.6,24.7,34.6,48.9,25.0,25.8,32.5,39.1,47.4,19.3,19.7,21.1,46.3,74.9,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:55:00,21.1,21.6,24.7,34.6,48.9,25.0,25.8,32.5,39.1,47.4,19.3,19.7,21.1,46.3,74.9,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--01:58:36,21.1,21.6,24.7,34.6,48.9,25.0,25.8,32.5,39.1,47.4,19.3,19.7,21.1,46.3,74.9,21.000000,25.000000,25.000000,30.000000,21.000000
2019-01-12--02:02:12,21.1,21.6,24.8,34.6,48.9,25.0,25.8,32.6,39.1,47.3,19.3,19.8,21.3,46.4,74.8,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:05:48,21.1,21.6,24.8,34.6,48.9,25.0,25.8,32.6,39.1,47.3,19.3,19.8,21.3,46.4,74.8,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:09:24,21.1,21.6,24.8,34.6,48.9,25.0,25.8,32.6,39.1,47.3,19.3,19.8,21.3,46.4,74.8,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:13:00,21.1,21.6,24.8,34.6,48.9,25.0,25.8,32.6,39.1,47.3,19.3,19.8,21.3,46.4,74.8,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:16:36,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.8,21.5,46.5,74.7,22.000000,25.000000,25.000000,30.000000,22.000000
2019-01-12--02:20:12,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.8,21.5,46.5,74.7,22.000000,25.000000,25.000000,30.000000,22.000000
2019-01-12--02:23:48,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.8,21.5,46.5,74.7,22.000000,25.000000,25.000000,30.000000,22.000000
2019-01-12--02:27:24,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.8,21.5,46.5,74.7,22.000000,25.000000,25.000000,30.000000,22.000000
2019-01-12--02:31:00,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.9,21.7,46.7,74.7,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:34:36,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.9,21.7,46.7,74.7,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:38:12,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.9,21.7,46.7,74.7,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:41:48,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.9,21.7,46.7,74.7,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:45:24,21.0,21.6,24.8,34.6,48.9,25.0,25.9,32.6,39.1,47.3,19.3,19.9,21.7,46.7,74.7,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:49:00,21.0,21.6,24.8,34.6,48.9,25.1,25.9,32.6,39.1,47.3,19.4,20.0,21.9,46.8,74.6,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:52:36,21.0,21.6,24.8,34.6,48.9,25.1,25.9,32.6,39.1,47.3,19.4,20.0,21.9,46.8,74.6,22.000000,26.000000,25.000000,30.000000,22.000000
2019-01-12--02:56:12,21.0,21.6,24.8,34.6,48.9,25.1,25.9,32.6,39.1,47.3,19.4,20.0,21.9,46.8,74.6,22.000000,26.000000,25.000000,30.000000,22.000000
