x,APAR_715.15,APAR_716.16,APAR_717.17,APAR_718.18,APAR_719.19,APAR_720.20,APAR_721.21,APAR_722.22,APAR_723.23,APAR_724.24,APAR_725.25,APAR_726.26,APAR_727.27,APAR_728.28,APAR_729.29,APAR_730.30,APAR_731.31,APAR_732.32,APAR_733.1,APAR_734.2,APAR_735.3,APAR_736.4,APAR_737.5,APAR_738.6,APAR_739.7,APAR_740.8,APAR_741.9,APAR_742.10,APAR_743.11,APAR_744.12,APAR_745.13,APAR_746.14,APAR_747.15,APAR_748.16,APAR_749.17,APAR_750.18,APAR_751.19,APAR_752.20,APAR_753.21,APAR_754.22,APAR_755.23,APAR_756.24,APAR_757.25,FIF_703.3,FIF_704.4,FIF_705.5,FIF_706.6,FIF_707.7,FIF_708.8,FIF_709.9,FIF_710.10
2019-01-12--00:53:48,37.5,37.2,37.9,52.9,77.2,38.0,36.7,34.2,55.1,79.8,49.6,50.3,51.6,63.9,33.5,35.9,39.5,49.3,34.5,35.4,34.0,43.5,53.4,38.4,40.8,35.6,47.6,64.2,61.6,46.6,35.3,32.2,68.4,48.4,36.5,23.5,55.4,36.9,29.5,22.9,86.8,59.8,89.9,27.000000,33.000000,25.000000,36.000000,29.000000,30.000000,29.000000,28.000000
2019-01-12--00:57:24,37.5,37.1,37.9,53.2,77.3,38.0,36.6,34.3,55.2,79.9,49.7,50.3,51.6,63.9,33.4,35.7,39.5,49.3,34.5,35.5,34.0,43.5,53.4,38.5,40.9,35.6,47.6,64.2,61.7,46.7,35.3,32.2,68.4,48.4,36.5,23.5,55.4,37.1,29.5,22.9,87.5,59.7,90.2,27.000000,33.000000,25.000000,36.000000,28.000000,30.000000,29.000000,28.000000
2019-01-12--01:01:00,37.5,37.1,37.9,53.2,77.3,38.0,36.6,34.3,55.2,79.9,49.7,50.3,51.6,63.9,33.4,35.7,39.5,49.3,34.5,35.5,34.0,43.5,53.4,38.5,40.9,35.6,47.6,64.2,61.7,46.7,35.3,32.2,68.4,48.4,36.5,23.5,55.4,37.1,29.5,22.9,87.5,59.7,90.2,27.000000,33.000000,25.000000,36.000000,28.000000,30.000000,29.000000,28.000000
2019-01-12--01:04:36,37.2,37.0,37.9,53.5,77.4,37.9,36.6,34.3,55.4,80.0,49.7,50.3,51.6,63.9,33.3,35.5,39.5,49.3,34.5,35.5,34.0,43.5,53.4,38.7,41.0,35.6,47.7,64.2,61.7,46.8,35.4,32.3,68.4,48.4,36.5,23.7,55.5,37.3,29.5,23.1,88.3,59.5,90.3,27.000000,32.000000,25.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:08:12,37.2,37.0,37.9,53.5,77.4,37.9,36.6,34.3,55.4,80.0,49.7,50.3,51.6,63.9,33.3,35.5,39.5,49.3,34.5,35.5,34.0,43.5,53.4,38.7,41.0,35.6,47.7,64.2,61.7,46.8,35.4,32.3,68.4,48.4,36.5,23.7,55.5,37.3,29.5,23.1,88.3,59.5,90.3,27.000000,32.000000,25.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:11:48,37.2,37.0,37.9,53.5,77.4,37.9,36.6,34.3,55.4,80.0,49.7,50.3,51.6,63.9,33.3,35.5,39.5,49.3,34.5,35.5,34.0,43.5,53.4,38.7,41.0,35.6,47.7,64.2,61.7,46.8,35.4,32.3,68.4,48.4,36.5,23.7,55.5,37.3,29.5,23.1,88.3,59.5,90.3,27.000000,32.000000,25.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:15:24,36.6,36.6,37.8,53.8,77.5,38.0,36.5,34.4,55.5,80.0,49.7,50.3,51.6,64.0,33.2,35.4,39.5,49.3,34.6,35.5,34.0,43.5,53.4,38.9,41.2,35.6,47.7,64.2,61.8,46.8,35.3,32.3,68.4,48.4,36.5,23.7,55.6,37.4,29.5,23.3,89.5,59.7,90.8,27.000000,31.000000,26.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:19:00,36.6,36.6,37.8,53.8,77.5,38.0,36.5,34.4,55.5,80.0,49.7,50.3,51.6,64.0,33.2,35.4,39.5,49.3,34.6,35.5,34.0,43.5,53.4,38.9,41.2,35.6,47.7,64.2,61.8,46.8,35.3,32.3,68.4,48.4,36.5,23.7,55.6,37.4,29.5,23.3,89.5,59.7,90.8,27.000000,31.000000,26.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:22:36,36.6,36.6,37.8,53.8,77.5,38.0,36.5,34.4,55.5,80.0,49.7,50.3,51.6,64.0,33.2,35.4,39.5,49.3,34.6,35.5,34.0,43.5,53.4,38.9,41.2,35.6,47.7,64.2,61.8,46.8,35.3,32.3,68.4,48.4,36.5,23.7,55.6,37.4,29.5,23.3,89.5,59.7,90.8,27.000000,31.000000,26.000000,36.000000,28.000000,30.000000,30.000000,28.000000
2019-01-12--01:26:12,36.6,36.6,37.8,53.8,77.5,38.0,36.5,34.4,55.5,80.0,49.7,50.3,51.6,64.0,33.2,35.4,39.5,49.3,34.6,35.5,34.0,43.5,53.4,38.9,41.2,35.6,47.7,64.2,61.8,46.8,35.3,32.3,68.4,48.4,36.5,23.7,55.6,37.4,29.5,23.3,89.5,59.7,90.8,27.000000,31.000000,26.000000,36.000000,28.000000,30.000000,30.000000,28.000000
