x,MBUSBmeters
2019-01-10--00:52:48,0.123
2019-01-10--00:56:24,0.123
2019-01-10--01:00:00,0.123
2019-01-10--01:03:36,0.123
2019-01-10--01:07:12,0.123
2019-01-10--01:10:48,0.123
2019-01-10--01:14:24,0.123
2019-01-10--01:18:00,0.123
2019-01-10--01:21:36,0.123
2019-01-10--01:25:12,0.123
2019-01-10--01:28:48,0.123
2019-01-10--01:32:24,0.123
2019-01-10--01:36:00,0.123
2019-01-10--01:39:36,0.123
2019-01-10--01:43:12,0.123
2019-01-10--01:46:48,0.123
2019-01-10--01:50:24,0.123
2019-01-10--01:54:00,0.123
2019-01-10--01:57:36,0.123
2019-01-10--02:01:12,0.123
2019-01-10--02:04:48,0.123
2019-01-10--02:08:24,0.123
2019-01-10--02:12:00,0.123
2019-01-10--02:15:36,0.123
2019-01-10--02:19:12,0.123
2019-01-10--02:22:48,0.123
2019-01-10--02:26:24,0.123
2019-01-10--02:30:00,0.123
2019-01-10--02:33:36,0.123
2019-01-10--02:37:12,0.123
2019-01-10--02:40:48,0.123
2019-01-10--02:44:24,0.123
2019-01-10--02:48:00,0.123
2019-01-10--02:51:36,0.123
2019-01-10--02:55:12,0.123
2019-01-10--02:58:48,0.123
2019-01-10--03:02:24,0.123
2019-01-10--03:06:00,0.123
2019-01-10--03:09:36,0.123
2019-01-10--03:13:12,0.123
2019-01-10--03:16:48,0.123
2019-01-10--03:20:24,0.123
2019-01-10--03:24:00,0.123
2019-01-10--03:27:36,0.123
2019-01-10--03:31:12,0.123
2019-01-10--03:34:48,0.123
2019-01-10--03:38:24,0.123
2019-01-10--03:42:00,0.123
2019-01-10--03:45:36,0.123
2019-01-10--03:49:12,0.123
2019-01-10--03:52:48,0.123
2019-01-10--03:56:24,0.123
2019-01-10--04:00:00,0.123
2019-01-10--04:03:36,0.123
2019-01-10--04:07:12,0.123
2019-01-10--04:10:48,0.123
2019-01-10--04:14:24,0.123
2019-01-10--04:18:00,0.123
2019-01-10--04:21:36,0.123
2019-01-10--04:25:12,0.123
2019-01-10--04:28:48,0.123
2019-01-10--04:32:24,0.123
2019-01-10--04:36:00,0.123
2019-01-10--04:39:36,0.123
2019-01-10--04:43:12,0.123
2019-01-10--04:46:48,0.123
2019-01-10--04:50:24,0.123
2019-01-10--04:54:00,0.123
2019-01-10--04:57:36,0.123
2019-01-10--05:01:12,0.123
2019-01-10--05:04:48,0.123
2019-01-10--05:08:24,0.123
2019-01-10--05:12:00,0.123
2019-01-10--05:15:36,0.123
2019-01-10--05:19:12,0.123
2019-01-10--05:22:48,0.123
2019-01-10--05:26:24,0.123
2019-01-10--05:30:00,0.123
2019-01-10--05:33:36,0.123
2019-01-10--05:37:12,0.123
2019-01-10--05:40:48,0.123
2019-01-10--05:44:24,0.123
2019-01-10--05:48:00,0.123
2019-01-10--05:51:36,0.123
2019-01-10--05:55:12,0.123
2019-01-10--05:58:48,0.123
2019-01-10--06:02:24,0.123
2019-01-10--06:06:00,0.123
2019-01-10--06:09:36,0.123
2019-01-10--06:13:12,0.123
2019-01-10--06:16:48,0.123
2019-01-10--06:20:24,0.123
2019-01-10--06:24:00,0.123
