x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-10--00:09:36,NaN,10.2,9.8,8.4,0.5,-6.4
2019-01-10--00:34:48,NaN,10.2,9.8,8.4,0.5,-6.5
2019-01-10--01:00:00,NaN,10.1,9.7,8.3,0.4,-6.6
2019-01-10--01:25:12,NaN,9.9,9.5,8.1,0.2,-6.9
2019-01-10--01:50:24,NaN,9.9,9.4,8.0,0.1,-7.0
2019-01-10--02:15:36,NaN,9.7,9.3,7.9,-0.1,-7.1
2019-01-10--02:40:48,NaN,9.7,9.2,7.9,-0.1,-7.2
2019-01-10--03:06:00,NaN,9.5,9.1,7.8,-0.2,-7.3
2019-01-10--03:31:12,NaN,9.5,9.0,7.6,-0.4,-7.4
2019-01-10--03:56:24,NaN,9.5,9.0,7.6,-0.4,-7.5
2019-01-10--04:21:36,NaN,9.4,8.9,7.5,-0.5,-7.6
2019-01-10--04:46:48,NaN,9.3,8.8,7.4,-0.7,-7.7
2019-01-10--05:12:00,NaN,9.2,8.8,7.3,-0.7,-7.7
2019-01-10--05:37:12,NaN,9.1,8.7,7.2,-0.8,-7.8
2019-01-10--06:02:24,NaN,9.1,8.6,7.1,-0.9,-7.9
2019-01-10--06:27:36,NaN,9.1,8.6,7.1,-1.0,-8.0
2019-01-10--06:52:48,NaN,8.9,8.4,6.9,-1.2,-8.2
2019-01-10--07:18:00,NaN,8.9,8.4,6.9,-1.2,-8.2
2019-01-10--07:43:12,NaN,8.8,8.3,6.8,-1.3,-8.2
2019-01-10--08:08:24,NaN,8.8,8.3,6.8,-1.4,-8.3
2019-01-10--08:33:36,NaN,8.7,8.2,6.7,-1.5,-8.4
2019-01-10--08:58:48,NaN,8.7,8.2,6.6,-1.5,-8.4
2019-01-10--09:24:00,NaN,8.6,8.1,6.5,-1.6,-8.5
2019-01-10--09:49:12,NaN,8.7,8.1,6.5,-1.7,-8.6
2019-01-10--10:14:24,NaN,8.8,8.2,6.4,-1.8,-8.6
2019-01-10--10:39:36,NaN,8.8,8.1,6.4,-1.9,-8.7
2019-01-10--11:04:48,NaN,8.6,8.0,6.3,-2.0,-8.7
2019-01-10--11:30:00,NaN,8.6,8.0,6.3,-2.0,-8.8
2019-01-10--11:55:12,NaN,8.6,7.9,6.2,-2.1,-8.8
2019-01-10--12:20:24,NaN,8.5,7.9,6.1,-2.2,-8.9
2019-01-10--12:45:36,NaN,8.5,7.8,6.1,-2.3,-8.9
2019-01-10--13:10:48,NaN,8.4,7.8,6.1,-2.3,-8.9
2019-01-10--13:36:00,NaN,8.4,7.8,6.0,-2.4,-9.0
2019-01-10--14:01:12,NaN,8.3,7.7,6.0,-2.5,-9.0
2019-01-10--14:26:24,NaN,8.3,7.6,5.9,-2.5,-9.0
2019-01-10--14:51:36,NaN,8.2,7.6,5.9,-2.6,-9.0
2019-01-10--15:16:48,NaN,8.1,7.5,5.8,-2.6,-9.0
2019-01-10--15:42:00,NaN,8.0,7.4,5.8,-2.7,-9.0
2019-01-10--16:07:12,NaN,8.0,7.4,5.7,-2.7,-9.0
2019-01-10--16:32:24,NaN,8.0,7.4,5.6,-2.8,-9.0
2019-01-10--16:57:36,NaN,8.0,7.3,5.6,-2.8,-8.9
2019-01-10--17:22:48,NaN,7.9,7.3,5.6,-2.8,-8.9
