x,649,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-10--00:09:36,NaN,35.5,37.0,36.9,59.5,82.9
2019-01-10--00:34:48,NaN,35.5,37.0,36.8,59.5,82.9
2019-01-10--01:00:00,NaN,35.4,37.0,36.8,59.4,82.8
2019-01-10--01:25:12,NaN,35.4,36.9,36.7,59.2,82.8
2019-01-10--01:50:24,NaN,35.3,36.9,36.6,59.1,82.8
2019-01-10--02:15:36,NaN,35.3,36.8,36.5,59.0,82.8
2019-01-10--02:40:48,NaN,35.2,36.8,36.5,59.0,82.7
2019-01-10--03:06:00,NaN,35.3,36.8,36.4,58.9,82.7
2019-01-10--03:31:12,NaN,35.2,36.8,36.3,58.8,82.7
2019-01-10--03:56:24,NaN,35.2,36.7,36.3,58.8,82.6
2019-01-10--04:21:36,NaN,35.1,36.7,36.2,58.7,82.6
2019-01-10--04:46:48,NaN,35.1,36.6,36.2,58.6,82.6
2019-01-10--05:12:00,NaN,35.1,36.6,36.1,58.6,82.6
2019-01-10--05:37:12,NaN,35.1,36.6,36.0,58.5,82.5
2019-01-10--06:02:24,NaN,35.0,36.5,36.0,58.5,82.5
2019-01-10--06:27:36,NaN,35.0,36.5,35.9,58.4,82.5
2019-01-10--06:52:48,NaN,35.0,36.5,35.8,58.3,82.4
2019-01-10--07:18:00,NaN,35.0,36.5,35.8,58.3,82.4
2019-01-10--07:43:12,NaN,35.0,36.4,35.8,58.3,82.4
2019-01-10--08:08:24,NaN,35.0,36.4,35.7,58.2,82.4
2019-01-10--08:33:36,NaN,35.0,36.4,35.6,58.1,82.4
2019-01-10--08:58:48,NaN,34.9,36.4,35.6,58.1,82.4
2019-01-10--09:24:00,NaN,34.9,36.4,35.5,58.1,82.3
2019-01-10--09:49:12,NaN,35.1,36.3,35.4,58.0,82.3
2019-01-10--10:14:24,NaN,35.1,36.4,35.4,58.0,82.3
2019-01-10--10:39:36,NaN,34.9,36.3,35.3,57.9,82.3
2019-01-10--11:04:48,NaN,34.8,36.3,35.2,57.9,82.3
2019-01-10--11:30:00,NaN,34.8,36.3,35.2,57.9,82.2
2019-01-10--11:55:12,NaN,34.8,36.3,35.1,57.9,82.2
2019-01-10--12:20:24,NaN,34.8,36.3,35.0,57.8,82.2
2019-01-10--12:45:36,NaN,34.7,36.2,34.9,57.8,82.1
2019-01-10--13:10:48,NaN,34.7,36.2,34.9,57.8,82.1
2019-01-10--13:36:00,NaN,34.6,36.2,34.8,57.8,82.1
2019-01-10--14:01:12,NaN,34.6,36.1,34.8,57.7,82.1
2019-01-10--14:26:24,NaN,34.6,36.1,34.8,57.7,82.0
2019-01-10--14:51:36,NaN,34.5,36.1,34.7,57.7,82.0
2019-01-10--15:16:48,NaN,34.4,36.0,34.7,57.7,82.0
2019-01-10--15:42:00,NaN,34.5,36.0,34.6,57.7,82.0
2019-01-10--16:07:12,NaN,34.5,36.0,34.6,57.7,81.9
2019-01-10--16:32:24,NaN,34.4,35.9,34.6,57.7,81.9
2019-01-10--16:57:36,NaN,34.4,35.9,34.5,57.7,81.9
2019-01-10--17:22:48,NaN,34.4,35.9,34.5,57.6,81.9
2019-01-10--17:48:00,NaN,34.3,35.8,34.5,57.6,81.8
2019-01-10--18:13:12,NaN,34.3,35.8,34.5,57.6,81.8
2019-01-10--18:38:24,NaN,34.3,35.8,34.4,57.6,81.8
2019-01-10--19:03:36,NaN,34.2,35.8,34.4,57.6,81.8
2019-01-10--19:28:48,NaN,34.2,35.8,34.4,57.6,81.7
2019-01-10--19:54:00,NaN,34.2,35.7,34.4,57.6,81.7
2019-01-10--20:19:12,NaN,34.1,35.7,34.4,57.6,81.7
2019-01-10--20:44:24,NaN,34.1,35.6,34.4,57.6,81.7
2019-01-10--21:09:36,NaN,34.1,35.7,34.4,57.6,81.7
2019-01-10--21:34:48,NaN,34.1,35.6,34.3,57.6,81.7
2019-01-10--22:00:00,NaN,34.1,35.7,34.3,57.6,81.7
2019-01-10--22:25:12,NaN,34.1,35.6,34.3,57.6,81.7
2019-01-10--22:50:24,NaN,34.0,35.6,34.3,57.6,81.7
2019-01-10--23:15:36,NaN,34.0,35.6,34.3,57.5,81.7
2019-01-10--23:40:48,NaN,34.0,35.5,34.3,57.5,81.7
2019-01-11--00:06:00,NaN,33.9,35.5,34.3,57.5,81.7
2019-01-11--00:31:12,NaN,33.9,35.5,34.2,57.5,81.6
2019-01-11--00:56:24,NaN,33.9,35.5,34.3,57.5,81.6
2019-01-11--01:21:36,NaN,33.8,35.4,34.2,57.5,81.6
2019-01-11--01:46:48,NaN,33.8,35.4,34.2,57.5,81.6
2019-01-11--02:12:00,NaN,33.8,35.4,34.2,57.5,81.6
2019-01-11--02:37:12,NaN,33.8,35.4,34.2,57.5,81.6
2019-01-11--03:02:24,NaN,33.8,35.3,34.2,57.5,81.6
2019-01-11--03:27:36,NaN,33.7,35.3,34.2,57.4,81.6
2019-01-11--03:52:48,NaN,33.7,35.3,34.2,57.4,81.6
2019-01-11--04:18:00,NaN,33.7,35.3,34.1,57.4,81.6
2019-01-11--04:43:12,NaN,33.7,35.3,34.1,57.4,81.7
2019-01-11--05:08:24,NaN,33.7,35.2,34.1,57.4,81.7
2019-01-11--05:33:36,NaN,33.6,35.2,34.1,57.4,81.7
2019-01-11--05:58:48,NaN,33.7,35.2,34.0,57.4,81.7
2019-01-11--06:24:00,NaN,33.7,35.2,34.0,57.4,81.7
2019-01-11--06:49:12,NaN,33.7,35.2,34.0,57.4,81.7
2019-01-11--07:14:24,NaN,33.7,35.2,34.0,57.4,81.8
2019-01-11--07:39:36,NaN,33.7,35.2,34.0,57.4,81.8
2019-01-11--08:04:48,NaN,33.6,35.1,33.9,57.4,81.8
2019-01-11--08:30:00,NaN,33.6,35.1,33.9,57.4,81.8
2019-01-11--08:55:12,NaN,33.6,35.1,33.9,57.5,81.9
2019-01-11--09:20:24,NaN,33.6,35.1,33.9,57.5,81.9
2019-01-11--09:45:36,NaN,33.6,35.1,33.8,57.5,81.9
2019-01-11--10:10:48,NaN,33.6,35.1,33.8,57.5,81.9
2019-01-11--10:36:00,NaN,33.6,35.1,33.8,57.6,81.9
2019-01-11--11:01:12,NaN,33.6,35.1,33.8,57.6,81.9
2019-01-11--11:26:24,NaN,33.6,35.1,33.8,57.6,82.0
2019-01-11--11:51:36,NaN,33.5,35.0,33.8,57.7,82.0
2019-01-11--12:16:48,NaN,33.5,35.0,33.8,57.7,82.0
2019-01-11--12:42:00,NaN,33.5,35.0,33.8,57.7,82.0
2019-01-11--13:07:12,NaN,33.5,35.0,33.8,57.8,82.1
2019-01-11--13:32:24,NaN,33.5,35.0,33.8,57.8,82.1
2019-01-11--13:57:36,NaN,33.5,35.0,33.8,57.8,82.1
