x,113,117,121,125,129,133,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-10--00:52:48,NaN,NaN,NaN,NaN,NaN,NaN,12.6,11.4,9.1,-0.3,-7.3,13.0,12.2,9.2,4.4,15.7,13.9,11.6,6.0,22.2,12.8,9.5,30.8,17.7,13.7,23.1,20.2,25.4,10.1,NaN
2019-01-10--00:56:24,NaN,NaN,NaN,NaN,NaN,NaN,12.8,11.6,9.2,-0.3,-7.4,13.1,12.3,9.3,4.5,15.9,14.0,11.7,6.0,22.4,13.0,9.6,31.0,17.9,13.8,23.2,20.3,25.5,10.1,NaN
2019-01-10--01:00:00,NaN,NaN,NaN,NaN,NaN,NaN,12.8,11.6,9.2,-0.3,-7.4,13.1,12.3,9.3,4.5,15.9,14.0,11.7,6.0,22.4,13.0,9.6,31.0,17.9,13.8,23.2,20.3,25.5,10.1,NaN
2019-01-10--01:03:36,NaN,NaN,NaN,NaN,NaN,NaN,12.9,11.7,9.3,-0.3,-7.4,13.3,12.5,9.5,4.5,16.0,14.2,11.8,6.1,22.6,13.1,9.7,31.1,18.1,14.0,23.4,20.6,25.6,10.1,NaN
2019-01-10--01:07:12,NaN,NaN,NaN,NaN,NaN,NaN,12.9,11.7,9.3,-0.3,-7.4,13.3,12.5,9.5,4.5,16.0,14.2,11.8,6.1,22.6,13.1,9.7,31.1,18.1,14.0,23.4,20.6,25.6,10.1,NaN
2019-01-10--01:10:48,NaN,NaN,NaN,NaN,NaN,NaN,12.9,11.7,9.3,-0.3,-7.4,13.3,12.5,9.5,4.5,16.0,14.2,11.8,6.1,22.6,13.1,9.7,31.1,18.1,14.0,23.4,20.6,25.6,10.1,NaN
2019-01-10--01:14:24,NaN,NaN,NaN,NaN,NaN,NaN,12.9,11.7,9.3,-0.3,-7.4,13.3,12.5,9.5,4.5,16.0,14.2,11.8,6.1,22.6,13.1,9.7,31.1,18.1,14.0,23.4,20.6,25.6,10.1,NaN
2019-01-10--01:18:00,NaN,NaN,NaN,NaN,NaN,NaN,13.0,11.8,9.4,-0.3,-7.5,13.4,12.6,9.6,4.6,16.1,14.3,12.0,6.2,22.8,13.2,9.8,31.3,18.2,14.1,23.4,20.7,25.6,19.4,NaN
2019-01-10--01:21:36,NaN,NaN,NaN,NaN,NaN,NaN,13.0,11.8,9.4,-0.3,-7.5,13.4,12.6,9.6,4.6,16.1,14.3,12.0,6.2,22.8,13.2,9.8,31.3,18.2,14.1,23.4,20.7,25.6,19.4,NaN
2019-01-10--01:25:12,NaN,NaN,NaN,NaN,NaN,NaN,13.0,11.8,9.4,-0.3,-7.5,13.4,12.6,9.6,4.6,16.1,14.3,12.0,6.2,22.8,13.2,9.8,31.3,18.2,14.1,23.4,20.7,25.6,19.4,NaN
2019-01-10--01:28:48,NaN,NaN,NaN,NaN,NaN,NaN,13.0,11.8,9.4,-0.3,-7.5,13.4,12.6,9.6,4.6,16.1,14.3,12.0,6.2,22.8,13.2,9.8,31.3,18.2,14.1,23.4,20.7,25.6,19.4,NaN
2019-01-10--01:32:24,NaN,NaN,NaN,NaN,NaN,NaN,13.2,12.0,9.6,-0.3,-7.5,13.5,12.8,9.7,4.6,16.2,14.4,12.1,6.3,23.0,13.4,9.9,31.4,18.4,14.2,23.5,20.9,25.7,19.4,NaN
2019-01-10--01:36:00,NaN,NaN,NaN,NaN,NaN,NaN,13.2,12.0,9.6,-0.3,-7.5,13.5,12.8,9.7,4.6,16.2,14.4,12.1,6.3,23.0,13.4,9.9,31.4,18.4,14.2,23.5,20.9,25.7,19.4,NaN
2019-01-10--01:39:36,NaN,NaN,NaN,NaN,NaN,NaN,13.2,12.0,9.6,-0.3,-7.5,13.5,12.8,9.7,4.6,16.2,14.4,12.1,6.3,23.0,13.4,9.9,31.4,18.4,14.2,23.5,20.9,25.7,19.4,NaN
2019-01-10--01:43:12,NaN,NaN,NaN,NaN,NaN,NaN,13.2,12.0,9.6,-0.3,-7.5,13.5,12.8,9.7,4.6,16.2,14.4,12.1,6.3,23.0,13.4,9.9,31.4,18.4,14.2,23.5,20.9,25.7,19.4,NaN
2019-01-10--01:46:48,NaN,NaN,NaN,NaN,NaN,NaN,13.3,12.1,9.7,-0.3,-7.6,13.7,12.9,9.8,4.7,16.3,14.5,12.2,6.3,23.2,13.5,10.0,31.6,18.6,14.4,23.7,21.0,25.7,19.4,NaN
2019-01-10--01:50:24,NaN,NaN,NaN,NaN,NaN,NaN,13.3,12.1,9.7,-0.3,-7.6,13.7,12.9,9.8,4.7,16.3,14.5,12.2,6.3,23.2,13.5,10.0,31.6,18.6,14.4,23.7,21.0,25.7,19.4,NaN
2019-01-10--01:54:00,NaN,NaN,NaN,NaN,NaN,NaN,13.3,12.1,9.7,-0.3,-7.6,13.7,12.9,9.8,4.7,16.3,14.5,12.2,6.3,23.2,13.5,10.0,31.6,18.6,14.4,23.7,21.0,25.7,19.4,NaN
