['x', '112', '116', '120', '124', '128', '132', 'APAR_111.1', 'APAR_112.2', 'APAR_113.3', 'APAR_114.4', 'APAR_115.5', 'APAR_116.6', 'APAR_117.7', 'APAR_118.8', 'APAR_119.9', 'APAR_120.10', 'APAR_121.11', 'APAR_122.12', 'APAR_123.13', 'APAR_124.14', 'APAR_125.15', 'APAR_126.16', 'APAR_127.17', 'APAR_128.18', 'APAR_129.19', 'FIF_104.4', 'FIF_105.5', 'FIF_106.6', 'APAR_19.19', 'APAR_20.20']
[1547081568000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.2', '45.4', '46.1', '44.7', '53.9', '50.4', '51.0', '39.4', '47.7', '43.8', '53.6', '56.2', '41.2', '61.2', '61.8', '39.000000', '45.000000', '35.000000', '37.8', 'NaN']
[1547081784000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.9', '42.1', '59.7', '85.3', '45.5', '46.1', '44.7', '53.9', '50.4', '51.2', '39.4', '47.7', '43.8', '53.6', '56.3', '41.2', '61.2', '61.9', '38.000000', '45.000000', '35.000000', '37.8', 'NaN']
[1547082000000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.3', '45.5', '46.1', '44.7', '54.0', '50.3', '51.4', '39.4', '47.8', '43.8', '53.6', '56.3', '41.2', '61.2', '61.9', '38.000000', '45.000000', '35.000000', '37.8', 'NaN']
[1547082216000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.2', '59.7', '85.3', '45.5', '46.2', '44.7', '54.1', '50.3', '51.3', '39.4', '47.8', '43.7', '53.7', '56.4', '41.2', '61.3', '62.0', '38.000000', '44.000000', '35.000000', '37.8', 'NaN']
[1547082432000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.3', '45.5', '46.2', '44.7', '54.1', '50.3', '51.3', '39.4', '47.8', '43.7', '53.7', '56.5', '41.1', '61.3', '62.1', '39.000000', '44.000000', '34.000000', '37.9', 'NaN']
[1547082648000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.3', '45.5', '46.2', '44.7', '54.2', '50.3', '51.3', '39.4', '47.9', '43.7', '53.7', '56.5', '41.1', '61.3', '62.2', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547082864000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.3', '45.5', '46.2', '44.7', '54.2', '50.3', '51.3', '39.4', '47.9', '43.7', '53.7', '56.5', '41.1', '61.3', '62.2', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547083080000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.1', '59.7', '85.3', '45.5', '46.2', '44.7', '54.2', '50.2', '51.3', '39.4', '47.9', '43.7', '53.7', '56.6', '41.1', '61.3', '62.3', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547083296000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.7', '54.3', '50.2', '51.1', '39.3', '47.9', '43.7', '53.8', '56.6', '41.1', '61.3', '62.4', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547083512000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.3', '50.2', '51.1', '39.3', '47.9', '43.7', '53.8', '56.6', '41.1', '61.3', '62.4', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547083728000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.3', '50.2', '51.1', '39.3', '47.9', '43.7', '53.8', '56.7', '41.1', '61.3', '62.4', '38.000000', '44.000000', '35.000000', '37.9', 'NaN']
[1547083944000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.4', '50.1', '51.2', '39.3', '48.0', '43.6', '53.8', '56.8', '41.1', '61.3', '62.5', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547084160000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.4', '50.1', '51.1', '39.3', '48.0', '43.6', '53.8', '56.8', '41.0', '61.3', '62.6', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
[1547084376000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.6', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.4', '50.1', '51.1', '39.3', '48.0', '43.6', '53.8', '56.8', '41.0', '61.3', '62.6', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
[1547084592000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.5', '50.1', '51.0', '39.3', '48.0', '43.6', '53.9', '56.9', '41.0', '61.3', '62.6', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547084808000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.8', '42.0', '59.7', '85.3', '45.5', '46.2', '44.8', '54.5', '50.0', '51.0', '39.3', '48.0', '43.6', '53.9', '56.9', '41.0', '61.3', '62.7', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
[1547085024000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.6', '50.0', '51.0', '39.3', '48.0', '43.6', '53.9', '57.0', '41.0', '61.3', '62.8', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
[1547085240000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.6', '50.0', '51.0', '39.3', '48.0', '43.6', '53.9', '57.0', '41.0', '61.3', '62.8', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547085456000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.7', '50.0', '51.0', '39.3', '48.1', '43.6', '53.9', '57.0', '41.0', '61.3', '62.9', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547085672000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.7', '50.0', '50.9', '39.3', '48.1', '43.5', '53.9', '57.1', '41.0', '61.4', '62.9', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547085888000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.7', '50.0', '50.9', '39.3', '48.1', '43.5', '53.9', '57.1', '41.0', '61.4', '62.9', '38.000000', '44.000000', '35.000000', '38.7', 'NaN']
[1547086104000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.8', '49.9', '50.8', '39.3', '48.1', '43.5', '54.0', '57.1', '41.0', '61.3', '63.0', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
[1547086320000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '44.5', '45.7', '41.9', '59.7', '85.3', '45.5', '46.2', '44.8', '54.8', '49.9', '50.9', '39.3', '48.1', '43.5', '54.0', '57.2', '41.0', '61.4', '63.1', '38.000000', '44.000000', '34.000000', '38.7', 'NaN']
