['x', '217', '221', '225', '229', '233', '237', '241', '245', '249', 'APAR_213.1', 'APAR_214.2', 'APAR_215.3', 'APAR_216.4', 'APAR_217.5', 'APAR_218.6', 'APAR_219.7', 'APAR_220.8', 'APAR_221.9', 'APAR_222.10', 'APAR_223.11', 'APAR_224.12', 'APAR_225.13', 'APAR_226.14', 'APAR_227.15', 'APAR_228.16', 'APAR_229.17', 'APAR_230.18', 'APAR_231.19', 'FIF_203.3', 'FIF_204.4', 'FIF_205.5', 'FIF_206.6', 'FIF_207.7', 'APAR_16.16', 'APAR_17.17', 'APAR_18.18']
[1547081568000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.3', '19.3', '16.9', '12.4', '6.9', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '25.0', 'NaN', 'NaN', 'NaN']
[1547081784000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.9', '12.4', '6.9', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547082000000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.4', '6.9', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547082216000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.4', '6.9', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547082432000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.4', '6.9', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547082648000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.4', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547082864000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.4', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547083080000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.1', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547083296000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547083512000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.6', '10.9', '24.2', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547083728000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.3', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.7', '10.9', '24.2', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547083944000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.2', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547084160000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.4', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547084376000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.4', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547084592000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.2', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547084808000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.7', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547085024000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.7', '24.9', 'NaN', 'NaN', 'NaN']
[1547085240000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.4', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.7', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547085456000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.3', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.7', '18.6', '27.3', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.9', 'NaN', 'NaN', 'NaN']
[1547085672000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.3', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.6', '18.6', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.8', 'NaN', 'NaN', 'NaN']
[1547085888000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.3', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.6', '18.6', '27.2', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.8', 'NaN', 'NaN', 'NaN']
[1547086104000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.3', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.6', '18.6', '27.3', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.8', 'NaN', 'NaN', 'NaN']
[1547086320000, 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', 'NaN', '21.1', '20.6', '19.5', '13.6', '8.3', '20.2', '19.2', '16.8', '12.3', '6.8', '29.5', '24.8', '21.0', '28.1', '22.6', '18.6', '27.3', '19.7', '10.9', '24.1', '26.5', '24.3', '25.6', '24.8', 'NaN', 'NaN', 'NaN']
