x,667,669,671,673,675,677,679,APAR_314.14,APAR_315.15,APAR_316.16,APAR_317.17,APAR_318.18,APAR_319.19,APAR_320.20,APAR_321.21,APAR_322.22,APAR_323.23,APAR_324.24,APAR_325.25,APAR_326.26
2019-01-10--00:52:48,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.0,8.9,10.9,13.9,9.9,9.1,0.0
2019-01-10--00:56:24,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.0,8.8,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:00:00,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.0,8.8,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:03:36,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.1,8.9,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:07:12,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.1,8.9,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:10:48,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.1,8.9,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:14:24,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,10.1,9.1,8.9,10.9,13.9,10.0,9.1,0.0
2019-01-10--01:18:00,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,19.4,18.4,17.3,13.4,23.8,23.2,22.0,17.5
2019-01-10--01:21:36,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,19.4,18.4,17.3,13.4,23.8,23.2,22.0,17.5
2019-01-10--01:25:12,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,19.4,18.4,17.3,13.4,23.8,23.2,22.0,17.5
2019-01-10--01:28:48,1700.8,NaN,1700.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1,13.9,19.4,18.4,17.3,13.4,23.8,23.2,22.0,17.5
2019-01-10--01:32:24,1700.8,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.3,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:36:00,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.3,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:39:36,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.3,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:43:12,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.3,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:46:48,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.4,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:50:24,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.4,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:54:00,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.4,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
2019-01-10--01:57:36,NaN,NaN,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,-5.4,19.4,18.4,17.3,13.3,23.8,23.2,22.0,17.5
