x,666,668,670,672,674,676,678,APAR_314.14,APAR_315.15,APAR_316.16,APAR_317.17,APAR_318.18,APAR_319.19,APAR_320.20,APAR_321.21,APAR_322.22,APAR_323.23,APAR_324.24,APAR_325.25,APAR_326.26
2019-01-10--00:52:48,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.8,37.8,50.9,29.3,100.0,36.8,41.1,53.2,1724.4
2019-01-10--00:56:24,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.1,28.9,100.0,36.7,41.3,53.3,1724.4
2019-01-10--01:00:00,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.1,28.9,100.0,36.7,41.3,53.3,1724.4
2019-01-10--01:03:36,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.3,28.7,100.0,36.7,41.4,53.5,1724.4
2019-01-10--01:07:12,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.3,28.7,100.0,36.7,41.4,53.5,1724.4
2019-01-10--01:10:48,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.3,28.7,100.0,36.7,41.4,53.5,1724.4
2019-01-10--01:14:24,0.000000,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,36.7,37.9,51.3,28.7,100.0,36.7,41.4,53.5,1724.4
2019-01-10--01:18:00,0.000000,NaN,23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,85.8,38.7,51.3,43.4,100.0,36.6,41.5,53.5,1724.4
2019-01-10--01:21:36,0.000000,NaN,23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,85.8,38.7,51.3,43.4,100.0,36.6,41.5,53.5,1724.4
2019-01-10--01:25:12,0.000000,NaN,23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,85.8,38.7,51.3,43.4,100.0,36.6,41.5,53.5,1724.4
2019-01-10--01:28:48,0.000000,NaN,23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,85.8,38.7,51.3,43.4,100.0,36.6,41.5,53.5,1724.4
2019-01-10--01:32:24,0.000000,NaN,23.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.4,85.8,38.7,40.9,43.4,54.1,28.6,29.7,34.7,44.3
