x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-10--00:52:48,20.4,20.1,18.0,12.2,7.9,19.8,19.3,17.7,12.4,5.7,19.3,18.8,17.4,5.1,-5.8,23.0,27.3,23.3,22.6,24.1
2019-01-10--00:56:24,20.4,20.1,18.0,12.2,7.9,19.7,19.3,17.7,12.4,5.7,19.2,18.8,17.4,5.1,-5.9,22.9,27.2,23.3,22.6,24.1
2019-01-10--01:00:00,20.4,20.1,18.0,12.2,7.9,19.7,19.3,17.7,12.4,5.7,19.2,18.8,17.4,5.1,-5.9,22.9,27.2,23.3,22.6,24.1
2019-01-10--01:03:36,20.4,20.0,18.0,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:07:12,20.4,20.0,18.0,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:10:48,20.4,20.0,18.0,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:14:24,20.4,20.0,18.0,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:18:00,20.4,20.0,17.9,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:21:36,20.4,20.0,17.9,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:25:12,20.4,20.0,17.9,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:28:48,20.4,20.0,17.9,12.2,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.8,17.4,5.0,-6.0,22.9,27.3,23.3,22.6,24.1
2019-01-10--01:32:24,20.3,20.0,17.9,12.1,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.7,17.4,4.9,-6.1,23.0,27.3,23.3,22.6,24.1
2019-01-10--01:36:00,20.3,20.0,17.9,12.1,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.7,17.4,4.9,-6.1,23.0,27.3,23.3,22.6,24.1
2019-01-10--01:39:36,20.3,20.0,17.9,12.1,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.7,17.4,4.9,-6.1,23.0,27.3,23.3,22.6,24.1
2019-01-10--01:43:12,20.3,20.0,17.9,12.1,7.9,19.7,19.3,17.7,12.3,5.6,19.2,18.7,17.4,4.9,-6.1,23.0,27.3,23.3,22.6,24.1
2019-01-10--01:46:48,20.3,20.0,17.9,12.1,7.8,19.7,19.3,17.7,12.3,5.5,19.2,18.7,17.4,4.9,-6.1,22.9,27.1,23.3,22.5,24.1
2019-01-10--01:50:24,20.3,20.0,17.9,12.1,7.8,19.7,19.3,17.7,12.3,5.5,19.2,18.7,17.4,4.9,-6.1,22.9,27.1,23.3,22.5,24.1
2019-01-10--01:54:00,20.3,20.0,17.9,12.1,7.8,19.7,19.3,17.7,12.3,5.5,19.2,18.7,17.4,4.9,-6.1,22.9,27.1,23.3,22.5,24.1
2019-01-10--01:57:36,20.3,20.0,17.9,12.1,7.8,19.7,19.3,17.7,12.3,5.5,19.2,18.7,17.4,4.9,-6.1,22.9,27.1,23.3,22.5,24.1
2019-01-10--02:01:12,20.3,20.0,17.9,12.1,7.8,19.7,19.2,17.7,12.3,5.5,19.2,18.7,17.3,4.8,-6.2,22.9,27.1,23.2,22.5,24.1
