['x', 'APAR_411.11', 'APAR_412.12', 'APAR_413.13', 'APAR_414.14', 'APAR_415.15', 'APAR_416.16', 'APAR_417.17', 'APAR_418.18', 'APAR_419.19', 'APAR_420.20', 'APAR_421.21', 'APAR_422.22', 'APAR_423.23', 'APAR_424.24', 'APAR_425.25', 'FIF_402.2', 'FIF_403.3', 'FIF_404.4', 'FIF_405.5', 'FIF_406.6']
[1547081568000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.1', '58.6', '20.6', '21.2', '24.3', '47.9', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547081784000, '29.9', '31.5', '31.5', '46.2', '54.0', '25.8', '27.2', '29.4', '40.1', '58.7', '20.6', '21.1', '24.3', '47.9', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547082000000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.1', '58.7', '20.6', '21.1', '24.3', '47.9', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547082216000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.1', '58.6', '20.6', '21.1', '24.2', '47.8', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547082432000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.4', '40.1', '58.7', '20.6', '21.1', '24.2', '47.8', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547082648000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.6', '21.1', '24.2', '47.8', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547082864000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.6', '21.1', '24.2', '47.8', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547083080000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.5', '21.0', '24.2', '47.8', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547083296000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.5', '21.0', '24.2', '47.8', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547083512000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.5', '21.0', '24.2', '47.8', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547083728000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.0', '58.7', '20.6', '21.0', '24.2', '47.8', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547083944000, '29.9', '31.5', '31.4', '46.2', '53.9', '25.8', '27.2', '29.4', '40.0', '58.6', '20.5', '21.0', '24.2', '47.8', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547084160000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.2', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547084376000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.2', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547084592000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.2', '47.7', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547084808000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.2', '47.7', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547085024000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.2', '47.7', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547085240000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.5', '21.0', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547085456000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.4', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547085672000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.4', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547085888000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.8', '27.2', '29.3', '40.0', '58.6', '20.4', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547086104000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.7', '27.2', '29.3', '40.0', '58.6', '20.4', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '20.000000', '22.000000', '21.000000']
[1547086320000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '40.0', '58.6', '20.4', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547086536000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '40.0', '58.6', '20.3', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547086752000, '29.9', '31.5', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '40.0', '58.6', '20.3', '20.9', '24.1', '47.7', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547086968000, '29.9', '31.4', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '39.9', '58.6', '20.4', '20.9', '24.1', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547087184000, '29.9', '31.4', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '39.9', '58.6', '20.3', '20.9', '24.1', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547087400000, '29.9', '31.4', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '39.9', '58.6', '20.3', '20.9', '24.1', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547087616000, '29.8', '31.4', '31.4', '46.1', '53.9', '25.7', '27.1', '29.3', '39.9', '58.6', '20.3', '20.8', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547087832000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.3', '39.9', '58.6', '20.3', '20.8', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547088048000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.3', '20.8', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547088264000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.3', '20.8', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547088480000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.3', '20.8', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547088696000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.3', '20.7', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547088912000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.3', '20.7', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547089128000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.3', '39.9', '58.6', '20.3', '20.7', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547089344000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.7', '24.0', '47.6', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547089560000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547089776000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '21.000000']
[1547089992000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.7', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547090208000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.7', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547090424000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547090640000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.7', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547090856000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.1', '20.6', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547091072000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.6', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547091288000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.1', '29.2', '39.9', '58.6', '20.2', '20.6', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547091504000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.9', '58.6', '20.1', '20.6', '24.0', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547091720000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547091936000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547092152000, '29.8', '31.4', '31.3', '46.1', '53.9', '25.7', '27.1', '29.2', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547092368000, '29.8', '31.5', '31.3', '46.1', '53.9', '25.7', '27.0', '29.2', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547092584000, '29.9', '31.5', '31.3', '46.0', '54.0', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547092800000, '29.9', '31.5', '31.3', '46.0', '54.0', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547093016000, '29.8', '31.4', '31.3', '46.1', '54.0', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.5', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547093232000, '29.8', '31.4', '31.3', '46.0', '54.0', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547093448000, '29.8', '31.4', '31.3', '46.0', '53.9', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547093664000, '29.8', '31.4', '31.3', '46.0', '53.9', '25.7', '27.0', '29.1', '39.8', '58.6', '20.1', '20.6', '23.9', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547093880000, '29.8', '31.4', '31.3', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.7', '20.0', '20.5', '23.9', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547094096000, '29.8', '31.4', '31.3', '46.0', '53.9', '25.6', '27.0', '29.1', '39.8', '58.7', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547094312000, '29.8', '31.4', '31.3', '46.0', '53.9', '25.6', '27.0', '29.1', '39.8', '58.7', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547094528000, '29.8', '31.4', '31.3', '46.0', '53.9', '25.6', '27.0', '29.1', '39.8', '58.7', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547094744000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.6', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547094960000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.6', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547095176000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.6', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547095392000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.6', '20.0', '20.5', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547095608000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.7', '19.9', '20.4', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547095824000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.7', '19.9', '20.4', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547096040000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.1', '39.8', '58.7', '19.9', '20.4', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547096256000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '27.0', '29.0', '39.8', '58.7', '19.9', '20.4', '23.8', '47.4', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547096472000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '26.9', '29.1', '39.7', '58.7', '19.9', '20.4', '23.8', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547096688000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '26.9', '29.1', '39.7', '58.7', '19.9', '20.4', '23.8', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547096904000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '26.9', '29.0', '39.7', '58.6', '19.9', '20.4', '23.8', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547097120000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '26.9', '29.0', '39.7', '58.6', '19.9', '20.4', '23.8', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547097336000, '29.7', '31.3', '31.2', '46.0', '54.0', '25.6', '26.9', '29.0', '39.7', '58.7', '19.9', '20.4', '23.7', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547097552000, '29.7', '31.3', '31.2', '46.0', '54.0', '25.6', '26.9', '29.0', '39.7', '58.7', '19.9', '20.4', '23.7', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547097768000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.6', '26.9', '29.0', '39.7', '58.7', '19.9', '20.4', '23.7', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
[1547097984000, '29.8', '31.4', '31.2', '46.0', '54.0', '25.5', '26.9', '29.0', '39.7', '58.7', '19.8', '20.4', '23.7', '47.3', '81.0', '20.000000', '18.000000', '19.000000', '22.000000', '20.000000']
