x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-10--00:52:48,20.4,20.3,12.7,5.8,-0.3,20.1,19.9,17.7,15.1,21.6,21.3,18.6,15.6,25.7,24.0,25.7
2019-01-10--00:56:24,20.4,20.2,12.7,5.8,-0.4,20.1,19.9,17.7,15.1,21.6,21.3,18.6,15.6,25.7,24.0,25.7
2019-01-10--01:00:00,20.4,20.2,12.7,5.8,-0.4,20.1,19.9,17.7,15.1,21.6,21.3,18.6,15.6,25.7,24.0,25.7
2019-01-10--01:03:36,20.4,20.2,12.7,5.7,-0.4,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:07:12,20.4,20.2,12.7,5.7,-0.4,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:10:48,20.4,20.2,12.7,5.7,-0.4,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:14:24,20.4,20.2,12.7,5.7,-0.4,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:18:00,20.4,20.2,12.6,5.7,-0.5,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:21:36,20.4,20.2,12.6,5.7,-0.5,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:25:12,20.4,20.2,12.6,5.7,-0.5,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:28:48,20.4,20.2,12.6,5.7,-0.5,20.1,19.9,17.7,15.0,21.6,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:32:24,20.4,20.2,12.6,5.6,-0.5,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:36:00,20.4,20.2,12.6,5.6,-0.5,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:39:36,20.4,20.2,12.6,5.6,-0.5,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:43:12,20.4,20.2,12.6,5.6,-0.5,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:46:48,20.4,20.2,12.6,5.6,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:50:24,20.4,20.2,12.6,5.6,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:54:00,20.4,20.2,12.6,5.6,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--01:57:36,20.4,20.2,12.6,5.6,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.6,15.5,25.7,24.0,25.7
2019-01-10--02:01:12,20.4,20.2,12.6,5.5,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:04:48,20.4,20.2,12.6,5.5,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:08:24,20.4,20.2,12.6,5.5,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:12:00,20.4,20.2,12.6,5.5,-0.6,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:15:36,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:19:12,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:22:48,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:26:24,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:30:00,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:33:36,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:37:12,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:40:48,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:44:24,20.3,20.2,12.5,5.5,-0.7,20.1,19.9,17.7,15.0,21.5,21.3,18.5,15.5,25.7,24.0,25.7
2019-01-10--02:48:00,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,15.0,21.5,21.3,18.5,15.4,25.7,24.0,25.7
2019-01-10--02:51:36,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,15.0,21.5,21.3,18.5,15.4,25.7,24.0,25.7
2019-01-10--02:55:12,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,15.0,21.5,21.3,18.5,15.4,25.7,24.0,25.7
2019-01-10--02:58:48,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,15.0,21.5,21.3,18.5,15.4,25.7,24.0,25.7
2019-01-10--03:02:24,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,14.9,21.5,21.2,18.5,15.4,25.7,24.0,25.7
2019-01-10--03:06:00,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,14.9,21.5,21.2,18.5,15.4,25.7,24.0,25.7
2019-01-10--03:09:36,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,14.9,21.5,21.2,18.5,15.4,25.7,24.0,25.7
2019-01-10--03:13:12,20.3,20.2,12.5,5.4,-0.8,20.1,19.9,17.6,14.9,21.5,21.2,18.5,15.4,25.7,24.0,25.7
