['x', 'APAR_511.11', 'APAR_512.12', 'APAR_513.13', 'APAR_514.14', 'APAR_515.15', 'APAR_516.16', 'APAR_517.17', 'APAR_518.18', 'APAR_519.19', 'APAR_520.20', 'APAR_521.21', 'APAR_522.22', 'APAR_523.23', 'FIF_504.4', 'FIF_505.5', 'FIF_506.6']
[1547081568000, '27.6', '27.4', '32.9', '47.7', '68.3', '41.1', '42.0', '41.1', '47.7', '25.5', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547081784000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547082000000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547082216000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547082432000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547082648000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547082864000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547083080000, '27.5', '27.4', '32.9', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547083296000, '27.5', '27.4', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547083512000, '27.5', '27.4', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547083728000, '27.5', '27.3', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547083944000, '27.5', '27.3', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547084160000, '27.5', '27.4', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547084376000, '27.5', '27.4', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547084592000, '27.5', '27.3', '32.8', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547084808000, '27.5', '27.3', '32.7', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547085024000, '27.5', '27.3', '32.7', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547085240000, '27.5', '27.3', '32.7', '47.6', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547085456000, '27.5', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547085672000, '27.5', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.3', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547085888000, '27.5', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.3', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547086104000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.4', '33.9', '39.6', '23.000000', '23.000000', '21.000000']
[1547086320000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.6', '25.4', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547086536000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547086752000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547086968000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.7', '25.4', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547087184000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547087400000, '27.4', '27.3', '32.7', '47.5', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547087616000, '27.4', '27.3', '32.6', '47.5', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547087832000, '27.4', '27.3', '32.6', '47.5', '68.3', '41.1', '42.0', '41.0', '47.7', '25.3', '26.3', '33.8', '39.6', '23.000000', '23.000000', '21.000000']
[1547088048000, '27.4', '27.3', '32.6', '47.4', '68.3', '41.1', '42.0', '41.1', '47.7', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547088264000, '27.4', '27.3', '32.6', '47.4', '68.3', '41.1', '42.0', '41.1', '47.7', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547088480000, '27.4', '27.3', '32.6', '47.4', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547088696000, '27.4', '27.3', '32.6', '47.4', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547088912000, '27.4', '27.3', '32.6', '47.4', '68.3', '41.1', '42.0', '41.1', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547089128000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.6', '23.000000', '22.000000', '21.000000']
[1547089344000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.6', '22.000000', '22.000000', '20.000000']
[1547089560000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '23.000000', '22.000000', '21.000000']
[1547089776000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '23.000000', '22.000000', '21.000000']
[1547089992000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.1', '47.7', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547090208000, '27.4', '27.2', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547090424000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547090640000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547090856000, '27.4', '27.2', '32.5', '47.4', '68.3', '41.2', '42.0', '41.0', '47.7', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547091072000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.2', '33.8', '39.6', '22.000000', '22.000000', '20.000000']
[1547091288000, '27.4', '27.3', '32.5', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.2', '33.8', '39.6', '22.000000', '22.000000', '20.000000']
[1547091504000, '27.4', '27.2', '32.5', '47.3', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '23.000000', '22.000000', '20.000000']
[1547091720000, '27.4', '27.2', '32.4', '47.3', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.3', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547091936000, '27.3', '27.2', '32.4', '47.3', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547092152000, '27.3', '27.2', '32.4', '47.3', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547092368000, '27.4', '27.2', '32.4', '47.3', '68.3', '41.1', '42.0', '41.0', '47.6', '25.3', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547092584000, '27.3', '27.2', '32.4', '47.3', '68.3', '41.2', '42.0', '41.0', '47.6', '25.2', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547092800000, '27.3', '27.2', '32.4', '47.3', '68.3', '41.2', '42.0', '41.0', '47.6', '25.2', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547093016000, '27.3', '27.2', '32.4', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.2', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
[1547093232000, '27.3', '27.2', '32.4', '47.4', '68.3', '41.1', '42.0', '41.0', '47.6', '25.2', '26.2', '33.8', '39.5', '23.000000', '22.000000', '20.000000']
[1547093448000, '27.3', '27.2', '32.4', '47.4', '68.3', '41.1', '42.0', '41.0', '47.7', '25.2', '26.2', '33.8', '39.5', '22.000000', '22.000000', '20.000000']
