x,APAR_611.11,APAR_612.12,APAR_613.13,APAR_614.14,APAR_615.15,APAR_616.16,APAR_617.17,APAR_618.18,APAR_619.19,APAR_620.20,APAR_621.21,APAR_622.22,APAR_623.23,APAR_624.24,APAR_625.25,FIF_602.2,FIF_603.3,FIF_604.4,FIF_605.5,FIF_606.6
2019-01-10--00:52:48,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.3,21.5,19.8,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--00:56:24,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.3,21.5,19.8,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:00:00,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.3,21.5,19.8,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:03:36,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.5,19.7,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:07:12,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.5,19.7,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:10:48,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.5,19.7,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:14:24,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.5,19.7,46.0,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:18:00,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:21:36,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:25:12,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:28:48,23.0,23.5,26.6,35.8,49.4,26.0,26.8,33.9,39.8,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:32:24,23.0,23.4,26.6,35.8,49.4,26.0,26.9,33.9,39.7,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:36:00,23.0,23.4,26.6,35.8,49.4,26.0,26.9,33.9,39.7,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:39:36,23.0,23.4,26.6,35.8,49.4,26.0,26.9,33.9,39.7,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:43:12,23.0,23.4,26.6,35.8,49.4,26.0,26.9,33.9,39.7,47.5,21.2,21.4,19.7,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:46:48,22.9,23.4,26.5,35.8,49.4,26.0,26.8,33.8,39.7,47.5,21.1,21.3,19.6,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:50:24,22.9,23.4,26.5,35.8,49.4,26.0,26.8,33.8,39.7,47.5,21.1,21.3,19.6,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
2019-01-10--01:54:00,22.9,23.4,26.5,35.8,49.4,26.0,26.8,33.8,39.7,47.5,21.1,21.3,19.6,45.9,77.7,20.000000,24.000000,23.000000,30.000000,20.000000
